Format Version,1.23,Take Name,N_40,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.14.53.113 PM,Total Frames in Take,1195,Total Exported Frames,1195,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.002622,0.000160,0.008847,-0.999958,1.184246,0.125873,0.059800,0.000204,1.158179,0.079226,-0.093523,0.918759,1.210845,0.187425,0.110044,0.956966,1.141894,0.137509,0.157926,0.905818,1.163322,0.187604,0.112607,0.911480,1.231821,0.137020,0.157651,0.967101,1.187738,0.179877,0.170995,0.961138,1.106467,0.087280,0.085629,0.926094,1.267880,0.088029,0.078431,0.938939,1.213904,0.079817,-0.093589,0.959728,1.236318,0.111302,0.030444,0.920785,1.131346,0.110716,0.029066,0.815719,1.161235,0.124672,-0.028076,0.000000,1.157918,0.079335,-0.093440,1.236199,0.111260,0.030733,1.131647,0.110046,0.028909,,,,1.211009,0.187388,0.110063,1.142134,0.137372,0.157662,1.163139,0.187865,0.112482,1.231797,0.137100,0.157755,1.187865,0.179870,0.171075,1.106363,0.087493,0.085466,1.267760,0.088092,0.078597,1.213883,0.079983,-0.093621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.002708,0.000149,0.008548,-0.999960,1.184256,0.125926,0.059812,0.000229,1.158214,0.079290,-0.093519,0.926462,1.210820,0.187485,0.110065,0.957773,1.141899,0.137520,0.157940,0.904423,1.163296,0.187636,0.112629,0.914557,1.231827,0.137085,0.157663,0.966808,1.187719,0.179913,0.171016,0.962320,1.106501,0.087282,0.085635,0.927959,1.267914,0.088129,0.078434,0.946254,1.213939,0.079914,-0.093586,0.957445,1.236337,0.111392,0.030452,0.921171,1.131365,0.110742,0.029076,0.812363,1.161245,0.124726,-0.028064,0.000000,1.157885,0.079385,-0.093430,1.236379,0.111684,0.030838,1.131636,0.110043,0.028904,,,,1.211008,0.187405,0.110065,1.142123,0.137378,0.157658,1.163139,0.187887,0.112485,1.231788,0.137119,0.157760,1.187851,0.179889,0.171094,1.106358,0.087495,0.085470,1.267754,0.088119,0.078606,1.213912,0.079986,-0.093645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.002650,0.000167,0.008796,-0.999958,1.184253,0.125888,0.059814,0.000210,1.158193,0.079246,-0.093513,0.917338,1.210846,0.187440,0.110061,0.958267,1.141898,0.137514,0.157939,0.904295,1.163322,0.187614,0.112623,0.915446,1.231826,0.137035,0.157666,0.971026,1.187738,0.179886,0.171012,0.960432,1.106478,0.087285,0.085639,0.926976,1.267891,0.088052,0.078443,0.938043,1.213917,0.079843,-0.093578,0.960666,1.236327,0.111324,0.030457,0.922571,1.131355,0.110727,0.029078,0.811179,1.161243,0.124689,-0.028063,0.000000,1.157896,0.079367,-0.093429,1.236210,0.111299,0.030743,1.131643,0.110048,0.028915,,,,1.211008,0.187401,0.110067,1.142132,0.137380,0.157666,1.163149,0.187877,0.112499,1.231811,0.137088,0.157767,1.187863,0.179879,0.171108,1.106366,0.087501,0.085477,1.267790,0.088137,0.078653,1.213922,0.079988,-0.093640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.002632,0.000186,0.008845,-0.999958,1.184257,0.125885,0.059811,0.000208,1.158198,0.079240,-0.093515,0.922245,1.210854,0.187436,0.110057,0.957634,1.141900,0.137518,0.157934,0.906725,1.163330,0.187614,0.112617,0.913306,1.231828,0.137030,0.157664,0.971197,1.187743,0.179887,0.171007,0.957931,1.106477,0.087291,0.085635,0.927133,1.267891,0.088041,0.078445,0.939437,1.213923,0.079831,-0.093578,0.959233,1.236331,0.111314,0.030457,0.923124,1.131359,0.110727,0.029073,0.813703,1.161251,0.124685,-0.028067,0.000000,1.157919,0.079345,-0.093427,1.236208,0.111291,0.030737,1.131650,0.110061,0.028909,,,,1.211021,0.187407,0.110059,1.142129,0.137384,0.157672,1.163139,0.187877,0.112495,1.231810,0.137071,0.157770,1.187882,0.179879,0.171102,1.106369,0.087509,0.085475,1.267786,0.088125,0.078647,1.213921,0.079981,-0.093642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.002651,0.000168,0.008842,-0.999957,1.184244,0.125872,0.059802,0.000207,1.158180,0.079234,-0.093525,0.919728,1.210842,0.187422,0.110049,0.956202,1.141890,0.137502,0.157927,0.904019,1.163318,0.187600,0.112611,0.914721,1.231818,0.137014,0.157654,0.974714,1.187734,0.179870,0.171000,0.956916,1.106465,0.087277,0.085627,0.929462,1.267878,0.088028,0.078431,0.943200,1.213905,0.079826,-0.093590,0.959942,1.236317,0.111304,0.030445,0.919748,1.131345,0.110716,0.029065,0.810680,1.161234,0.124676,-0.028075,0.000000,1.157899,0.079357,-0.093429,1.236194,0.111265,0.030739,1.131642,0.110037,0.028911,,,,1.211017,0.187404,0.110057,1.142134,0.137365,0.157664,1.163134,0.187862,0.112494,1.231771,0.137085,0.157709,1.187867,0.179860,0.171108,1.106363,0.087488,0.085471,1.267752,0.088092,0.078609,1.213920,0.079977,-0.093639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.002643,0.000151,0.008786,-0.999958,1.184242,0.125868,0.059799,0.000207,1.158178,0.079224,-0.093525,0.918526,1.210835,0.187421,0.110045,0.955402,1.141890,0.137495,0.157926,0.904432,1.163311,0.187595,0.112608,0.915700,1.231818,0.137017,0.157649,0.963578,1.187729,0.179868,0.170996,0.961645,1.106468,0.087265,0.085628,0.932032,1.267881,0.088034,0.078427,0.943617,1.213903,0.079822,-0.093593,0.960820,1.236315,0.111305,0.030441,0.922766,1.131343,0.110706,0.029065,0.812964,1.161230,0.124668,-0.028077,0.000000,1.157893,0.079353,-0.093432,1.236192,0.111267,0.030722,1.131632,0.110034,0.028907,,,,1.211012,0.187409,0.110063,1.142129,0.137354,0.157662,1.163136,0.187853,0.112481,1.231787,0.137102,0.157764,1.187857,0.179862,0.171081,1.106372,0.087458,0.085463,1.267749,0.088090,0.078600,1.213911,0.079970,-0.093644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.002625,0.000145,0.008794,-0.999958,1.184244,0.125846,0.059786,0.000205,1.158177,0.079196,-0.093537,0.924087,1.210839,0.187400,0.110029,0.956988,1.141894,0.137476,0.157913,0.906535,1.163315,0.187574,0.112593,0.912197,1.231821,0.136997,0.157635,0.970573,1.187734,0.179849,0.170981,0.957549,1.106470,0.087244,0.085617,0.928124,1.267883,0.088011,0.078414,0.938791,1.213902,0.079794,-0.093605,0.958631,1.236317,0.111280,0.030428,0.919834,1.131345,0.110683,0.029053,0.813872,1.161231,0.124642,-0.028090,0.000000,1.157911,0.079311,-0.093445,1.236187,0.111235,0.030717,1.131638,0.110016,0.028897,,,,1.211008,0.187391,0.110059,1.142129,0.137348,0.157652,1.163137,0.187849,0.112467,1.231770,0.137082,0.157699,1.187877,0.179770,0.171027,1.106371,0.087459,0.085454,1.267792,0.088089,0.078627,1.213876,0.079955,-0.093632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.002628,0.000168,0.008815,-0.999958,1.184256,0.125848,0.059783,0.000208,1.158194,0.079201,-0.093541,0.915984,1.210851,0.187401,0.110028,0.956437,1.141901,0.137480,0.157908,0.904908,1.163327,0.187577,0.112590,0.912176,1.231829,0.136998,0.157635,0.959444,1.187743,0.179851,0.170979,0.960267,1.106479,0.087250,0.085610,0.927179,1.267892,0.088010,0.078415,0.939215,1.213919,0.079796,-0.093606,0.957139,1.236330,0.111281,0.030427,0.918078,1.131358,0.110688,0.029048,0.805372,1.161246,0.124647,-0.028093,0.000000,1.157899,0.079332,-0.093448,1.236179,0.111203,0.030708,1.131698,0.110003,0.028901,,,,1.211022,0.187400,0.110061,1.142138,0.137350,0.157640,1.163142,0.187848,0.112464,1.231793,0.137098,0.157757,1.187882,0.179782,0.171008,1.106368,0.087464,0.085447,1.267785,0.088094,0.078616,1.213917,0.079959,-0.093660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.002638,0.000170,0.008832,-0.999958,1.184249,0.125851,0.059780,0.000207,1.158187,0.079208,-0.093545,0.918680,1.210846,0.187403,0.110026,0.956936,1.141895,0.137483,0.157905,0.905039,1.163322,0.187580,0.112587,0.913714,1.231823,0.136997,0.157632,0.959848,1.187737,0.179852,0.170976,0.959048,1.106471,0.087255,0.085606,0.929048,1.267884,0.088010,0.078411,0.940681,1.213912,0.079801,-0.093611,0.957767,1.236323,0.111283,0.030424,0.918381,1.131351,0.110693,0.029044,0.812351,1.161240,0.124652,-0.028097,0.000000,1.157899,0.079332,-0.093457,1.236183,0.111228,0.030714,1.131634,0.110017,0.028883,,,,1.211014,0.187391,0.110065,1.142129,0.137355,0.157634,1.163139,0.187844,0.112460,1.231799,0.137099,0.157754,1.187886,0.179788,0.171005,1.106367,0.087467,0.085448,1.267784,0.088082,0.078613,1.213917,0.079961,-0.093664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.157895,0.079345,-0.093451,1.236186,0.111244,0.030718,1.131634,0.110047,0.028878,,,,1.211009,0.187402,0.110065,1.142129,0.137362,0.157641,1.163136,0.187857,0.112460,1.231813,0.137089,0.157751,1.187884,0.179798,0.170996,1.106360,0.087492,0.085440,1.267786,0.088109,0.078615,1.213914,0.079969,-0.093664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
