Format Version,1.23,Take Name,N_60,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.19.30.588 PM,Total Frames in Take,948,Total Exported Frames,948,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.002966,-0.015107,0.007039,-0.999857,1.173776,0.126124,0.074607,0.000229,1.143214,0.079518,-0.077897,0.934180,1.201670,0.187729,0.124078,0.950875,1.134396,0.137514,0.173991,0.854950,1.154246,0.187729,0.128090,0.891022,1.224274,0.137359,0.170972,0.963159,1.180461,0.180040,0.185698,0.967179,1.096964,0.087219,0.102758,0.901984,1.258079,0.088574,0.090639,0.928476,1.198909,0.080316,-0.079663,0.974679,1.224982,0.111772,0.043661,0.915682,1.120019,0.110798,0.045486,0.803792,1.148099,0.124916,-0.012527,0.000000,1.142999,0.079659,-0.077927,1.224870,0.111766,0.043983,1.120316,0.110146,0.045195,,,,1.201631,0.187684,0.123885,1.134874,0.137218,0.174114,1.154052,0.188111,0.127985,1.224192,0.137390,0.171088,1.180595,0.180043,0.185698,1.096848,0.087540,0.102588,1.257923,0.088596,0.090878,1.198913,0.080416,-0.079676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.002976,-0.015086,0.007068,-0.999857,1.173775,0.126134,0.074609,0.000227,1.143217,0.079533,-0.077897,0.935196,1.201670,0.187736,0.124082,0.949642,1.134391,0.137524,0.173991,0.855910,1.154246,0.187739,0.128092,0.889826,1.224270,0.137365,0.170976,0.963585,1.180458,0.180048,0.185702,0.966407,1.096960,0.087233,0.102756,0.904680,1.258075,0.088579,0.090644,0.928451,1.198911,0.080328,-0.079660,0.974907,1.224981,0.111780,0.043665,0.914614,1.120018,0.110812,0.045485,0.806768,1.148101,0.124930,-0.012526,0.000000,1.143007,0.079678,-0.077917,1.224879,0.111781,0.043991,1.120314,0.110150,0.045199,,,,1.201626,0.187694,0.123888,1.134871,0.137235,0.174115,1.154051,0.188111,0.127992,1.224184,0.137378,0.171082,1.180595,0.180058,0.185697,1.096841,0.087561,0.102584,1.257918,0.088604,0.090881,1.198912,0.080425,-0.079675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.002923,-0.015352,0.006607,-0.999856,1.173801,0.126115,0.074645,0.000248,1.143206,0.079472,-0.077840,0.927961,1.201666,0.187747,0.124098,0.943881,1.134460,0.137478,0.174047,0.874799,1.154244,0.187707,0.128133,0.882235,1.224337,0.137401,0.170985,0.953839,1.180494,0.180045,0.185730,0.973258,1.097037,0.087146,0.102836,0.926956,1.258144,0.088639,0.090638,0.917342,1.198898,0.080318,-0.079633,0.970755,1.225004,0.111806,0.043675,0.913256,1.120044,0.110740,0.045551,0.814701,1.148083,0.124879,-0.012476,0.000000,1.143005,0.079666,-0.077914,1.224876,0.111782,0.043996,1.120320,0.110147,0.045204,,,,1.201623,0.187691,0.123885,1.134884,0.137220,0.174117,1.154060,0.188116,0.127990,1.224191,0.137392,0.171097,1.180596,0.180047,0.185699,1.097132,0.087404,0.102933,1.257924,0.088607,0.090883,1.198923,0.080427,-0.079670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.002957,-0.015083,0.007066,-0.999857,1.173782,0.126118,0.074604,0.000231,1.143224,0.079511,-0.077900,0.935681,1.201677,0.187722,0.124075,0.949444,1.134397,0.137512,0.173985,0.854547,1.154253,0.187725,0.128084,0.888950,1.224276,0.137353,0.170971,0.964503,1.180464,0.180036,0.185694,0.967471,1.096966,0.087218,0.102752,0.901721,1.258081,0.088564,0.090640,0.930266,1.198919,0.080306,-0.079664,0.974789,1.224988,0.111763,0.043660,0.912492,1.120025,0.110795,0.045480,0.804889,1.148109,0.124910,-0.012532,0.000000,1.143006,0.079646,-0.077922,1.224877,0.111765,0.043992,1.120328,0.110137,0.045188,,,,1.201638,0.187678,0.123881,1.134881,0.137216,0.174115,1.154058,0.188113,0.127985,1.224188,0.137373,0.171080,1.180594,0.180035,0.185688,1.096847,0.087549,0.102575,1.257929,0.088589,0.090873,1.198924,0.080406,-0.079677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.002993,-0.015066,0.007239,-0.999856,1.173794,0.126128,0.074619,0.000219,1.143226,0.079542,-0.077890,0.936681,1.201708,0.187719,0.124095,0.965789,1.134410,0.137529,0.174000,0.858090,1.154284,0.187739,0.128103,0.884463,1.224289,0.137339,0.170988,0.963383,1.180491,0.180036,0.185713,0.974554,1.096964,0.087253,0.102761,0.905820,1.258080,0.088543,0.090655,0.931277,1.198920,0.080318,-0.079651,0.976270,1.224996,0.111758,0.043676,0.919161,1.120033,0.110825,0.045492,0.802502,1.148123,0.124935,-0.012518,0.000000,1.142998,0.079648,-0.077923,1.224872,0.111746,0.043974,1.120317,0.110155,0.045185,,,,1.201844,0.187723,0.124080,1.134875,0.137222,0.174109,1.154047,0.188115,0.127978,1.224188,0.137387,0.171083,1.180588,0.180043,0.185683,1.096844,0.087561,0.102580,1.257914,0.088593,0.090868,1.198915,0.080410,-0.079676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.003012,-0.015023,0.007272,-0.999856,1.173797,0.126154,0.074618,0.000215,1.143239,0.079575,-0.077894,0.938343,1.201712,0.187742,0.124099,0.967413,1.134406,0.137554,0.173996,0.861268,1.154287,0.187764,0.128103,0.889020,1.224285,0.137358,0.170992,0.964240,1.180489,0.180058,0.185715,0.970822,1.096963,0.087283,0.102753,0.905737,1.258080,0.088563,0.090661,0.934136,1.198934,0.080348,-0.079651,0.978921,1.225001,0.111781,0.043679,0.917295,1.120038,0.110856,0.045487,0.802539,1.148134,0.124966,-0.012520,0.000000,1.143029,0.079698,-0.077936,1.224881,0.111780,0.043987,1.120311,0.110174,0.045196,,,,1.201842,0.187745,0.124086,1.134866,0.137261,0.174096,1.154051,0.188120,0.127982,1.224178,0.137392,0.171081,1.180597,0.180078,0.185675,1.096839,0.087592,0.102576,1.257921,0.088616,0.090864,1.198920,0.080429,-0.079670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.003076,-0.015051,0.007186,-0.999856,1.173807,0.126165,0.074614,0.000217,1.143248,0.079601,-0.077903,0.940398,1.201713,0.187750,0.124101,0.967927,1.134418,0.137545,0.173996,0.860748,1.154289,0.187764,0.128108,0.887716,1.224297,0.137364,0.170987,0.962119,1.180495,0.180055,0.185718,0.968306,1.096980,0.087277,0.102748,0.908233,1.258096,0.088586,0.090647,0.930221,1.198943,0.080383,-0.079663,0.972438,1.225011,0.111805,0.043670,0.916194,1.120048,0.110861,0.045483,0.801225,1.148139,0.124984,-0.012523,0.000000,1.143041,0.079715,-0.077934,1.224888,0.111807,0.043982,1.120325,0.110175,0.045192,,,,1.201840,0.187748,0.124084,1.134880,0.137249,0.174096,1.154058,0.188128,0.127982,1.224183,0.137399,0.171081,1.180611,0.180084,0.185676,1.096856,0.087577,0.102577,1.257931,0.088628,0.090868,1.198926,0.080481,-0.079710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.002914,-0.014829,0.007236,-0.999860,1.173752,0.126162,0.074559,0.000225,1.143256,0.079552,-0.077957,0.929242,1.201643,0.187762,0.124038,0.959476,1.134321,0.137579,0.173919,0.908199,1.154217,0.187781,0.128023,0.905478,1.224201,0.137389,0.170950,0.964560,1.180397,0.180089,0.185647,0.950900,1.096909,0.087291,0.102671,0.926525,1.258031,0.088581,0.090641,0.935349,1.198952,0.080328,-0.079692,0.963777,1.224969,0.111788,0.043642,0.910074,1.120005,0.110854,0.045409,0.800522,1.148123,0.124955,-0.012590,0.000000,1.143015,0.079699,-0.077947,1.224875,0.111785,0.043989,1.120316,0.110155,0.045184,,,,1.201624,0.187692,0.123893,1.134578,0.137418,0.173711,1.154049,0.188118,0.127979,1.224182,0.137412,0.171089,1.180590,0.180070,0.185675,1.096842,0.087559,0.102571,1.257917,0.088622,0.090870,1.198914,0.080464,-0.079722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.002940,-0.014853,0.007228,-0.999859,1.173752,0.126158,0.074560,0.000224,1.143250,0.079555,-0.077956,0.931074,1.201644,0.187756,0.124042,0.959272,1.134326,0.137569,0.173923,0.910922,1.154218,0.187774,0.128029,0.904573,1.224206,0.137381,0.170950,0.966141,1.180401,0.180079,0.185652,0.952119,1.096911,0.087285,0.102674,0.923797,1.258032,0.088577,0.090637,0.934542,1.198946,0.080332,-0.079694,0.950733,1.224968,0.111786,0.043641,0.908938,1.120004,0.110851,0.045413,0.799090,1.148119,0.124955,-0.012587,0.000000,1.142999,0.079663,-0.077924,1.224870,0.111762,0.043991,1.120318,0.110146,0.045188,,,,1.201623,0.187692,0.123893,1.134579,0.137418,0.173723,1.154053,0.188116,0.127985,1.224188,0.137404,0.171082,1.180588,0.180056,0.185688,1.096844,0.087564,0.102573,1.257921,0.088607,0.090872,1.198923,0.080515,-0.079763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.002927,-0.014813,0.007438,-0.999858,1.173772,0.126171,0.074589,0.000218,1.143262,0.079575,-0.077928,0.931074,1.201686,0.187758,0.124071,0.959272,1.134343,0.137602,0.173949,0.910922,1.154260,0.187797,0.128055,0.904573,1.224223,0.137375,0.170982,0.966141,1.180435,0.180092,0.185679,0.952119,1.096913,0.087330,0.102699,0.923797,1.258035,0.088555,0.090674,0.934542,1.198958,0.080329,-0.079661,0.950733,1.224984,0.111776,0.043674,0.908938,1.120020,0.110885,0.045438,0.799090,1.148145,0.124976,-0.012560,0.000000,1.143004,0.079667,-0.077923,1.224879,0.111775,0.043989,1.120318,0.110160,0.045202,,,,1.201851,0.187740,0.124090,1.134580,0.137432,0.173722,1.154046,0.188122,0.127988,1.224184,0.137390,0.171083,1.180585,0.180131,0.185747,1.096837,0.087574,0.102578,1.257918,0.088607,0.090872,1.198919,0.080471,-0.079720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.143014,0.079676,-0.077921,1.224884,0.111777,0.043981,1.120325,0.110149,0.045201,,,,1.201626,0.187699,0.123891,1.134889,0.137221,0.174116,1.154049,0.188109,0.127988,1.224180,0.137382,0.171096,1.180611,0.180062,0.185695,1.097133,0.087403,0.102924,1.257922,0.088601,0.090881,1.198923,0.080425,-0.079672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
