Format Version,1.23,Take Name,N_75,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.21.55.049 PM,Total Frames in Take,966,Total Exported Frames,966,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.001993,0.939055,-0.027218,0.342682,0.173796,0.126237,-0.627030,0.000194,0.093568,0.086814,-0.491483,0.865149,0.187781,0.185420,-0.684670,0.942214,0.269700,0.133106,-0.675122,0.938566,0.225784,0.185346,-0.656019,0.916901,0.200726,0.132881,-0.732827,0.949734,0.244424,0.174937,-0.716097,0.952496,0.248646,0.086251,-0.595334,0.941394,0.120582,0.087788,-0.693842,0.914149,0.050924,0.087563,-0.527351,0.923757,0.114606,0.113214,-0.637644,0.938246,0.193988,0.112402,-0.568947,0.841416,0.134818,0.129126,-0.545020,0.000000,0.093894,0.087087,-0.491152,0.114603,0.113416,-0.637792,0.194002,0.111782,-0.569072,,,,0.187695,0.185373,-0.684468,0.269475,0.132965,-0.675159,0.225587,0.185577,-0.656174,0.200841,0.132777,-0.732703,0.244498,0.175062,-0.715975,0.248513,0.086414,-0.595457,0.120919,0.087705,-0.693821,0.050702,0.087563,-0.527565,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.001948,0.939041,-0.027239,0.342720,0.173802,0.126226,-0.627012,0.000177,0.093567,0.086807,-0.491469,0.865164,0.187788,0.185406,-0.684655,0.943789,0.269709,0.133098,-0.675097,0.933079,0.225789,0.185337,-0.656001,0.914746,0.200740,0.132864,-0.732807,0.950406,0.244434,0.174925,-0.716076,0.952651,0.248653,0.086248,-0.595307,0.939150,0.120597,0.087768,-0.693826,0.913212,0.050925,0.087550,-0.527340,0.922877,0.114614,0.113198,-0.637629,0.937477,0.193991,0.112397,-0.568927,0.841902,0.134818,0.129118,-0.545005,0.000000,0.093888,0.087083,-0.491163,0.114581,0.113396,-0.637766,0.194006,0.111774,-0.569065,,,,0.187689,0.185375,-0.684452,0.269483,0.132976,-0.675148,0.225598,0.185579,-0.656178,0.200839,0.132773,-0.732698,0.244491,0.175055,-0.715976,0.248619,0.086336,-0.595312,0.120918,0.087692,-0.693813,0.050697,0.087560,-0.527563,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.001894,0.939037,-0.027253,0.342728,0.173802,0.126235,-0.627010,0.000172,0.093568,0.086817,-0.491466,0.867641,0.187782,0.185412,-0.684657,0.950901,0.269709,0.133113,-0.675094,0.934277,0.225783,0.185348,-0.656003,0.911933,0.200741,0.132869,-0.732806,0.956688,0.244430,0.174934,-0.716077,0.952461,0.248655,0.086265,-0.595302,0.977897,0.120601,0.087768,-0.693822,0.918194,0.050927,0.087554,-0.527337,0.920356,0.114615,0.113201,-0.637628,0.941618,0.193991,0.112411,-0.568924,0.839232,0.134816,0.129128,-0.545004,0.000000,0.093890,0.087097,-0.491152,0.114583,0.113390,-0.637761,0.194008,0.111783,-0.569062,,,,0.187688,0.185427,-0.684485,0.269485,0.132984,-0.675144,0.225581,0.185579,-0.656176,0.200831,0.132767,-0.732699,0.244494,0.175071,-0.715961,0.248621,0.086347,-0.595299,0.120918,0.087686,-0.693812,0.050703,0.087561,-0.527564,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.001892,0.939040,-0.027243,0.342723,0.173796,0.126238,-0.627004,0.000175,0.093565,0.086817,-0.491459,0.867140,0.187776,0.185416,-0.684650,0.943476,0.269703,0.133118,-0.675089,0.934789,0.225777,0.185352,-0.655996,0.911965,0.200734,0.132874,-0.732800,0.957776,0.244423,0.174939,-0.716071,0.954038,0.248651,0.086269,-0.595297,0.978781,0.120595,0.087772,-0.693816,0.917246,0.050923,0.087554,-0.527330,0.920142,0.114610,0.113203,-0.637621,0.940993,0.193987,0.112413,-0.568918,0.839883,0.134811,0.129129,-0.544998,0.000000,0.093883,0.087106,-0.491147,0.114580,0.113395,-0.637756,0.194001,0.111790,-0.569066,,,,0.187682,0.185388,-0.684446,0.269475,0.133004,-0.675147,0.225578,0.185589,-0.656165,0.200827,0.132779,-0.732696,0.244481,0.175074,-0.715959,0.248619,0.086347,-0.595299,0.120916,0.087693,-0.693808,0.050699,0.087562,-0.527557,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.001925,0.939052,-0.027183,0.342692,0.173788,0.126245,-0.627015,0.000190,0.093564,0.086807,-0.491470,0.865292,0.187765,0.185431,-0.684654,0.941419,0.269692,0.133129,-0.675105,0.936576,0.225768,0.185362,-0.656002,0.914745,0.200719,0.132895,-0.732811,0.951025,0.244410,0.174957,-0.716079,0.951296,0.248644,0.086270,-0.595318,0.940561,0.120581,0.087789,-0.693829,0.912848,0.050920,0.087550,-0.527339,0.922688,0.114600,0.113213,-0.637630,0.945743,0.193981,0.112412,-0.568932,0.841260,0.134808,0.129126,-0.545006,0.000000,0.093889,0.087091,-0.491148,0.114578,0.113390,-0.637753,0.194000,0.111790,-0.569062,,,,0.187684,0.185385,-0.684438,0.269471,0.133010,-0.675142,0.225581,0.185598,-0.656163,0.200834,0.132782,-0.732699,0.244485,0.175087,-0.715955,0.248503,0.086418,-0.595441,0.120920,0.087706,-0.693812,0.050699,0.087555,-0.527555,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.001987,0.939059,-0.027183,0.342674,0.173794,0.126251,-0.627014,0.000184,0.093571,0.086816,-0.491468,0.866615,0.187777,0.185437,-0.684651,0.952091,0.269697,0.133125,-0.675108,0.937386,0.225780,0.185363,-0.656001,0.916753,0.200723,0.132902,-0.732811,0.953169,0.244420,0.174958,-0.716079,0.954597,0.248647,0.086265,-0.595322,0.942037,0.120581,0.087804,-0.693828,0.913029,0.050926,0.087566,-0.527335,0.923611,0.114605,0.113226,-0.637628,0.945200,0.193989,0.112412,-0.568933,0.841389,0.134818,0.129133,-0.545004,0.000000,0.093893,0.087095,-0.491147,0.114588,0.113407,-0.637751,0.194005,0.111790,-0.569052,,,,0.187696,0.185430,-0.684477,0.269488,0.132992,-0.675138,0.225586,0.185586,-0.656154,0.200833,0.132802,-0.732698,0.244489,0.175075,-0.715959,0.248511,0.086414,-0.595436,0.120918,0.087722,-0.693803,0.050709,0.087562,-0.527551,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.001957,0.939050,-0.027212,0.342696,0.173801,0.126245,-0.627006,0.000176,0.093573,0.086818,-0.491461,0.867321,0.187783,0.185428,-0.684647,0.946247,0.269706,0.133120,-0.675096,0.931461,0.225786,0.185357,-0.655995,0.910426,0.200734,0.132889,-0.732803,0.958714,0.244428,0.174948,-0.716072,0.954165,0.248653,0.086264,-0.595308,0.976471,0.120592,0.087791,-0.693820,0.917030,0.050929,0.087563,-0.527330,0.919503,0.114613,0.113217,-0.637621,0.941812,0.193993,0.112412,-0.568923,0.841152,0.134821,0.129131,-0.544998,0.000000,0.093899,0.087101,-0.491153,0.114579,0.113405,-0.637755,0.194004,0.111792,-0.569064,,,,0.187696,0.185397,-0.684453,0.269475,0.132984,-0.675156,0.225583,0.185596,-0.656168,0.200827,0.132805,-0.732696,0.244487,0.175083,-0.715962,0.248624,0.086354,-0.595302,0.120917,0.087722,-0.693810,0.050700,0.087567,-0.527556,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.001857,0.939033,-0.027240,0.342743,0.173796,0.126248,-0.627011,0.000174,0.093562,0.086824,-0.491469,0.867601,0.187774,0.185426,-0.684658,0.944519,0.269705,0.133133,-0.675092,0.936171,0.225774,0.185365,-0.656002,0.912806,0.200738,0.132884,-0.732806,0.956687,0.244424,0.174952,-0.716076,0.953366,0.248652,0.086284,-0.595301,0.977111,0.120600,0.087777,-0.693825,0.919962,0.050922,0.087557,-0.527342,0.921735,0.114611,0.113209,-0.637630,0.940712,0.193985,0.112426,-0.568924,0.839339,0.134808,0.129138,-0.545006,0.000000,0.093884,0.087107,-0.491158,0.114582,0.113399,-0.637770,0.193994,0.111799,-0.569069,,,,0.187688,0.185397,-0.684455,0.269478,0.133027,-0.675141,0.225580,0.185599,-0.656174,0.200829,0.132780,-0.732701,0.244482,0.175094,-0.715969,0.248613,0.086367,-0.595300,0.120911,0.087698,-0.693820,0.050705,0.087570,-0.527567,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.001942,0.939053,-0.027208,0.342688,0.173795,0.126245,-0.627030,0.000191,0.093570,0.086816,-0.491484,0.865851,0.187775,0.185429,-0.684672,0.943431,0.269699,0.133123,-0.675122,0.935413,0.225778,0.185359,-0.656020,0.916525,0.200726,0.132890,-0.732828,0.950061,0.244419,0.174951,-0.716097,0.950723,0.248649,0.086267,-0.595333,0.939576,0.120586,0.087790,-0.693843,0.912678,0.050926,0.087560,-0.527352,0.922689,0.114607,0.113216,-0.637645,0.937326,0.193988,0.112413,-0.568948,0.840766,0.134816,0.129131,-0.545021,0.000000,0.093890,0.087098,-0.491158,0.114603,0.113422,-0.637789,0.194007,0.111789,-0.569075,,,,0.187696,0.185388,-0.684463,0.269480,0.132992,-0.675166,0.225584,0.185587,-0.656169,0.200833,0.132773,-0.732707,0.244490,0.175089,-0.715976,0.248511,0.086423,-0.595456,0.120921,0.087695,-0.693816,0.050706,0.087558,-0.527569,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.001981,0.939053,-0.027215,0.342687,0.173796,0.126234,-0.627031,0.000190,0.093568,0.086809,-0.491485,0.865612,0.187780,0.185417,-0.684671,0.942846,0.269700,0.133104,-0.675122,0.937348,0.225783,0.185343,-0.656020,0.917021,0.200727,0.132878,-0.732828,0.950925,0.244424,0.174934,-0.716097,0.952790,0.248647,0.086249,-0.595335,0.939860,0.120584,0.087783,-0.693844,0.913791,0.050924,0.087556,-0.527353,0.921487,0.114607,0.113209,-0.637645,0.941907,0.193988,0.112399,-0.568948,0.842615,0.134817,0.129121,-0.545022,0.000000,0.093898,0.087087,-0.491165,0.114588,0.113399,-0.637778,0.194016,0.111784,-0.569078,,,,0.187698,0.185367,-0.684464,0.269487,0.132977,-0.675153,0.225582,0.185560,-0.656171,0.200839,0.132774,-0.732704,0.244492,0.175063,-0.715977,0.248512,0.086407,-0.595456,0.120918,0.087699,-0.693828,0.050703,0.087565,-0.527576,,,,,,,,,,,,,,,,,,,,,,,,,,,
