Format Version,1.23,Take Name,P_85,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.30.25.896 PM,Total Frames in Take,973,Total Exported Frames,973,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167,Unlabeled 1170,Unlabeled 1170,Unlabeled 1170,Unlabeled 1171,Unlabeled 1171,Unlabeled 1171,Unlabeled 1173,Unlabeled 1173,Unlabeled 1173
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","110210","110210","110210","110260","110260","110260","110230","110230","110230","110270","110270","110270","110250","110250","110250","110200","110200","110200","110290","110290","110290","110280","110280","110280","110220","110220","110220","1102A0","1102A0","1102A0","110240","110240","110240","1101F0","1101F0","1101F0","1102B0","1102B0","1102B0","1102F0","1102F0","1102F0","1102D0","1102D0","1102D0","110310","110310","110310"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.011171,0.979243,-0.020321,-0.201361,-0.122157,0.126087,-0.658239,0.000215,-0.037199,0.085360,-0.526001,0.957461,-0.167134,0.185735,-0.696184,0.973772,-0.122069,0.133711,-0.765475,0.948396,-0.124477,0.185624,-0.717290,0.866139,-0.204589,0.133594,-0.729731,0.943893,-0.169846,0.175720,-0.760978,0.984319,-0.060418,0.086204,-0.711189,0.958133,-0.205911,0.087879,-0.640936,0.914836,-0.088386,0.086176,-0.503981,0.924425,-0.158260,0.112882,-0.610199,0.906562,-0.061251,0.111930,-0.650320,0.766063,-0.066348,0.128227,-0.586588,0.000000,-0.037318,0.085481,-0.526017,-0.157935,0.112811,-0.610369,-0.061818,0.111188,-0.650256,-0.167106,0.185806,-0.696112,-0.122251,0.133687,-0.765382,-0.124533,0.186147,-0.717387,-0.204382,0.133520,-0.729773,-0.169792,0.175717,-0.760946,-0.060538,0.086321,-0.711190,-0.205634,0.087750,-0.641088,-0.088265,0.086342,-0.503759,,,,,,,,,,,,,,,
1,0.008333,-0.011038,0.979245,-0.020352,-0.201354,-0.122156,0.126081,-0.658244,0.000201,-0.037211,0.085348,-0.525999,0.957461,-0.167117,0.185736,-0.696196,0.973772,-0.122063,0.133693,-0.765480,0.948396,-0.124460,0.185612,-0.717301,0.866139,-0.204585,0.133600,-0.729738,0.943893,-0.169830,0.175714,-0.760989,0.984319,-0.060426,0.086177,-0.711188,0.958133,-0.205920,0.087896,-0.640938,0.914836,-0.088398,0.086180,-0.503980,0.924425,-0.158263,0.112891,-0.610203,0.906562,-0.061253,0.111910,-0.650321,0.766063,-0.066348,0.128216,-0.586592,0.000000,-0.037327,0.085483,-0.526024,-0.157968,0.112813,-0.610381,-0.061813,0.111194,-0.650252,-0.167111,0.185828,-0.696116,-0.122248,0.133700,-0.765392,-0.124445,0.186009,-0.717407,-0.204393,0.133533,-0.729775,-0.169791,0.175731,-0.760944,-0.060532,0.086322,-0.711193,-0.205651,0.087765,-0.641091,-0.088272,0.086348,-0.503755,,,,,,,,,,,,,,,
2,0.016667,-0.010886,0.979240,-0.020427,-0.201380,-0.122135,0.126037,-0.658228,0.000185,-0.037195,0.085309,-0.525979,0.955158,-0.167082,0.185696,-0.696190,0.969672,-0.122045,0.133627,-0.765466,0.948759,-0.124425,0.185556,-0.717298,0.897397,-0.204565,0.133563,-0.729720,0.948302,-0.169800,0.175662,-0.760982,0.984485,-0.060418,0.086105,-0.711166,0.954973,-0.205908,0.087878,-0.640910,0.915984,-0.088380,0.086158,-0.503957,0.923175,-0.158243,0.112866,-0.610183,0.911609,-0.061236,0.111851,-0.650305,0.772154,-0.066323,0.128171,-0.586579,0.000000,-0.037314,0.085473,-0.526013,-0.157951,0.112794,-0.610362,-0.061820,0.111187,-0.650251,-0.167102,0.185807,-0.696107,-0.122249,0.133697,-0.765388,-0.124291,0.185633,-0.717330,-0.204381,0.133513,-0.729759,-0.169796,0.175733,-0.760926,-0.060515,0.086316,-0.711187,-0.205639,0.087752,-0.641080,-0.088261,0.086341,-0.503751,,,,,,,,,,,,,,,
3,0.025000,-0.010895,0.979243,-0.020434,-0.201362,-0.122144,0.126045,-0.658233,0.000187,-0.037208,0.085320,-0.525980,0.948559,-0.167091,0.185703,-0.696198,0.964858,-0.122050,0.133634,-0.765471,0.942762,-0.124434,0.185564,-0.717303,0.960507,-0.204572,0.133569,-0.729728,0.951420,-0.169807,0.175668,-0.760989,0.977284,-0.060424,0.086114,-0.711169,0.941740,-0.205917,0.087885,-0.640918,0.914485,-0.088394,0.086169,-0.503961,0.925044,-0.158254,0.112874,-0.610189,0.912261,-0.061245,0.111861,-0.650308,0.778364,-0.066335,0.128182,-0.586582,0.000000,-0.037322,0.085489,-0.526018,-0.157966,0.112809,-0.610378,-0.061820,0.111200,-0.650244,-0.167111,0.185814,-0.696118,-0.122248,0.133691,-0.765378,-0.124294,0.185648,-0.717337,-0.204390,0.133518,-0.729770,-0.169809,0.175748,-0.760935,-0.060526,0.086326,-0.711192,-0.205659,0.087752,-0.641091,-0.088269,0.086344,-0.503751,,,,,,,,,,,,,,,
4,0.033333,-0.011128,0.979247,-0.020352,-0.201337,-0.122152,0.126066,-0.658244,0.000203,-0.037204,0.085343,-0.525999,0.956184,-0.167122,0.185714,-0.696195,0.971718,-0.122057,0.133682,-0.765481,0.945577,-0.124464,0.185599,-0.717300,0.895131,-0.204580,0.133573,-0.729741,0.946408,-0.169832,0.175695,-0.760989,0.982623,-0.060413,0.086174,-0.711188,0.955097,-0.205909,0.087865,-0.640942,0.914219,-0.088391,0.086165,-0.503981,0.921916,-0.158258,0.112867,-0.610205,0.909186,-0.061247,0.111905,-0.650321,0.772191,-0.066346,0.128208,-0.586590,0.000000,-0.037316,0.085477,-0.526015,-0.157954,0.112779,-0.610382,-0.061813,0.111195,-0.650248,-0.167107,0.185798,-0.696121,-0.122254,0.133688,-0.765387,-0.124446,0.186002,-0.717412,-0.204380,0.133503,-0.729774,-0.169796,0.175725,-0.760938,-0.060527,0.086312,-0.711199,-0.205641,0.087728,-0.641107,-0.088269,0.086342,-0.503755,,,,,,,,,,,,,,,
5,0.041667,-0.011145,0.979247,-0.020321,-0.201342,-0.122163,0.126100,-0.658241,0.000211,-0.037212,0.085370,-0.525999,0.958217,-0.167135,0.185750,-0.696188,0.972763,-0.122069,0.133724,-0.765477,0.946466,-0.124477,0.185637,-0.717293,0.868241,-0.204591,0.133611,-0.729736,0.946785,-0.169844,0.175735,-0.760983,0.985563,-0.060423,0.086213,-0.711188,0.962703,-0.205919,0.087897,-0.640941,0.914478,-0.088399,0.086189,-0.503981,0.923449,-0.158268,0.112898,-0.610202,0.910625,-0.061257,0.111940,-0.650319,0.768731,-0.066356,0.128238,-0.586588,0.000000,-0.037318,0.085499,-0.526017,-0.157970,0.112829,-0.610387,-0.061810,0.111203,-0.650239,-0.167109,0.185827,-0.696116,-0.122256,0.133688,-0.765378,-0.124533,0.186153,-0.717383,-0.204393,0.133544,-0.729778,-0.169795,0.175737,-0.760953,-0.060524,0.086323,-0.711194,-0.205646,0.087771,-0.641104,-0.088271,0.086350,-0.503754,,,,,,,,,,,,,,,
6,0.050000,-0.010906,0.979243,-0.020417,-0.201366,-0.122134,0.126061,-0.658225,0.000185,-0.037196,0.085332,-0.525974,0.950827,-0.167082,0.185719,-0.696187,0.965935,-0.122042,0.133654,-0.765463,0.942933,-0.124425,0.185582,-0.717293,0.948779,-0.204562,0.133586,-0.729719,0.950687,-0.169798,0.175687,-0.760978,0.984423,-0.060414,0.086132,-0.711162,0.945006,-0.205906,0.087898,-0.640910,0.914556,-0.088382,0.086179,-0.503954,0.924787,-0.158243,0.112887,-0.610181,0.909238,-0.061235,0.111877,-0.650301,0.778501,-0.066324,0.128195,-0.586574,0.000000,-0.037307,0.085491,-0.526010,-0.157944,0.112813,-0.610372,-0.061802,0.111199,-0.650244,-0.167101,0.185834,-0.696116,-0.122245,0.133679,-0.765362,-0.124327,0.185761,-0.717297,-0.204379,0.133535,-0.729769,-0.169788,0.175737,-0.760943,-0.060516,0.086327,-0.711179,-0.205638,0.087779,-0.641085,-0.088261,0.086356,-0.503743,,,,,,,,,,,,,,,
7,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037317,0.085498,-0.526010,-0.157954,0.112819,-0.610383,-0.061801,0.111210,-0.650232,-0.167105,0.185831,-0.696124,-0.122236,0.133688,-0.765356,-0.124336,0.185795,-0.717289,-0.204385,0.133545,-0.729785,-0.169794,0.175748,-0.760945,-0.060516,0.086331,-0.711180,-0.205644,0.087775,-0.641103,-0.088260,0.086363,-0.503737,,,,,,,,,,,,,,,
8,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
