Format Version,1.23,Take Name,N_85,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.23.01.737 PM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.009412,0.825040,-0.005732,-0.564967,0.274167,0.128763,0.375121,0.000203,0.427037,0.084174,0.406838,0.945282,0.217049,0.189789,0.380943,0.958144,0.197864,0.138573,0.300026,0.932394,0.231835,0.189520,0.335705,0.952454,0.165622,0.138867,0.383976,0.942260,0.168655,0.181138,0.337478,0.976216,0.278612,0.089119,0.293790,0.929727,0.226974,0.091371,0.446875,0.927272,0.406952,0.085247,0.458810,0.888174,0.282872,0.115080,0.434473,0.904733,0.322104,0.113607,0.337107,0.766731,0.364427,0.128668,0.385432,0.000000,0.427013,0.084137,0.406632,0.282659,0.115068,0.434157,0.321805,0.112886,0.337602,,,,0.217198,0.189791,0.381028,0.197895,0.138527,0.300307,0.231925,0.189684,0.335775,0.165601,0.138843,0.383748,0.168644,0.181160,0.337555,0.278787,0.089367,0.293803,0.226849,0.091371,0.446617,0.407184,0.085613,0.458822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.009579,0.825005,-0.005829,-0.565014,0.274187,0.128785,0.375109,0.000214,0.427078,0.084254,0.406807,0.947377,0.217046,0.189789,0.380939,0.957047,0.197871,0.138568,0.300023,0.928279,0.231826,0.189526,0.335700,0.949912,0.165639,0.138846,0.383978,0.942345,0.168650,0.181120,0.337480,0.979846,0.278638,0.089145,0.293777,0.924139,0.227017,0.091373,0.446868,0.928423,0.406998,0.085319,0.458781,0.891714,0.282904,0.115104,0.434460,0.904635,0.322125,0.113648,0.337090,0.769169,0.364448,0.128724,0.385410,0.000000,0.427223,0.084325,0.406547,0.282644,0.115067,0.434150,0.321805,0.112884,0.337595,,,,0.217206,0.189791,0.381021,0.197908,0.138525,0.300306,0.231937,0.189671,0.335777,0.165593,0.138852,0.383742,0.168640,0.181173,0.337556,0.278793,0.089350,0.293818,0.226840,0.091386,0.446608,0.407181,0.085613,0.458819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.009569,0.825006,-0.005835,-0.565012,0.274183,0.128783,0.375111,0.000212,0.427074,0.084252,0.406811,0.922328,0.217043,0.189788,0.380939,0.954233,0.197868,0.138566,0.300025,0.928091,0.231824,0.189524,0.335700,0.953028,0.165636,0.138846,0.383979,0.939900,0.168647,0.181119,0.337480,0.976962,0.278634,0.089142,0.293779,0.934753,0.227013,0.091373,0.446870,0.920824,0.406994,0.085318,0.458784,0.913007,0.282900,0.115103,0.434462,0.899630,0.322122,0.113645,0.337092,0.757115,0.364444,0.128722,0.385412,0.000000,0.427214,0.084325,0.406543,0.282641,0.115068,0.434157,0.321804,0.112884,0.337604,,,,0.217205,0.189796,0.381025,0.197901,0.138518,0.300306,0.231926,0.189663,0.335776,0.165595,0.138857,0.383742,0.168647,0.181171,0.337556,0.278793,0.089346,0.293815,0.226832,0.091383,0.446610,0.407175,0.085612,0.458822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.009383,0.825044,-0.005731,-0.564962,0.274158,0.128768,0.375123,0.000206,0.427026,0.084173,0.406844,0.947146,0.217043,0.189798,0.380942,0.958590,0.197857,0.138580,0.300027,0.926380,0.231830,0.189526,0.335705,0.952325,0.165614,0.138878,0.383977,0.940014,0.168649,0.181147,0.337477,0.975172,0.278603,0.089122,0.293793,0.925547,0.226963,0.091381,0.446878,0.926274,0.406940,0.085249,0.458815,0.892230,0.282862,0.115087,0.434476,0.904536,0.322095,0.113609,0.337111,0.769164,0.364418,0.128669,0.385435,0.000000,0.426998,0.084150,0.406635,0.282646,0.115073,0.434161,0.321793,0.112889,0.337603,,,,0.217188,0.189800,0.381023,0.197897,0.138527,0.300314,0.231922,0.189675,0.335779,0.165590,0.138859,0.383739,0.168642,0.181188,0.337567,0.278780,0.089361,0.293812,0.226838,0.091379,0.446611,0.407175,0.085610,0.458824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.009424,0.825047,-0.005717,-0.564957,0.274158,0.128769,0.375123,0.000204,0.427028,0.084180,0.406842,0.949134,0.217040,0.189796,0.380946,0.957006,0.197857,0.138583,0.300027,0.928808,0.231826,0.189528,0.335709,0.952599,0.165613,0.138873,0.383976,0.942650,0.168647,0.181146,0.337480,0.976189,0.278605,0.089129,0.293791,0.925546,0.226964,0.091375,0.446875,0.926227,0.406941,0.085251,0.458813,0.890311,0.282862,0.115084,0.434475,0.904152,0.322096,0.113615,0.337110,0.770614,0.364417,0.128674,0.385436,0.000000,0.427005,0.084150,0.406642,0.282651,0.115062,0.434155,0.321794,0.112900,0.337600,,,,0.217193,0.189795,0.381024,0.197889,0.138539,0.300306,0.231920,0.189678,0.335777,0.165588,0.138848,0.383750,0.168637,0.181186,0.337566,0.278775,0.089373,0.293815,0.226836,0.091371,0.446609,0.407174,0.085623,0.458823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.009409,0.825042,-0.005716,-0.564965,0.274158,0.128770,0.375125,0.000205,0.427028,0.084177,0.406842,0.948692,0.217042,0.189798,0.380948,0.956062,0.197856,0.138584,0.300030,0.929667,0.231828,0.189528,0.335710,0.951974,0.165614,0.138876,0.383980,0.943628,0.168648,0.181148,0.337483,0.976566,0.278603,0.089128,0.293793,0.926315,0.226965,0.091377,0.446878,0.927370,0.406942,0.085250,0.458813,0.891943,0.282863,0.115085,0.434477,0.904256,0.322096,0.113614,0.337111,0.768461,0.364418,0.128673,0.385437,0.000000,0.427001,0.084153,0.406640,0.282646,0.115063,0.434162,0.321790,0.112893,0.337606,,,,0.217196,0.189798,0.381033,0.197897,0.138549,0.300306,0.231923,0.189683,0.335774,0.165595,0.138846,0.383757,0.168634,0.181181,0.337570,0.278779,0.089364,0.293809,0.226835,0.091383,0.446618,0.407171,0.085616,0.458817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.009412,0.825039,-0.005728,-0.564968,0.274163,0.128762,0.375131,0.000204,0.427033,0.084172,0.406847,0.949209,0.217045,0.189788,0.380953,0.957383,0.197860,0.138573,0.300036,0.930079,0.231831,0.189519,0.335716,0.951151,0.165618,0.138866,0.383987,0.944088,0.168651,0.181137,0.337489,0.976395,0.278607,0.089119,0.293800,0.925943,0.226970,0.091369,0.446885,0.927273,0.406948,0.085245,0.458819,0.891460,0.282868,0.115078,0.434483,0.904368,0.322100,0.113605,0.337117,0.766771,0.364423,0.128666,0.385442,0.000000,0.427004,0.084144,0.406648,0.282656,0.115061,0.434165,0.321801,0.112879,0.337621,,,,0.217194,0.189784,0.381037,0.197898,0.138530,0.300310,0.231928,0.189675,0.335783,0.165596,0.138842,0.383766,0.168634,0.181171,0.337576,0.278779,0.089360,0.293810,0.226843,0.091374,0.446624,0.407180,0.085612,0.458824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.009415,0.825043,-0.005739,-0.564962,0.274162,0.128761,0.375133,0.000204,0.427033,0.084174,0.406852,0.948844,0.217043,0.189787,0.380953,0.956504,0.197860,0.138570,0.300037,0.931578,0.231830,0.189517,0.335716,0.952195,0.165617,0.138863,0.383987,0.942280,0.168650,0.181134,0.337488,0.977472,0.278609,0.089117,0.293802,0.925487,0.226969,0.091369,0.446887,0.928567,0.406947,0.085248,0.458823,0.890691,0.282867,0.115079,0.434485,0.905515,0.322100,0.113605,0.337120,0.765050,0.364422,0.128667,0.385445,0.000000,0.427005,0.084142,0.406652,0.282650,0.115066,0.434176,0.321789,0.112872,0.337619,,,,0.217192,0.189787,0.381044,0.197902,0.138534,0.300305,0.231923,0.189671,0.335780,0.165599,0.138835,0.383758,0.168643,0.181158,0.337575,0.278776,0.089364,0.293813,0.226847,0.091374,0.446628,0.407179,0.085618,0.458829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.009443,0.825053,-0.005718,-0.564947,0.274164,0.128756,0.375139,0.000207,0.427035,0.084171,0.406860,0.948760,0.217044,0.189780,0.380961,0.956352,0.197865,0.138568,0.300040,0.930617,0.231832,0.189514,0.335724,0.949073,0.165619,0.138855,0.383989,0.942816,0.168652,0.181129,0.337494,0.975215,0.278615,0.089118,0.293806,0.925525,0.226970,0.091358,0.446888,0.927851,0.406947,0.085241,0.458831,0.890829,0.282867,0.115070,0.434490,0.904212,0.322104,0.113604,0.337126,0.765145,0.364424,0.128664,0.385454,0.000000,0.427006,0.084139,0.406660,0.282649,0.115052,0.434176,0.321800,0.112871,0.337629,,,,0.217197,0.189779,0.381045,0.197906,0.138535,0.300313,0.231939,0.189677,0.335782,0.165602,0.138819,0.383764,0.168635,0.181148,0.337590,0.278781,0.089364,0.293816,0.226840,0.091369,0.446631,0.407175,0.085613,0.458834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.009472,0.825075,-0.005682,-0.564916,0.274169,0.128765,0.375134,0.000206,0.427037,0.084178,0.406863,0.947043,0.217048,0.189788,0.380958,0.955345,0.197875,0.138584,0.300031,0.932830,0.231839,0.189526,0.335723,0.952097,0.165623,0.138863,0.383978,0.943873,0.168659,0.181142,0.337486,0.977803,0.278626,0.089134,0.293798,0.928677,0.226969,0.091360,0.446877,0.929321,0.406945,0.085243,0.458833,0.888940,0.282868,0.115074,0.434485,0.904492,0.322112,0.113617,0.337124,0.764003,0.364428,0.128672,0.385456,0.000000,0.427012,0.084143,0.406656,0.282650,0.115054,0.434172,0.321798,0.112879,0.337622,,,,0.217201,0.189787,0.381050,0.197946,0.138577,0.300290,0.231934,0.189681,0.335785,0.165597,0.138825,0.383758,0.168638,0.181157,0.337571,0.278786,0.089370,0.293819,0.226843,0.091372,0.446624,0.407178,0.085621,0.458839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
