Format Version,1.23,Take Name,P_95,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.28.26.605 PM,Total Frames in Take,994,Total Exported Frames,994,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.329889,0.091585,-0.359724,-1.287539,0.121537,-0.218960,-1.389592,0.124306,-0.248722,-1.332876,0.197027,-0.148127,-1.412478,0.147076,-0.121398,-1.379692,0.197363,-0.158112,-1.325513,0.145822,-0.097308,-1.371632,0.188810,-0.095575,-1.427610,0.097989,-0.201206,-1.270130,0.097606,-0.164808,-1.276021,0.092319,-0.345096,,,,,,,,,,,,
7,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.010862,0.135022,0.011547,-0.990716,-1.345521,0.136356,-0.204513,0.000267,-1.329838,0.091944,-0.359900,0.900631,-1.333061,0.197023,-0.148078,0.952719,-1.412521,0.147042,-0.121119,0.930152,-1.379539,0.197554,-0.158311,0.923071,-1.325797,0.145827,-0.097350,0.928371,-1.371659,0.188861,-0.095641,0.976684,-1.427539,0.098059,-0.200993,0.943124,-1.270078,0.097592,-0.164767,0.983754,-1.276123,0.092084,-0.345058,0.933188,-1.287558,0.121750,-0.219094,0.936288,-1.388340,0.122034,-0.248492,0.349913,-1.344199,0.136499,-0.295350,0.000000,-1.329885,0.091601,-0.359722,-1.287545,0.121536,-0.218957,-1.389673,0.124292,-0.248679,-1.332880,0.197032,-0.148115,-1.412477,0.147065,-0.121391,-1.379679,0.197377,-0.158109,-1.325522,0.145834,-0.097315,-1.371637,0.188819,-0.095565,-1.427608,0.097974,-0.201196,-1.270126,0.097623,-0.164809,-1.276034,0.092332,-0.345086,,,,,,,,,,,,
9,0.075000,-0.010864,0.135027,0.011513,-0.990715,-1.345517,0.136367,-0.204518,0.000266,-1.329829,0.091956,-0.359904,0.902664,-1.333062,0.197035,-0.148083,0.953648,-1.412518,0.147049,-0.121124,0.930792,-1.379539,0.197563,-0.158316,0.924386,-1.325795,0.145840,-0.097355,0.930480,-1.371660,0.188871,-0.095647,0.977562,-1.427533,0.098064,-0.200998,0.942450,-1.270072,0.097609,-0.164771,0.982415,-1.276114,0.092099,-0.345062,0.933918,-1.287553,0.121765,-0.219098,0.936292,-1.388334,0.122042,-0.248497,0.342826,-1.344194,0.136509,-0.295355,0.000000,-1.329869,0.091620,-0.359718,-1.287542,0.121552,-0.218964,-1.389650,0.124314,-0.248688,-1.332875,0.197048,-0.148114,-1.412473,0.147066,-0.121389,-1.379688,0.197403,-0.158131,-1.325516,0.145847,-0.097328,-1.371633,0.188821,-0.095579,-1.427611,0.097971,-0.201188,-1.270128,0.097630,-0.164808,-1.276025,0.092346,-0.345094,,,,,,,,,,,,
10,0.083333,-0.010858,0.135033,0.011554,-0.990714,-1.345519,0.136357,-0.204518,0.000264,-1.329833,0.091944,-0.359905,0.903595,-1.333059,0.197024,-0.148084,0.952650,-1.412520,0.147044,-0.121126,0.932675,-1.379536,0.197556,-0.158317,0.928350,-1.325797,0.145829,-0.097356,0.929820,-1.371658,0.188863,-0.095648,0.978055,-1.427538,0.098061,-0.201000,0.943626,-1.270077,0.097592,-0.164771,0.982399,-1.276119,0.092083,-0.345062,0.933778,-1.287556,0.121750,-0.219098,0.936924,-1.388337,0.122036,-0.248498,0.342102,-1.344195,0.136499,-0.295355,0.000000,-1.329868,0.091609,-0.359725,-1.287545,0.121543,-0.218959,-1.389669,0.124278,-0.248701,-1.332877,0.197038,-0.148117,-1.412478,0.147066,-0.121391,-1.379685,0.197379,-0.158125,-1.325515,0.145830,-0.097320,-1.371631,0.188815,-0.095580,-1.427611,0.097976,-0.201190,-1.270126,0.097620,-0.164813,-1.276030,0.092319,-0.345093,,,,,,,,,,,,
11,0.091667,-0.010852,0.135041,0.011595,-0.990713,-1.345525,0.136353,-0.204524,0.000262,-1.329841,0.091939,-0.359910,0.904617,-1.333062,0.197019,-0.148090,0.953394,-1.412526,0.147047,-0.121133,0.932541,-1.379538,0.197555,-0.158324,0.924874,-1.325804,0.145824,-0.097361,0.928906,-1.371662,0.188862,-0.095654,0.978102,-1.427547,0.098064,-0.201007,0.944799,-1.270088,0.097583,-0.164775,0.982515,-1.276126,0.092074,-0.345067,0.936653,-1.287563,0.121742,-0.219103,0.937601,-1.388344,0.122036,-0.248505,0.345971,-1.344200,0.136495,-0.295361,0.000000,-1.329892,0.091580,-0.359727,-1.287550,0.121529,-0.218957,-1.389646,0.124270,-0.248718,-1.332882,0.197037,-0.148124,-1.412473,0.147073,-0.121403,-1.379696,0.197371,-0.158142,-1.325527,0.145819,-0.097326,-1.371633,0.188801,-0.095580,-1.427612,0.097990,-0.201202,-1.270132,0.097609,-0.164812,-1.276030,0.092327,-0.345097,,,,,,,,,,,,
12,0.100000,-0.010853,0.135040,0.011616,-0.990713,-1.345523,0.136341,-0.204527,0.000264,-1.329841,0.091928,-0.359914,0.901642,-1.333057,0.197006,-0.148092,0.954207,-1.412524,0.147037,-0.121136,0.933183,-1.379533,0.197544,-0.158326,0.919402,-1.325801,0.145810,-0.097364,0.930432,-1.371657,0.188850,-0.095657,0.977871,-1.427547,0.098055,-0.201010,0.947895,-1.270087,0.097567,-0.164779,0.983025,-1.276126,0.092060,-0.345070,0.933442,-1.287561,0.121728,-0.219106,0.937533,-1.388342,0.122026,-0.248508,0.348826,-1.344198,0.136484,-0.295364,0.000000,-1.329869,0.091582,-0.359727,-1.287545,0.121520,-0.218969,-1.389684,0.124251,-0.248687,-1.332881,0.197016,-0.148143,-1.412474,0.147083,-0.121394,-1.379685,0.197336,-0.158132,-1.325524,0.145798,-0.097340,-1.371634,0.188803,-0.095586,-1.427616,0.097984,-0.201193,-1.270132,0.097596,-0.164820,-1.276037,0.092308,-0.345106,,,,,,,,,,,,
13,0.108333,-0.010855,0.135009,0.011556,-0.990718,-1.345528,0.136353,-0.204532,0.000265,-1.329850,0.091940,-0.359919,0.900746,-1.333066,0.197021,-0.148098,0.954434,-1.412525,0.147042,-0.121136,0.934150,-1.379543,0.197553,-0.158330,0.927538,-1.325801,0.145826,-0.097370,0.930994,-1.371662,0.188860,-0.095661,0.977223,-1.427547,0.098058,-0.201009,0.945325,-1.270085,0.097589,-0.164788,0.981727,-1.276135,0.092079,-0.345079,0.932415,-1.287566,0.121747,-0.219114,0.937409,-1.388349,0.122032,-0.248510,0.348426,-1.344209,0.136495,-0.295369,0.000000,-1.329901,0.091591,-0.359737,-1.287548,0.121544,-0.218968,-1.389672,0.124270,-0.248695,-1.332890,0.197021,-0.148147,-1.412478,0.147068,-0.121394,-1.379688,0.197389,-0.158139,-1.325527,0.145825,-0.097338,-1.371634,0.188801,-0.095598,-1.427609,0.097973,-0.201201,-1.270140,0.097613,-0.164830,-1.276035,0.092328,-0.345107,,,,,,,,,,,,
14,0.116667,-0.010859,0.135013,0.011576,-0.990717,-1.345527,0.136349,-0.204538,0.000264,-1.329849,0.091937,-0.359925,0.900882,-1.333062,0.197015,-0.148103,0.954915,-1.412524,0.147039,-0.121143,0.932784,-1.379540,0.197549,-0.158335,0.922540,-1.325800,0.145819,-0.097376,0.930551,-1.371660,0.188855,-0.095666,0.978130,-1.427547,0.098057,-0.201016,0.944922,-1.270086,0.097581,-0.164794,0.981943,-1.276134,0.092073,-0.345085,0.932967,-1.287565,0.121740,-0.219120,0.936705,-1.388347,0.122030,-0.248516,0.350205,-1.344207,0.136492,-0.295375,0.000000,-1.329901,0.091584,-0.359751,-1.287553,0.121533,-0.218975,-1.389578,0.124309,-0.248736,-1.332894,0.197002,-0.148166,-1.412473,0.147058,-0.121406,-1.379684,0.197375,-0.158123,-1.325525,0.145822,-0.097339,-1.371635,0.188809,-0.095596,-1.427618,0.097975,-0.201209,-1.270139,0.097609,-0.164834,-1.276033,0.092320,-0.345109,,,,,,,,,,,,
15,0.125000,-0.010861,0.135039,0.011602,-0.990713,-1.345524,0.136347,-0.204528,0.000263,-1.329841,0.091935,-0.359915,0.901584,-1.333059,0.197012,-0.148092,0.955723,-1.412525,0.147039,-0.121136,0.931752,-1.379536,0.197548,-0.158326,0.921557,-1.325803,0.145814,-0.097365,0.931377,-1.371660,0.188853,-0.095657,0.978444,-1.427547,0.098059,-0.201011,0.950634,-1.270087,0.097574,-0.164780,0.982366,-1.276126,0.092069,-0.345072,0.933786,-1.287562,0.121735,-0.219107,0.937775,-1.388343,0.122030,-0.248509,0.350562,-1.344199,0.136490,-0.295365,0.000000,-1.329875,0.091593,-0.359723,-1.287548,0.121527,-0.218971,-1.389636,0.124275,-0.248710,-1.332894,0.196996,-0.148152,-1.412476,0.147064,-0.121404,-1.379682,0.197366,-0.158117,-1.325529,0.145821,-0.097340,-1.371634,0.188802,-0.095593,-1.427614,0.097988,-0.201183,-1.270137,0.097598,-0.164824,-1.276029,0.092313,-0.345106,,,,,,,,,,,,
