Format Version,1.23,Take Name,P_35,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.46.11.530 PM,Total Frames in Take,1843,Total Exported Frames,1843,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 1637,Unlabeled 1637,Unlabeled 1637,Unlabeled 1638,Unlabeled 1638,Unlabeled 1638,Unlabeled 1640,Unlabeled 1640,Unlabeled 1640,Unlabeled 1642,Unlabeled 1642,Unlabeled 1642,Unlabeled 1643,Unlabeled 1643,Unlabeled 1643,Unlabeled 1646,Unlabeled 1646,Unlabeled 1646,Unlabeled 1648,Unlabeled 1648,Unlabeled 1648,Unlabeled 1649,Unlabeled 1649,Unlabeled 1649,Unlabeled 1650,Unlabeled 1650,Unlabeled 1650,Unlabeled 1651,Unlabeled 1651,Unlabeled 1651,Unlabeled 1652,Unlabeled 1652,Unlabeled 1652,Unlabeled 1653,Unlabeled 1653,Unlabeled 1653,Unlabeled 1654,Unlabeled 1654,Unlabeled 1654,Unlabeled 1655,Unlabeled 1655,Unlabeled 1655,Unlabeled 1658,Unlabeled 1658,Unlabeled 1658,Unlabeled 1659,Unlabeled 1659,Unlabeled 1659,Unlabeled 1661,Unlabeled 1661,Unlabeled 1661
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","112EF0","112EF0","112EF0","112D70","112D70","112D70","8EFD4CCFBF2C11EB6A3FE2211B005D8D","8EFD4CCFBF2C11EB6A3FE2211B005D8D","8EFD4CCFBF2C11EB6A3FE2211B005D8D","113470","113470","113470","113410","113410","113410","8EFD4D6DBF2C11EB6A3FE2211B005D8D","8EFD4D6DBF2C11EB6A3FE2211B005D8D","8EFD4D6DBF2C11EB6A3FE2211B005D8D","112DF0","112DF0","112DF0","112DB0","112DB0","112DB0","112DD0","112DD0","112DD0","1132F0","1132F0","1132F0","112DC0","112DC0","112DC0","112E30","112E30","112E30","113400","113400","113400","113430","113430","113430","113420","113420","113420","113450","113450","113450","113460","113460","113460","113300","113300","113300","1134A0","1134A0","1134A0","113490","113490","113490","113320","113320","113320","1134B0","1134B0","1134B0","1134E0","1134E0","1134E0","1134D0","1134D0","1134D0","1134C0","1134C0","1134C0","1133B0","1133B0","1133B0","113570","113570","113570","1135A0","1135A0","1135A0","113590","113590","113590"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.005632,-0.003463,-0.001294,-0.999977,-1.781745,0.144790,0.165866,0.000194,-1.807964,0.098544,0.012447,0.983177,-1.756038,0.206566,0.216298,0.000000,-1.823617,0.154972,0.264358,0.000000,-1.803536,0.205764,0.219198,0.884921,-1.733702,0.156314,0.263444,0.961545,-1.778548,0.198185,0.277364,0.995154,-1.858537,0.104469,0.192007,0.000000,-1.697229,0.108542,0.183671,0.941477,-1.752265,0.100268,0.011990,0.931997,-1.729601,0.131456,0.136053,0.924226,-1.834547,0.128745,0.135414,0.000000,-1.805359,0.143649,0.078149,0.000000,-1.807966,0.098563,0.012512,-1.729673,0.131197,0.136191,,,,,,,,,,,,,-1.803382,0.205479,0.218871,-1.733623,0.156417,0.263362,-1.778547,0.198200,0.277352,,,,-1.697351,0.108695,0.183799,-1.752303,0.100522,0.012079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.005695,-0.003368,-0.001290,-0.999977,-1.781745,0.144769,0.165848,0.000193,-1.807935,0.098544,0.012418,0.983177,-1.756046,0.206540,0.216292,0.000000,-1.823635,0.154940,0.264333,0.000000,-1.803545,0.205738,0.219183,0.884921,-1.733720,0.156280,0.263436,0.961545,-1.778568,0.198150,0.277353,0.995154,-1.858542,0.104447,0.191969,0.000000,-1.697232,0.108519,0.183664,0.941477,-1.752236,0.100267,0.011971,0.931997,-1.729595,0.131440,0.136043,0.924226,-1.834540,0.128729,0.135384,0.000000,-1.805342,0.143640,0.078126,0.000000,-1.807940,0.098562,0.012495,-1.729685,0.131172,0.136187,,,,,,,,,,,,,-1.803380,0.205429,0.218848,-1.733637,0.156388,0.263367,-1.778566,0.198186,0.277351,,,,-1.697360,0.108673,0.183794,-1.752261,0.100527,0.012027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.005692,-0.003385,-0.001330,-0.999977,-1.781756,0.144751,0.165848,0.000193,-1.807948,0.098522,0.012419,0.980223,-1.756061,0.206524,0.216291,0.000000,-1.823644,0.154919,0.264335,0.000000,-1.803559,0.205718,0.219184,0.878918,-1.733729,0.156267,0.263435,0.961849,-1.778580,0.198133,0.277352,0.991107,-1.858549,0.104422,0.191972,0.000000,-1.697240,0.108507,0.183662,0.940173,-1.752248,0.100250,0.011971,0.933336,-1.729606,0.131425,0.136041,0.920717,-1.834551,0.128707,0.135386,0.000000,-1.805356,0.143619,0.078127,0.000000,-1.807957,0.098550,0.012503,-1.729696,0.131165,0.136185,,,,,,,,,,,,,-1.803423,0.205400,0.218849,-1.733642,0.156372,0.263366,-1.778555,0.198177,0.277346,,,,-1.697379,0.108655,0.183789,-1.752258,0.100502,0.012026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.005647,-0.003391,-0.001251,-0.999978,-1.781785,0.144729,0.165852,0.000196,-1.807986,0.098490,0.012427,0.977858,-1.756079,0.206502,0.216289,0.000000,-1.823670,0.154912,0.264338,0.000000,-1.803578,0.205704,0.219182,0.879728,-1.733755,0.156245,0.263437,0.961727,-1.778599,0.198120,0.277351,0.987196,-1.858584,0.104414,0.191980,0.000000,-1.697274,0.108473,0.183667,0.940067,-1.752286,0.100209,0.011978,0.935493,-1.729637,0.131392,0.136045,0.922441,-1.834583,0.128690,0.135392,0.000000,-1.805386,0.143593,0.078131,0.000000,-1.807982,0.098516,0.012492,-1.729707,0.131143,0.136183,,,,,,,,,,,,,-1.803437,0.205392,0.218847,-1.733672,0.156352,0.263359,-1.778578,0.198151,0.277347,,,,-1.697413,0.108622,0.183804,-1.752326,0.100457,0.012056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.005629,-0.003382,-0.001148,-0.999978,-1.781797,0.144732,0.165859,0.000200,-1.808005,0.098492,0.012436,0.983122,-1.756080,0.206501,0.216294,0.000000,-1.823681,0.154927,0.264344,0.000000,-1.803578,0.205713,0.219187,0.879555,-1.733766,0.156242,0.263445,0.958903,-1.778602,0.198126,0.277357,0.994986,-1.858605,0.104434,0.191988,0.000000,-1.697294,0.108459,0.183678,0.939223,-1.752305,0.100200,0.011988,0.934747,-1.729652,0.131383,0.136054,0.926263,-1.834598,0.128702,0.135399,0.000000,-1.805397,0.143597,0.078138,0.000000,-1.807981,0.098531,0.012486,-1.729735,0.131133,0.136187,,,,,,,,,,,,,-1.803422,0.205406,0.218850,-1.733669,0.156352,0.263370,-1.778604,0.198146,0.277353,,,,-1.697426,0.108616,0.183809,-1.752366,0.100433,0.012089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.005592,-0.003446,-0.001221,-0.999978,-1.781784,0.144741,0.165865,0.000207,-1.808005,0.098487,0.012449,0.979467,-1.756069,0.206518,0.216293,0.000000,-1.823657,0.154938,0.264355,0.000000,-1.803568,0.205723,0.219191,0.878764,-1.733742,0.156266,0.263444,0.963389,-1.778583,0.198145,0.277358,0.992981,-1.858583,0.104434,0.192006,0.000000,-1.697273,0.108483,0.183676,0.940154,-1.752305,0.100203,0.011993,0.933990,-1.729641,0.131398,0.136054,0.930951,-1.834587,0.128702,0.135412,0.000000,-1.805395,0.143597,0.078147,0.000000,-1.807977,0.098532,0.012512,-1.729694,0.131159,0.136181,,,,,,,,,,,,,-1.803422,0.205412,0.218849,-1.733668,0.156364,0.263364,-1.778571,0.198170,0.277353,,,,-1.697407,0.108639,0.183799,-1.752378,0.100430,0.012107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
