Format Version,1.23,Take Name,N_5,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.02.26.215 PM,Total Frames in Take,774,Total Exported Frames,774,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.005803,-0.014713,-0.005868,0.999858,-0.243430,0.126471,-1.906192,0.000737,-0.264737,0.080624,-2.060489,0.453228,-0.218674,0.187864,-1.854824,0.927934,-0.288693,0.137254,-1.809277,0.694491,-0.266253,0.187752,-1.853649,0.711618,-0.198794,0.137288,-1.806929,0.844181,-0.243503,0.179805,-1.794620,0.916111,-0.321697,0.087269,-1.882877,0.874793,-0.160150,0.088998,-1.885356,0.886753,-0.209038,0.081538,-2.058925,0.944287,-0.190438,0.112384,-1.934103,0.903310,-0.295320,0.111198,-1.938548,0.447829,-0.263861,0.125681,-1.994708,0.000000,-0.262806,0.081427,-2.059898,-0.190375,0.112133,-1.934394,-0.297332,0.110893,-1.939413,-0.218510,0.187673,-1.854957,-0.289525,0.137936,-1.808701,-0.266645,0.186739,-1.853257,-0.198206,0.137195,-1.807136,-0.243446,0.180146,-1.794651,-0.322160,0.087374,-1.882692,-0.159717,0.089137,-1.885434,-0.208883,0.081561,-2.059086,,,,,,
7,0.058333,0.005806,-0.014726,-0.005942,0.999857,-0.243429,0.126468,-1.906196,0.000733,-0.264739,0.080625,-2.060493,0.456762,-0.218666,0.187857,-1.854827,0.928821,-0.288693,0.137257,-1.809281,0.695020,-0.266244,0.187752,-1.853652,0.711229,-0.198795,0.137278,-1.806931,0.842329,-0.243498,0.179801,-1.794623,0.913353,-0.321703,0.087277,-1.882883,0.872428,-0.160155,0.088982,-1.885358,0.884608,-0.209040,0.081531,-2.058928,0.943858,-0.190438,0.112373,-1.934106,0.902739,-0.295320,0.111203,-1.938553,0.447195,-0.263858,0.125681,-1.994712,0.000000,-0.262853,0.081381,-2.059911,-0.190390,0.112129,-1.934398,-0.297327,0.110872,-1.939432,-0.218504,0.187662,-1.854963,-0.289523,0.137940,-1.808703,-0.266653,0.186726,-1.853261,-0.198206,0.137182,-1.807145,-0.243437,0.180133,-1.794655,-0.322165,0.087405,-1.882684,-0.159718,0.089129,-1.885446,-0.208899,0.081549,-2.059086,,,,,,
8,0.066667,0.005800,-0.014779,-0.006015,0.999856,-0.243425,0.126457,-1.906199,0.000735,-0.264725,0.080616,-2.060498,0.475961,-0.218657,0.187843,-1.854828,0.928949,-0.288697,0.137254,-1.809289,0.693180,-0.266236,0.187745,-1.853659,0.705713,-0.198799,0.137261,-1.806930,0.840371,-0.243497,0.179792,-1.794627,0.917182,-0.321706,0.087279,-1.882894,0.869019,-0.160158,0.088960,-1.885352,0.882562,-0.209026,0.081513,-2.058927,0.948413,-0.190433,0.112355,-1.934103,0.901895,-0.295315,0.111200,-1.938562,0.441281,-0.263845,0.125673,-1.994718,0.000000,-0.262856,0.081369,-2.059922,-0.190383,0.112112,-1.934408,-0.297337,0.110863,-1.939451,-0.218510,0.187643,-1.854966,-0.289531,0.137942,-1.808708,-0.266647,0.186715,-1.853264,-0.198205,0.137169,-1.807145,-0.243438,0.180117,-1.794653,-0.322169,0.087417,-1.882690,-0.159722,0.089105,-1.885447,-0.208887,0.081523,-2.059079,,,,,,
9,0.075000,0.005775,-0.014729,-0.005983,0.999857,-0.243431,0.126451,-1.906202,0.000738,-0.264744,0.080600,-2.060497,0.465084,-0.218663,0.187841,-1.854837,0.928423,-0.288695,0.137249,-1.809289,0.689356,-0.266241,0.187740,-1.853663,0.704349,-0.198796,0.137263,-1.806939,0.842323,-0.243496,0.179791,-1.794633,0.914812,-0.321708,0.087268,-1.882888,0.871704,-0.160160,0.088960,-1.885362,0.883760,-0.209045,0.081502,-2.058932,0.944933,-0.190441,0.112350,-1.934111,0.901277,-0.295323,0.111188,-1.938559,0.448197,-0.263860,0.125660,-1.994719,0.000000,-0.262835,0.081376,-2.059920,-0.190386,0.112105,-1.934415,-0.297319,0.110878,-1.939449,-0.218506,0.187640,-1.854968,-0.289533,0.137955,-1.808703,-0.266654,0.186703,-1.853270,-0.198209,0.137159,-1.807144,-0.243435,0.180126,-1.794655,-0.322163,0.087391,-1.882686,-0.159728,0.089112,-1.885443,-0.208894,0.081515,-2.059092,,,,,,
10,0.083333,-0.005763,0.014734,0.005998,-0.999857,-0.243426,0.126438,-1.906193,0.000738,-0.264738,0.080584,-2.060487,0.453525,-0.218656,0.187828,-1.854828,0.929368,-0.288690,0.137240,-1.809280,0.694604,-0.266235,0.187729,-1.853655,0.703282,-0.198792,0.137251,-1.806929,0.841845,-0.243490,0.179781,-1.794624,0.911991,-0.321704,0.087258,-1.882878,0.874193,-0.160156,0.088945,-1.885351,0.885068,-0.209040,0.081484,-2.058921,0.945078,-0.190436,0.112335,-1.934101,0.906184,-0.295318,0.111176,-1.938550,0.442090,-0.263854,0.125646,-1.994709,0.000000,-0.262798,0.081410,-2.059912,-0.190379,0.112097,-1.934385,-0.297342,0.110853,-1.939432,-0.218501,0.187631,-1.854958,-0.289525,0.137925,-1.808709,-0.266635,0.186687,-1.853251,-0.198202,0.137155,-1.807137,-0.243433,0.180127,-1.794659,-0.322158,0.087368,-1.882691,-0.159725,0.089079,-1.885432,-0.208883,0.081506,-2.059073,,,,,,
11,0.091667,-0.005794,0.014699,0.005910,-0.999858,-0.243436,0.126452,-1.906183,0.000738,-0.264752,0.080603,-2.060478,0.450979,-0.218674,0.187843,-1.854816,0.931269,-0.288696,0.137240,-1.809266,0.694600,-0.266253,0.187735,-1.853640,0.710294,-0.198797,0.137266,-1.806921,0.842466,-0.243502,0.179788,-1.794611,0.910808,-0.321706,0.087257,-1.882865,0.875789,-0.160159,0.088972,-1.885349,0.887780,-0.209053,0.081513,-2.058916,0.945082,-0.190446,0.112359,-1.934095,0.904775,-0.295328,0.111182,-1.938537,0.442723,-0.263870,0.125661,-1.994698,0.000000,-0.262804,0.081433,-2.059895,-0.190387,0.112118,-1.934384,-0.297351,0.110866,-1.939418,-0.218513,0.187660,-1.854943,-0.289534,0.137925,-1.808700,-0.266650,0.186721,-1.853244,-0.198213,0.137165,-1.807134,-0.243436,0.180137,-1.794642,-0.322157,0.087351,-1.882679,-0.159735,0.089096,-1.885426,-0.208891,0.081538,-2.059062,,,,,,
12,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.262773,0.081474,-2.059872,-0.190379,0.112113,-1.934384,-0.297337,0.110889,-1.939404,-0.218498,0.187663,-1.854936,-0.289536,0.137944,-1.808682,-0.266650,0.186728,-1.853239,-0.198200,0.137173,-1.807127,-0.243441,0.180162,-1.794639,-0.322155,0.087373,-1.882681,-0.159727,0.089110,-1.885415,-0.208889,0.081536,-2.059068,,,,,,
13,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.005772,0.014706,0.006025,-0.999857,-0.243426,0.126463,-1.906189,0.000740,-0.264750,0.080613,-2.060483,0.447652,-0.218650,0.187851,-1.854825,0.928139,-0.288685,0.137265,-1.809274,0.693408,-0.266229,0.187754,-1.853649,0.703175,-0.198786,0.137271,-1.806927,0.844800,-0.243481,0.179803,-1.794620,0.917941,-0.321705,0.087287,-1.882871,0.874215,-0.160158,0.088964,-1.885352,0.884585,-0.209051,0.081510,-2.058920,0.943397,-0.190439,0.112357,-1.934100,0.904671,-0.295321,0.111204,-1.938544,0.446878,-0.263859,0.125673,-1.994705,0.000000,-0.262787,0.081441,-2.059898,-0.190375,0.112122,-1.934394,-0.297321,0.110899,-1.939440,-0.218495,0.187650,-1.854960,-0.289478,0.137984,-1.808675,-0.266643,0.186714,-1.853253,-0.198209,0.137172,-1.807135,-0.243439,0.180128,-1.794643,-0.322161,0.087397,-1.882689,-0.159722,0.089097,-1.885426,-0.208886,0.081531,-2.059073,,,,,,
15,0.125000,-0.005799,0.014697,0.005939,-0.999858,-0.243429,0.126466,-1.906196,0.000737,-0.264748,0.080620,-2.060492,0.447652,-0.218663,0.187855,-1.854829,0.928139,-0.288688,0.137256,-1.809279,0.693408,-0.266242,0.187750,-1.853652,0.703175,-0.198789,0.137277,-1.806934,0.844800,-0.243492,0.179801,-1.794624,0.917941,-0.321701,0.087275,-1.882878,0.874215,-0.160154,0.088981,-1.885363,0.884585,-0.209049,0.081527,-2.058930,0.943397,-0.190440,0.112371,-1.934109,0.904671,-0.295322,0.111200,-1.938550,0.446878,-0.263864,0.125678,-1.994711,0.000000,-0.262810,0.081426,-2.059903,-0.190392,0.112125,-1.934402,-0.297338,0.110880,-1.939427,-0.218502,0.187668,-1.854964,-0.289527,0.137945,-1.808703,-0.266643,0.186725,-1.853263,-0.198205,0.137179,-1.807136,-0.243430,0.180127,-1.794652,-0.322156,0.087396,-1.882687,-0.159714,0.089126,-1.885440,-0.208889,0.081545,-2.059087,,,,,,
