Format Version,1.23,Take Name,N_10,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.03.56.193 PM,Total Frames in Take,932,Total Exported Frames,932,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.006780,-0.023160,0.011243,-0.999646,1.600130,0.128686,-1.862602,0.000407,1.566728,0.083512,-2.014941,0.000000,1.629340,0.189672,-1.813124,0.929697,1.562449,0.139643,-1.762514,0.861495,1.581988,0.190041,-1.808349,0.888184,1.652263,0.138755,-1.766982,0.953582,1.609057,0.181689,-1.751230,0.924070,1.523451,0.090214,-1.833512,0.327908,1.684356,0.090306,-1.848215,0.931965,1.622392,0.083855,-2.017598,0.651948,1.650708,0.114142,-1.894477,0.785357,1.545784,0.114037,-1.890969,0.622648,1.573049,0.128364,-1.949318,0.000000,,,,1.650118,0.113515,-1.894636,1.546412,0.112647,-1.890591,,,,1.629274,0.189735,-1.813333,1.562914,0.139685,-1.762224,1.581752,0.190402,-1.808404,1.652244,0.138615,-1.767104,1.609162,0.181936,-1.751288,1.521318,0.091617,-1.832763,1.684142,0.090135,-1.848165,1.623233,0.084853,-2.017823,1.562273,0.084869,-2.014176,,,,,,,,,,,,,,,
7,0.058333,-0.006801,-0.023136,0.011251,-0.999646,1.600134,0.128687,-1.862601,0.000406,1.566739,0.083520,-2.014943,0.000000,1.629342,0.189671,-1.813119,0.943105,1.562448,0.139641,-1.762514,0.862619,1.581990,0.190040,-1.808346,0.891130,1.652262,0.138752,-1.766977,0.953402,1.609057,0.181686,-1.751226,0.931407,1.523453,0.090216,-1.833516,0.334807,1.684358,0.090305,-1.848211,0.930493,1.622402,0.083862,-2.017598,0.668961,1.650713,0.114144,-1.894474,0.780987,1.545789,0.114041,-1.890970,0.607245,1.573057,0.128370,-1.949318,0.000000,,,,1.650116,0.113522,-1.894625,1.546418,0.112637,-1.890601,,,,1.629280,0.189740,-1.813333,1.562909,0.139682,-1.762224,1.581758,0.190398,-1.808405,1.652246,0.138619,-1.767092,1.609162,0.181922,-1.751291,1.521316,0.091612,-1.832766,1.684147,0.090134,-1.848161,1.623249,0.084875,-2.017814,1.562264,0.084871,-2.014159,,,,,,,,,,,,,,,
8,0.066667,-0.006712,-0.023291,0.010751,-0.999648,1.600146,0.128610,-1.862590,0.000386,1.566749,0.083386,-2.014915,0.000000,1.629307,0.189630,-1.813126,0.930255,1.562479,0.139541,-1.762493,0.866006,1.581957,0.189953,-1.808339,0.932311,1.652293,0.138741,-1.766984,0.959319,1.609049,0.181634,-1.751226,0.919141,1.523512,0.090065,-1.833476,0.307012,1.684413,0.090314,-1.848220,0.924619,1.622412,0.083784,-2.017587,0.656942,1.650730,0.114113,-1.894477,0.785051,1.545807,0.113904,-1.890941,0.637572,1.573043,0.128252,-1.949299,0.000000,,,,1.650125,0.113523,-1.894637,1.546418,0.112636,-1.890592,,,,1.629098,0.189558,-1.813295,1.562920,0.139675,-1.762221,1.581881,0.190206,-1.808398,1.652254,0.138620,-1.767086,1.609165,0.181930,-1.751286,1.521323,0.091611,-1.832766,1.684165,0.090154,-1.848160,1.623241,0.084853,-2.017818,1.562266,0.084881,-2.014160,,,,,,,,,,,,,,,
9,0.075000,-0.006748,-0.023216,0.010924,-0.999648,1.600127,0.128657,-1.862588,0.000397,1.566738,0.083455,-2.014921,0.000000,1.629303,0.189664,-1.813115,0.926300,1.562449,0.139595,-1.762496,0.861250,1.581951,0.190003,-1.808335,0.890829,1.652263,0.138765,-1.766973,0.955086,1.609032,0.181671,-1.751219,0.923192,1.523476,0.090138,-1.833487,0.323540,1.684379,0.090332,-1.848208,0.929721,1.622401,0.083833,-2.017584,0.662641,1.650711,0.114144,-1.894468,0.789759,1.545787,0.113972,-1.890948,0.621558,1.573037,0.128314,-1.949301,0.000000,,,,1.650134,0.113550,-1.894614,1.546421,0.112642,-1.890599,,,,1.629094,0.189564,-1.813298,1.562920,0.139690,-1.762217,1.581766,0.190393,-1.808400,1.652266,0.138624,-1.767086,1.609164,0.181943,-1.751277,1.521330,0.091617,-1.832759,1.684156,0.090168,-1.848156,1.623243,0.084862,-2.017811,1.562275,0.084883,-2.014169,,,,,,,,,,,,,,,
10,0.083333,-0.006657,-0.023206,0.010906,-0.999649,1.600119,0.128674,-1.862568,0.000395,1.566734,0.083442,-2.014893,0.000000,1.629292,0.189691,-1.813106,0.928924,1.562439,0.139628,-1.762478,0.862298,1.581940,0.190028,-1.808326,0.891100,1.652254,0.138801,-1.766954,0.974515,1.609020,0.181708,-1.751208,0.926019,1.523469,0.090156,-1.833461,0.322349,1.684372,0.090354,-1.848179,0.926571,1.622397,0.083822,-2.017555,0.656346,1.650704,0.114157,-1.894444,0.785975,1.545781,0.113981,-1.890926,0.629733,1.573030,0.128314,-1.949281,0.000000,,,,1.650121,0.113552,-1.894608,1.546408,0.112685,-1.890581,,,,1.629096,0.189590,-1.813286,1.562912,0.139711,-1.762207,1.581758,0.190419,-1.808391,1.652236,0.138708,-1.766992,1.609158,0.181960,-1.751283,1.521310,0.091630,-1.832746,1.684146,0.090168,-1.848150,1.623242,0.084879,-2.017796,1.562269,0.084905,-2.014157,,,,,,,,,,,,,,,
11,0.091667,-0.006636,-0.023261,0.010670,-0.999651,1.600142,0.128641,-1.862568,0.000381,1.566762,0.083389,-2.014889,0.000000,1.629290,0.189673,-1.813111,0.930197,1.562467,0.139580,-1.762475,0.868947,1.581939,0.189989,-1.808327,0.936979,1.652281,0.138795,-1.766960,0.977140,1.609029,0.181683,-1.751211,0.923183,1.523512,0.090088,-1.833452,0.304837,1.684414,0.090361,-1.848187,0.923688,1.622424,0.083795,-2.017557,0.653420,1.650730,0.114147,-1.894449,0.780957,1.545807,0.113922,-1.890920,0.646654,1.573043,0.128265,-1.949278,0.000000,,,,1.650113,0.113545,-1.894605,1.546412,0.112686,-1.890599,,,,1.629093,0.189588,-1.813289,1.562896,0.139719,-1.762208,1.581881,0.190225,-1.808392,1.652243,0.138719,-1.766992,1.609149,0.181957,-1.751281,1.521308,0.091630,-1.832747,1.684159,0.090198,-1.848148,1.623239,0.084890,-2.017801,1.562269,0.084917,-2.014155,,,,,,,,,,,,,,,
12,0.100000,-0.006646,-0.023213,0.010839,-0.999650,1.600129,0.128666,-1.862576,0.000393,1.566748,0.083428,-2.014900,0.000000,1.629293,0.189688,-1.813116,0.927524,1.562448,0.139618,-1.762487,0.865261,1.581942,0.190020,-1.808336,0.891161,1.652262,0.138802,-1.766964,0.977474,1.609024,0.181704,-1.751217,0.927371,1.523483,0.090139,-1.833468,0.320912,1.684386,0.090358,-1.848188,0.928308,1.622411,0.083815,-2.017563,0.653694,1.650715,0.114156,-1.894453,0.783657,1.545792,0.113966,-1.890933,0.632333,1.573038,0.128301,-1.949289,0.000000,,,,1.650125,0.113545,-1.894615,1.546411,0.112676,-1.890596,,,,1.629102,0.189567,-1.813297,1.562910,0.139706,-1.762224,1.581763,0.190411,-1.808405,1.652256,0.138718,-1.766995,1.609160,0.181953,-1.751281,1.521321,0.091622,-1.832757,1.684166,0.090177,-1.848157,1.623253,0.084887,-2.017807,1.562251,0.084897,-2.014156,,,,,,,,,,,,,,,
13,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.650141,0.113532,-1.894621,1.546415,0.112684,-1.890593,,,,1.629103,0.189568,-1.813300,1.562915,0.139712,-1.762230,1.581888,0.190227,-1.808393,1.652259,0.138614,-1.767091,1.609163,0.181947,-1.751289,1.521327,0.091614,-1.832769,1.684156,0.090151,-1.848156,1.623262,0.084884,-2.017807,1.562248,0.084914,-2.014163,,,,,,,,,,,,,,,
14,0.116667,-0.006712,-0.023202,0.010950,-0.999648,1.600131,0.128665,-1.862594,0.000399,1.566743,0.083453,-2.014925,0.000000,1.629308,0.189674,-1.813125,0.929889,1.562451,0.139612,-1.762504,0.863308,1.581957,0.190015,-1.808347,0.889843,1.652265,0.138777,-1.766979,0.951145,1.609035,0.181687,-1.751229,0.923968,1.523476,0.090151,-1.833493,0.323668,1.684380,0.090336,-1.848209,0.932645,1.622406,0.083828,-2.017587,0.657597,1.650714,0.114147,-1.894472,0.788292,1.545791,0.113981,-1.890954,0.632250,1.573042,0.128317,-1.949308,0.000000,,,,1.650139,0.113545,-1.894626,1.546405,0.112692,-1.890598,,,,1.629110,0.189575,-1.813298,1.562912,0.139715,-1.762229,1.581771,0.190410,-1.808408,1.652259,0.138620,-1.767095,1.609164,0.181955,-1.751291,1.521318,0.091610,-1.832762,1.684167,0.090177,-1.848162,1.623258,0.084876,-2.017816,1.562268,0.084894,-2.014176,,,,,,,,,,,,,,,
15,0.125000,-0.006685,-0.023223,0.010913,-0.999648,1.600133,0.128659,-1.862599,0.000399,1.566742,0.083437,-2.014925,0.000000,1.629308,0.189673,-1.813134,0.929956,1.562456,0.139609,-1.762508,0.863829,1.581956,0.190011,-1.808353,0.889361,1.652270,0.138780,-1.766986,0.952167,1.609038,0.181688,-1.751236,0.923584,1.523482,0.090141,-1.833492,0.323242,1.684385,0.090337,-1.848215,0.931686,1.622405,0.083816,-2.017590,0.657031,1.650716,0.114144,-1.894477,0.788130,1.545793,0.113969,-1.890956,0.633420,1.573041,0.128304,-1.949311,0.000000,,,,1.650144,0.113539,-1.894635,1.546406,0.112686,-1.890600,,,,1.629107,0.189572,-1.813302,1.562916,0.139709,-1.762233,1.581771,0.190409,-1.808412,1.652271,0.138627,-1.767101,1.609162,0.181959,-1.751304,1.521323,0.091605,-1.832770,1.684174,0.090170,-1.848168,1.623255,0.084869,-2.017816,1.562263,0.084906,-2.014174,,,,,,,,,,,,,,,
