Format Version,1.23,Take Name,N_20,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 03.06.19.601 PM,Total Frames in Take,1012,Total Exported Frames,1012,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,DeepRacer1,"DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker1","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker2","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker3","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker4","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker5","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker6","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker7","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker8","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker9","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker10","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker11","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12","DeepRacer1:Marker12",DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker1,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker10,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker11,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker12,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker2,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker3,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker4,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker5,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker6,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker7,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker8,DeepRacer1:Marker9,DeepRacer1:Marker9,DeepRacer1:Marker9,Unlabeled 2096,Unlabeled 2096,Unlabeled 2096,Unlabeled 2097,Unlabeled 2097,Unlabeled 2097,Unlabeled 2098,Unlabeled 2098,Unlabeled 2098,Unlabeled 2099,Unlabeled 2099,Unlabeled 2099,Unlabeled 2100,Unlabeled 2100,Unlabeled 2100,Unlabeled 2101,Unlabeled 2101,Unlabeled 2101,Unlabeled 2102,Unlabeled 2102,Unlabeled 2102,Unlabeled 2104,Unlabeled 2104,Unlabeled 2104,Unlabeled 2105,Unlabeled 2105,Unlabeled 2105,Unlabeled 2106,Unlabeled 2106,Unlabeled 2106,Unlabeled 2107,Unlabeled 2107,Unlabeled 2107,Unlabeled 2108,Unlabeled 2108,Unlabeled 2108,Unlabeled 2112,Unlabeled 2112,Unlabeled 2112
,ID,"CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","CFBB2733BE7411EB6A3FE2211B005C8D","128230","128230","128230","129700","129700","129700","129C70","129C70","129C70","12AF80","12AF80","12AF80","128E10","128E10","128E10","1292B0","1292B0","1292B0","128130","128130","128130","129270","129270","129270","129A90","129A90","129A90","1298C0","1298C0","1298C0","12A160","12A160","12A160","129F90","129F90","129F90","12AF70","12AF70","12AF70","12AF20","12AF20","12AF20","12AF40","12AF40","12AF40","12AF50","12AF50","12AF50","12AEC0","12AEC0","12AEC0","12AEE0","12AEE0","12AEE0","12AED0","12AED0","12AED0","12B010","12B010","12B010","12B000","12B000","12B000","12AFB0","12AFB0","12AFB0","12AF90","12AF90","12AF90","12B050","12B050","12B050","12B0A0","12B0A0","12B0A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.001719,-0.083666,0.015881,-0.996366,1.766695,0.127493,-1.785045,0.000214,1.714740,0.081336,-1.931788,0.895851,1.802152,0.188633,-1.740041,0.962289,1.741498,0.139623,-1.681239,0.940677,1.755732,0.189459,-1.729574,0.943643,1.830100,0.137906,-1.696536,0.960307,1.789454,0.181350,-1.676075,0.909286,1.693807,0.089945,-1.746526,0.944580,1.851743,0.088494,-1.780597,0.823508,1.769673,0.081166,-1.941166,0.947340,1.812926,0.112236,-1.822668,0.851806,1.709201,0.113086,-1.806485,0.740608,1.729309,0.126681,-1.867838,0.000000,1.714612,0.081729,-1.931734,1.813184,0.112633,-1.823025,1.709900,0.112320,-1.806446,,,,1.802013,0.188667,-1.739993,1.741695,0.139714,-1.681142,1.755751,0.189652,-1.729690,1.829972,0.137956,-1.696456,1.789160,0.181489,-1.675913,1.694014,0.090011,-1.746572,1.851241,0.087997,-1.780576,1.769556,0.080992,-1.941145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.001734,-0.083713,0.015835,-0.996363,1.766701,0.127494,-1.785036,0.000215,1.714737,0.081338,-1.931777,0.895851,1.802157,0.188635,-1.740034,0.962289,1.741513,0.139618,-1.681228,0.940677,1.755738,0.189457,-1.729562,0.943643,1.830114,0.137909,-1.696533,0.960307,1.789466,0.181349,-1.676067,0.909286,1.693821,0.089938,-1.746513,0.944580,1.851753,0.088502,-1.780598,0.823508,1.769669,0.081173,-1.941160,0.947340,1.812930,0.112243,-1.822665,0.851806,1.709207,0.113082,-1.806472,0.740608,1.729307,0.126682,-1.867827,0.000000,1.714608,0.081718,-1.931721,1.813172,0.112645,-1.823019,1.709909,0.112307,-1.806439,,,,1.802020,0.188669,-1.739974,1.741747,0.139694,-1.681155,1.755755,0.189663,-1.729677,1.829977,0.137950,-1.696444,1.789169,0.181489,-1.675908,1.694021,0.090012,-1.746564,1.851248,0.088014,-1.780569,1.769554,0.081003,-1.941138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.001726,-0.083685,0.015887,-0.996364,1.766692,0.127502,-1.785035,0.000216,1.714731,0.081348,-1.931777,0.898743,1.802152,0.188641,-1.740032,0.961574,1.741499,0.139631,-1.681228,0.935856,1.755732,0.189468,-1.729563,0.940933,1.830101,0.137913,-1.696529,0.957890,1.789456,0.181357,-1.676065,0.908797,1.693805,0.089954,-1.746514,0.945106,1.851740,0.088502,-1.780591,0.824181,1.769664,0.081177,-1.941158,0.948411,1.812921,0.112245,-1.822661,0.853114,1.709198,0.113096,-1.806474,0.738455,1.729303,0.126691,-1.867827,0.000000,1.714601,0.081730,-1.931720,1.813181,0.112656,-1.823019,1.709910,0.112316,-1.806442,,,,1.802011,0.188676,-1.739981,1.741695,0.139720,-1.681139,1.755757,0.189672,-1.729674,1.829963,0.137949,-1.696453,1.789164,0.181504,-1.675900,1.694016,0.090016,-1.746562,1.851238,0.088002,-1.780566,1.769542,0.081008,-1.941134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.001699,-0.083709,0.015854,-0.996363,1.766697,0.127503,-1.785040,0.000216,1.714732,0.081338,-1.931777,0.898138,1.802155,0.188646,-1.740042,0.961568,1.741508,0.139635,-1.681232,0.941728,1.755735,0.189471,-1.729570,0.941574,1.830109,0.137923,-1.696537,0.959649,1.789462,0.181365,-1.676074,0.908468,1.693815,0.089952,-1.746514,0.943949,1.851748,0.088509,-1.780598,0.822847,1.769665,0.081171,-1.941160,0.947457,1.812926,0.112248,-1.822667,0.849256,1.709203,0.113092,-1.806475,0.735841,1.729304,0.126686,-1.867830,0.000000,1.714617,0.081729,-1.931729,1.813150,0.112645,-1.823020,1.709901,0.112323,-1.806442,,,,1.802013,0.188684,-1.739987,1.741742,0.139712,-1.681153,1.755748,0.189679,-1.729682,1.829976,0.137977,-1.696456,1.789174,0.181502,-1.675904,1.694020,0.090019,-1.746567,1.851241,0.088010,-1.780565,1.769545,0.080991,-1.941139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.001692,-0.083680,0.015909,-0.996364,1.766695,0.127513,-1.785046,0.000218,1.714734,0.081350,-1.931786,0.897269,1.802157,0.188654,-1.740048,0.960955,1.741502,0.139650,-1.681241,0.935430,1.755736,0.189483,-1.729579,0.940694,1.830103,0.137928,-1.696540,0.958698,1.789460,0.181375,-1.676081,0.909470,1.693807,0.089971,-1.746524,0.944502,1.851741,0.088510,-1.780599,0.821996,1.769666,0.081177,-1.941166,0.945828,1.812924,0.112252,-1.822671,0.855791,1.709200,0.113108,-1.806485,0.740152,1.729306,0.126698,-1.867839,0.000000,1.714621,0.081756,-1.931737,1.813153,0.112644,-1.823029,1.709888,0.112347,-1.806432,,,,1.802009,0.188695,-1.739986,1.741732,0.139728,-1.681165,1.755745,0.189695,-1.729684,1.829975,0.137995,-1.696477,1.789164,0.181509,-1.675915,1.694015,0.090035,-1.746574,1.851234,0.087990,-1.780572,1.769556,0.080990,-1.941144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.001708,-0.083678,0.015887,-0.996365,1.766692,0.127517,-1.785046,0.000214,1.714734,0.081358,-1.931787,0.893996,1.802151,0.188658,-1.740045,0.958635,1.741498,0.139650,-1.681239,0.936176,1.755731,0.189485,-1.729576,0.940893,1.830100,0.137932,-1.696539,0.960498,1.789454,0.181377,-1.676078,0.908857,1.693805,0.089971,-1.746525,0.944127,1.851740,0.088518,-1.780599,0.818501,1.769666,0.081187,-1.941166,0.945500,1.812922,0.112260,-1.822670,0.855457,1.709198,0.113111,-1.806485,0.743232,1.729304,0.126704,-1.867838,0.000000,1.714618,0.081752,-1.931750,1.813163,0.112652,-1.823023,1.709890,0.112346,-1.806440,,,,1.802012,0.188695,-1.739982,1.741692,0.139739,-1.681143,1.755745,0.189694,-1.729687,1.829983,0.137995,-1.696476,1.789165,0.181509,-1.675912,1.694018,0.090032,-1.746576,1.851231,0.088007,-1.780587,1.769550,0.081009,-1.941129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
