Format Version,1.23,Take Name,P_15,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.53.12.198 PM,Total Frames in Take,705,Total Exported Frames,705,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.007725,-0.008466,0.010830,-0.999876,-1.898804,0.144952,-1.833570,0.000883,-1.927683,0.100001,-1.986896,0.290662,-1.871100,0.205876,-1.783159,0.822804,-1.939420,0.155730,-1.734616,0.000000,-1.918571,0.206211,-1.779778,0.662203,-1.849512,0.154900,-1.736442,0.886635,-1.893189,0.197784,-1.721900,0.965647,-1.976282,0.106391,-1.806808,0.000000,-1.815015,0.106597,-1.816772,0.946982,-1.871966,0.100380,-1.987914,0.880383,-1.847301,0.130488,-1.863966,0.870617,-1.952283,0.130318,-1.863546,0.000000,-1.923323,0.144753,-1.921046,0.000000,-1.925254,0.100636,-1.985658,-1.847779,0.130201,-1.864012,,,,-1.870490,0.206222,-1.782763,,,,-1.919651,0.205578,-1.780475,-1.849190,0.155032,-1.736724,-1.893216,0.197730,-1.722057,,,,-1.815210,0.106562,-1.816814,-1.871834,0.100629,-1.987491,,,,,,,,,,,,,,,,,,
7,0.058333,-0.007625,-0.008606,0.010654,-0.999877,-1.898865,0.144913,-1.833600,0.000870,-1.927772,0.099922,-1.986909,0.300136,-1.871169,0.205857,-1.783208,0.798729,-1.939457,0.155696,-1.734637,0.000000,-1.918640,0.206175,-1.779814,0.641722,-1.849551,0.154897,-1.736488,0.887771,-1.893238,0.197769,-1.721942,0.958001,-1.976323,0.106330,-1.806809,0.000000,-1.815058,0.106591,-1.816818,0.949382,-1.872055,0.100320,-1.987943,0.872724,-1.847366,0.130461,-1.864008,0.860394,-1.952348,0.130254,-1.863558,0.000000,-1.923409,0.144688,-1.921069,0.000000,-1.925294,0.100620,-1.985675,-1.847816,0.130188,-1.864032,,,,-1.870554,0.206219,-1.782826,,,,-1.919697,0.205565,-1.780497,-1.849216,0.155023,-1.736739,-1.893278,0.197721,-1.722075,,,,-1.815233,0.106535,-1.816840,-1.871930,0.100560,-1.987574,,,,,,,,,,,,,,,,,,
8,0.066667,-0.007590,-0.008696,0.010368,-0.999880,-1.898882,0.144865,-1.833617,0.000874,-1.927790,0.099847,-1.986919,0.248707,-1.871212,0.205827,-1.783234,0.813401,-1.939463,0.155630,-1.734648,0.000000,-1.918682,0.206119,-1.779832,0.689711,-1.849556,0.154883,-1.736514,0.890864,-1.893265,0.197730,-1.721964,0.972246,-1.976313,0.106238,-1.806810,0.000000,-1.815050,0.106591,-1.816848,0.952683,-1.872073,0.100277,-1.987962,0.873357,-1.847380,0.130440,-1.864033,0.877861,-1.952361,0.130173,-1.863565,0.000000,-1.923441,0.144619,-1.921082,0.000000,-1.925197,0.100651,-1.985630,-1.847791,0.130176,-1.864025,,,,-1.870623,0.206156,-1.782915,,,,-1.919618,0.205587,-1.780450,-1.849206,0.154995,-1.736751,-1.893251,0.197706,-1.722071,,,,-1.815224,0.106518,-1.816841,-1.871918,0.100556,-1.987569,,,,,,,,,,,,,,,,,,
9,0.075000,-0.007535,-0.008797,0.010205,-0.999881,-1.898924,0.144847,-1.833638,0.000893,-1.927847,0.099804,-1.986928,0.219943,-1.871263,0.205825,-1.783267,0.817243,-1.939488,0.155610,-1.734661,0.000000,-1.918733,0.206101,-1.779855,0.679587,-1.849581,0.154892,-1.736546,0.888308,-1.893301,0.197727,-1.721991,0.972405,-1.976336,0.106199,-1.806811,0.000000,-1.815075,0.106603,-1.816881,0.956582,-1.872131,0.100252,-1.987983,0.865876,-1.847423,0.130437,-1.864063,0.879275,-1.952404,0.130135,-1.863573,0.000000,-1.923500,0.144585,-1.921097,0.000000,-1.925149,0.100667,-1.985621,-1.847829,0.130176,-1.864044,,,,-1.870672,0.206135,-1.782968,,,,-1.919693,0.205555,-1.780505,-1.849204,0.155018,-1.736750,-1.893251,0.197709,-1.722087,,,,-1.815229,0.106535,-1.816838,-1.871943,0.100558,-1.987585,,,,,,,,,,,,,,,,,,
10,0.083333,-0.007630,-0.008659,0.010505,-0.999878,-1.898863,0.144890,-1.833599,0.000884,-1.927772,0.099893,-1.986906,0.259684,-1.871179,0.205842,-1.783209,0.802052,-1.939448,0.155659,-1.734632,0.000000,-1.918650,0.206146,-1.779810,0.665411,-1.849541,0.154888,-1.736492,0.891775,-1.893240,0.197746,-1.721941,0.966164,-1.976306,0.106283,-1.806801,0.000000,-1.815042,0.106593,-1.816826,0.955470,-1.872055,0.100307,-1.987946,0.875814,-1.847363,0.130454,-1.864013,0.875316,-1.952344,0.130216,-1.863552,0.000000,-1.923415,0.144659,-1.921065,0.000000,-1.925209,0.100656,-1.985633,-1.847787,0.130192,-1.864020,,,,-1.870566,0.206177,-1.782836,,,,-1.919655,0.205566,-1.780478,-1.849213,0.155008,-1.736747,-1.893240,0.197707,-1.722071,,,,-1.815213,0.106542,-1.816830,-1.871906,0.100566,-1.987549,,,,,,,,,,,,,,,,,,
11,0.091667,-0.007629,-0.008657,0.010528,-0.999878,-1.898879,0.144882,-1.833609,0.000874,-1.927789,0.099886,-1.986915,0.270106,-1.871193,0.205833,-1.783219,0.803832,-1.939464,0.155653,-1.734641,0.000000,-1.918663,0.206139,-1.779820,0.664632,-1.849557,0.154878,-1.736501,0.888769,-1.893253,0.197738,-1.721950,0.965622,-1.976324,0.106279,-1.806810,0.000000,-1.815060,0.106581,-1.816835,0.954178,-1.872072,0.100298,-1.987955,0.881634,-1.847379,0.130444,-1.864022,0.869215,-1.952361,0.130210,-1.863561,0.000000,-1.923431,0.144652,-1.921075,0.000000,-1.925261,0.100630,-1.985660,-1.847821,0.130165,-1.864039,,,,-1.870597,0.206186,-1.782850,,,,-1.919670,0.205565,-1.780495,-1.849203,0.155002,-1.736741,-1.893272,0.197691,-1.722078,,,,-1.815231,0.106516,-1.816829,-1.871934,0.100557,-1.987584,,,,,,,,,,,,,,,,,,
12,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.925177,0.100632,-1.985618,-1.847810,0.130143,-1.864036,,,,-1.870556,0.206147,-1.782836,,,,-1.919744,0.205499,-1.780548,-1.849215,0.154986,-1.736743,-1.893255,0.197681,-1.722077,,,,-1.815234,0.106486,-1.816840,-1.871899,0.100558,-1.987540,,,,,,,,,,,,,,,,,,
13,0.108333,-0.007639,-0.008626,0.010576,-0.999878,-1.898866,0.144880,-1.833600,0.000856,-1.927772,0.099888,-1.986909,0.296065,-1.871177,0.205826,-1.783207,0.811008,-1.939456,0.155652,-1.734635,0.000000,-1.918648,0.206137,-1.779811,0.657827,-1.849549,0.154868,-1.736489,0.891055,-1.893242,0.197733,-1.721940,0.966505,-1.976316,0.106283,-1.806807,0.000000,-1.815052,0.106570,-1.816822,0.951082,-1.872055,0.100295,-1.987945,0.885398,-1.847366,0.130436,-1.864010,0.866246,-1.952348,0.130213,-1.863556,0.000000,-1.923413,0.144653,-1.921067,0.000000,-1.925321,0.100577,-1.985706,-1.847820,0.130154,-1.864035,,,,-1.870598,0.206152,-1.782846,,,,-1.919684,0.205553,-1.780489,-1.849216,0.154989,-1.736742,-1.893256,0.197696,-1.722069,,,,-1.815241,0.106519,-1.816835,-1.871939,0.100544,-1.987578,,,,,,,,,,,,,,,,,,
14,0.116667,-0.007692,-0.008479,0.010677,-0.999877,-1.898827,0.144906,-1.833588,0.000883,-1.927696,0.099936,-1.986910,0.307502,-1.871140,0.205841,-1.783181,0.817729,-1.939444,0.155677,-1.734634,0.000000,-1.918612,0.206161,-1.779799,0.637501,-1.849536,0.154874,-1.736461,0.884958,-1.893225,0.197746,-1.721921,0.961890,-1.976293,0.106322,-1.806821,0.000000,-1.815026,0.106577,-1.816789,0.948513,-1.871979,0.100331,-1.987930,0.867308,-1.847321,0.130455,-1.863984,0.860310,-1.952303,0.130253,-1.863561,0.000000,-1.923348,0.144693,-1.921062,0.000000,-1.925306,0.100596,-1.985675,-1.847798,0.130166,-1.864015,,,,-1.870569,0.206142,-1.782842,,,,-1.919706,0.205531,-1.780511,-1.849198,0.155012,-1.736741,-1.893242,0.197704,-1.722067,,,,-1.815223,0.106530,-1.816823,-1.871852,0.100604,-1.987493,,,,,,,,,,,,,,,,,,
15,0.125000,-0.007597,-0.008652,0.010443,-0.999879,-1.898893,0.144853,-1.833605,0.000869,-1.927795,0.099842,-1.986909,0.307502,-1.871218,0.205811,-1.783218,0.817729,-1.939481,0.155623,-1.734639,0.000000,-1.918689,0.206110,-1.779820,0.637501,-1.849574,0.154863,-1.736497,0.884958,-1.893278,0.197717,-1.721950,0.961890,-1.976332,0.106238,-1.806805,0.000000,-1.815068,0.106567,-1.816828,0.948513,-1.872078,0.100263,-1.987948,0.867308,-1.847391,0.130421,-1.864017,0.860310,-1.952372,0.130170,-1.863557,0.000000,-1.923445,0.144613,-1.921071,0.000000,-1.925291,0.100593,-1.985674,-1.847836,0.130147,-1.864027,,,,-1.870627,0.206133,-1.782875,,,,-1.919700,0.205540,-1.780496,-1.849246,0.154979,-1.736751,-1.893281,0.197675,-1.722071,,,,-1.815239,0.106518,-1.816820,-1.871949,0.100525,-1.987565,,,,,,,,,,,,,,,,,,
