Format Version,1.23,Take Name,P_30,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.47.24.617 PM,Total Frames in Take,1899,Total Exported Frames,1899,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.005045,0.015628,0.000420,-0.999865,-1.927388,0.142969,0.030040,0.000208,-1.947904,0.096634,-0.124218,0.000000,-1.903398,0.204713,0.081350,0.000000,-1.972949,0.153422,0.126852,0.000000,-1.950975,0.204086,0.082437,0.000000,-1.883061,0.154437,0.129368,0.946594,-1.928252,0.196486,0.141522,0.988197,-2.005269,0.102958,0.053275,0.000000,-1.843746,0.106437,0.051096,0.938399,-1.892221,0.098156,-0.122551,0.000000,-1.874193,0.129411,0.002253,0.970318,-1.979047,0.127079,-0.002387,0.000000,-1.947642,0.141808,-0.058512,0.000000,,,,-1.874114,0.129344,0.002309,,,,,,,,,,,,,,,,-1.882933,0.154306,0.129257,-1.928289,0.196516,0.141520,,,,-1.843917,0.106606,0.051153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.005134,0.015824,0.000598,-0.999861,-1.927375,0.142977,0.030022,0.000219,-1.947847,0.096677,-0.124253,0.000000,-1.903383,0.204703,0.081353,0.000000,-1.972971,0.153428,0.126818,0.000000,-1.950961,0.204093,0.082420,0.000000,-1.883083,0.154410,0.129369,0.943925,-1.928264,0.196474,0.141513,0.983502,-2.005279,0.102989,0.053219,0.000000,-1.843754,0.106412,0.051103,0.933726,-1.892165,0.098179,-0.122564,0.000000,-1.874174,0.129405,0.002252,0.967000,-1.979028,0.127111,-0.002429,0.000000,-1.947595,0.141839,-0.058539,0.000000,,,,-1.874075,0.129330,0.002295,,,,,,,,,,,,,,,,-1.882927,0.154287,0.129266,-1.928322,0.196504,0.141521,,,,-1.843952,0.106580,0.051156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.005101,0.015780,0.000536,-0.999862,-1.927379,0.142966,0.030028,0.000213,-1.947859,0.096653,-0.124242,0.000000,-1.903390,0.204699,0.081353,0.000000,-1.972967,0.153418,0.126828,0.000000,-1.950967,0.204083,0.082424,0.000000,-1.883079,0.154412,0.129371,0.943925,-1.928264,0.196471,0.141515,0.983502,-2.005276,0.102971,0.053234,0.000000,-1.843751,0.106413,0.051105,0.933726,-1.892177,0.098162,-0.122558,0.000000,-1.874179,0.129399,0.002255,0.967000,-1.979032,0.127092,-0.002417,0.000000,-1.947606,0.141820,-0.058531,0.000000,,,,-1.874082,0.129332,0.002310,,,,,,,,,,,,,,,,-1.882924,0.154295,0.129267,-1.928324,0.196499,0.141520,,,,-1.843943,0.106569,0.051148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.005037,0.015705,0.001045,-0.999863,-1.927322,0.143037,0.030026,0.000207,-1.947873,0.096728,-0.124236,0.000000,-1.903262,0.204750,0.081339,0.000000,-1.972884,0.153546,0.126831,0.000000,-1.950840,0.204183,0.082419,0.000000,-1.882995,0.154448,0.129360,0.944872,-1.928136,0.196554,0.141507,0.983349,-2.005256,0.103123,0.053248,0.000000,-1.843728,0.106400,0.051093,0.937262,-1.892189,0.098180,-0.122561,0.000000,-1.874140,0.129413,0.002246,0.967397,-1.978997,0.127211,-0.002410,0.000000,-1.947564,0.141901,-0.058530,0.000000,,,,-1.874079,0.129334,0.002305,,,,,,,,,,,,,,,,-1.882910,0.154294,0.129260,-1.928126,0.196578,0.141478,,,,-1.843885,0.106609,0.051163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.874097,0.129323,0.002330,,,,,,,,,,,,,,,,-1.882911,0.154303,0.129262,-1.928337,0.196485,0.141531,,,,-1.843938,0.106582,0.051159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.005165,0.015889,0.001402,-0.999860,-1.927286,0.143091,0.030007,0.000210,-1.947814,0.096837,-0.124274,0.000000,-1.903201,0.204774,0.081346,0.000000,-1.972877,0.153607,0.126799,0.000000,-1.950780,0.204240,0.082408,0.000000,-1.882987,0.154445,0.129361,0.949422,-1.928102,0.196580,0.141502,0.990224,-2.005257,0.103227,0.053191,0.000000,-1.843727,0.106390,0.051095,0.932474,-1.892130,0.098250,-0.122579,0.000000,-1.874104,0.129436,0.002243,0.971016,-1.978960,0.127311,-0.002451,0.000000,-1.947497,0.141993,-0.058556,0.000000,,,,-1.874030,0.129359,0.002314,,,,,,,,,,,,,,,,-1.882888,0.154305,0.129267,-1.928103,0.196597,0.141472,,,,-1.843899,0.106590,0.051149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.005048,0.015755,0.001049,-0.999863,-1.927326,0.143032,0.030027,0.000217,-1.947862,0.096727,-0.124237,0.000000,-1.903271,0.204745,0.081345,0.000000,-1.972898,0.153540,0.126828,0.000000,-1.950848,0.204178,0.082420,0.000000,-1.883009,0.154441,0.129367,0.949008,-1.928150,0.196548,0.141510,0.991049,-2.005263,0.103119,0.053241,0.000000,-1.843735,0.106395,0.051103,0.932416,-1.892178,0.098179,-0.122557,0.000000,-1.874141,0.129408,0.002253,0.969562,-1.978997,0.127208,-0.002413,0.000000,-1.947559,0.141899,-0.058530,0.000000,,,,-1.874071,0.129339,0.002324,,,,,,,,,,,,,,,,-1.882900,0.154303,0.129264,-1.928154,0.196560,0.141477,,,,-1.843910,0.106590,0.051168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.004988,0.015673,0.001101,-0.999864,-1.927315,0.143025,0.030027,0.000222,-1.947881,0.096704,-0.124229,0.000000,-1.903245,0.204741,0.081333,0.000000,-1.972870,0.153549,0.126834,0.000000,-1.950823,0.204180,0.082416,0.000000,-1.882981,0.154442,0.129358,0.946812,-1.928116,0.196554,0.141503,0.989877,-2.005252,0.103123,0.053259,0.000000,-1.843725,0.106382,0.051093,0.931930,-1.892197,0.098150,-0.122558,0.000000,-1.874137,0.129393,0.002245,0.969881,-1.978994,0.127203,-0.002403,0.000000,-1.947564,0.141884,-0.058527,0.000000,,,,-1.874070,0.129325,0.002319,,,,,,,,,,,,,,,,-1.882870,0.154295,0.129251,-1.928120,0.196571,0.141467,,,,-1.843898,0.106580,0.051162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.005004,0.015543,0.000208,-0.999867,-1.927391,0.142925,0.030058,0.000214,-1.947913,0.096568,-0.124192,0.000000,-1.903419,0.204684,0.081359,0.000000,-1.972941,0.153367,0.126877,0.000000,-1.950995,0.204037,0.082453,0.000000,-1.883052,0.154420,0.129378,0.942710,-1.928259,0.196452,0.141535,0.982688,-2.005251,0.102883,0.053309,0.000000,-1.843730,0.106431,0.051103,0.937983,-1.892231,0.098113,-0.122535,0.000000,-1.874195,0.129388,0.002263,0.970572,-1.979049,0.127010,-0.002359,0.000000,-1.947660,0.141748,-0.058491,0.000000,,,,-1.874109,0.129325,0.002313,,,,,,,,,,,,,,,,-1.882895,0.154291,0.129272,-1.928320,0.196485,0.141535,,,,-1.843913,0.106588,0.051159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.005112,0.015776,0.000620,-0.999862,-1.927366,0.142986,0.030035,0.000207,-1.947854,0.096681,-0.124236,0.000000,-1.903366,0.204713,0.081361,0.000000,-1.972951,0.153443,0.126835,0.000000,-1.950943,0.204105,0.082433,0.000000,-1.883063,0.154422,0.129377,0.947796,-1.928241,0.196488,0.141523,0.987737,-2.005269,0.103003,0.053240,0.000000,-1.843744,0.106418,0.051110,0.935900,-1.892172,0.098180,-0.122553,0.000000,-1.874168,0.129411,0.002261,0.968284,-1.979022,0.127121,-0.002410,0.000000,-1.947594,0.141846,-0.058524,0.000000,,,,-1.874078,0.129342,0.002317,,,,,,,,,,,,,,,,-1.882922,0.154302,0.129281,-1.928284,0.196510,0.141515,,,,-1.843932,0.106586,0.051157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
