Format Version,1.23,Take Name,P_5,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-27 02.55.27.532 PM,Total Frames in Take,745,Total Exported Frames,745,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.006797,0.000202,0.009727,-0.999930,-1.897601,0.144964,-1.850748,0.000514,-1.923726,0.099645,-2.004459,0.750940,-1.870901,0.206048,-1.799989,0.000000,-1.939948,0.155855,-1.752535,0.000000,-1.918425,0.206289,-1.797431,0.777915,-1.850022,0.155211,-1.752801,0.941855,-1.894032,0.198032,-1.739106,0.902917,-1.975452,0.106294,-1.825254,0.000000,-1.814037,0.106819,-1.832422,0.945719,-1.868000,0.100139,-2.004513,0.879826,-1.845550,0.130548,-1.880218,0.922957,-1.950523,0.130157,-1.881616,0.000000,-1.920600,0.144537,-1.938635,0.000000,-1.924033,0.099213,-2.005208,-1.845841,0.130391,-1.880261,,,,-1.918069,0.206671,-1.796702,-1.849869,0.155247,-1.752973,-1.894288,0.197880,-1.739359,-1.813959,0.106909,-1.832254,-1.867733,0.100365,-2.004199,,,,,,,,,,,,,,,,,,
7,0.058333,-0.006786,0.000159,0.009670,-0.999930,-1.897625,0.144957,-1.850767,0.000521,-1.923757,0.099631,-2.004475,0.770511,-1.870927,0.206045,-1.800011,0.000000,-1.939965,0.155845,-1.752551,0.000000,-1.918451,0.206281,-1.797450,0.775689,-1.850038,0.155211,-1.752824,0.941901,-1.894052,0.198028,-1.739126,0.902372,-1.975469,0.106278,-1.825265,0.000000,-1.814054,0.106822,-1.832447,0.948494,-1.868031,0.100131,-2.004533,0.882566,-1.845574,0.130546,-1.880241,0.916628,-1.950547,0.130143,-1.881630,0.000000,-1.920631,0.144526,-1.938651,0.000000,-1.924109,0.099192,-2.005265,-1.845830,0.130382,-1.880276,,,,-1.918107,0.206645,-1.796748,-1.849888,0.155247,-1.752980,-1.894313,0.197886,-1.739374,-1.813967,0.106921,-1.832267,-1.867760,0.100355,-2.004223,,,,,,,,,,,,,,,,,,
8,0.066667,-0.006841,0.000324,0.009587,-0.999931,-1.897586,0.144961,-1.850764,0.000470,-1.923660,0.099647,-2.004485,0.797067,-1.870915,0.206047,-1.799993,0.000000,-1.939960,0.155831,-1.752561,0.000000,-1.918440,0.206275,-1.797447,0.798693,-1.850033,0.155212,-1.752804,0.938783,-1.894059,0.198020,-1.739116,0.907008,-1.975432,0.106267,-1.825292,0.000000,-1.814015,0.106837,-1.832421,0.950950,-1.867934,0.100156,-2.004525,0.887420,-1.845523,0.130561,-1.880222,0.918290,-1.950495,0.130142,-1.881646,0.000000,-1.920563,0.144535,-1.938656,0.000000,-1.923885,0.099269,-2.005167,-1.845807,0.130406,-1.880269,,,,-1.918133,0.206612,-1.796783,-1.849872,0.155244,-1.752986,-1.894300,0.197879,-1.739362,-1.813952,0.106927,-1.832258,-1.867714,0.100371,-2.004196,,,,,,,,,,,,,,,,,,
9,0.075000,-0.006800,0.000215,0.009648,-0.999930,-1.897622,0.144958,-1.850778,0.000500,-1.923735,0.099635,-2.004490,0.769343,-1.870933,0.206045,-1.800017,0.000000,-1.939974,0.155841,-1.752566,0.000000,-1.918457,0.206279,-1.797461,0.800385,-1.850047,0.155211,-1.752829,0.940448,-1.894064,0.198025,-1.739135,0.911400,-1.975467,0.106275,-1.825286,0.000000,-1.814052,0.106826,-1.832450,0.947201,-1.868010,0.100137,-2.004542,0.881412,-1.845568,0.130549,-1.880246,0.921645,-1.950540,0.130142,-1.881647,0.000000,-1.920619,0.144528,-1.938665,0.000000,-1.924047,0.099216,-2.005250,-1.845838,0.130393,-1.880275,,,,-1.918158,0.206621,-1.796805,-1.849892,0.155251,-1.753006,-1.894299,0.197889,-1.739362,-1.813970,0.106909,-1.832274,-1.867746,0.100362,-2.004218,,,,,,,,,,,,,,,,,,
10,0.083333,-0.006854,0.000348,0.009851,-0.999928,-1.897558,0.144974,-1.850759,0.000501,-1.923649,0.099678,-2.004482,0.798650,-1.870857,0.206045,-1.799984,0.000000,-1.939931,0.155864,-1.752557,0.000000,-1.918382,0.206298,-1.797441,0.741954,-1.850004,0.155197,-1.752796,0.936464,-1.894008,0.198028,-1.739109,0.897105,-1.975425,0.106320,-1.825291,0.000000,-1.814008,0.106806,-1.832413,0.955401,-1.867923,0.100158,-2.004519,0.893865,-1.845501,0.130547,-1.880215,0.905570,-1.950474,0.130183,-1.881643,0.000000,-1.920531,0.144562,-1.938652,0.000000,-1.923861,0.099291,-2.005157,-1.845830,0.130369,-1.880268,,,,-1.917956,0.206723,-1.796603,-1.849859,0.155235,-1.753001,-1.894283,0.197865,-1.739368,-1.813941,0.106906,-1.832281,-1.867705,0.100362,-2.004218,,,,,,,,,,,,,,,,,,
11,0.091667,-0.006813,0.000243,0.009683,-0.999930,-1.897603,0.144970,-1.850768,0.000506,-1.923710,0.099652,-2.004483,0.774834,-1.870912,0.206054,-1.800004,0.000000,-1.939959,0.155853,-1.752558,0.000000,-1.918436,0.206291,-1.797451,0.781218,-1.850032,0.155217,-1.752817,0.939912,-1.894047,0.198034,-1.739124,0.904318,-1.975452,0.106292,-1.825281,0.000000,-1.814036,0.106831,-1.832436,0.947039,-1.867985,0.100151,-2.004532,0.886304,-1.845547,0.130558,-1.880234,0.918876,-1.950520,0.130159,-1.881641,0.000000,-1.920594,0.144543,-1.938656,0.000000,-1.924006,0.099239,-2.005226,-1.845830,0.130403,-1.880269,,,,-1.918098,0.206673,-1.796740,-1.849877,0.155245,-1.752998,-1.894302,0.197882,-1.739365,-1.813954,0.106927,-1.832266,-1.867729,0.100361,-2.004220,,,,,,,,,,,,,,,,,,
12,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.923956,0.099260,-2.005219,-1.845775,0.130426,-1.880259,,,,-1.918085,0.206648,-1.796784,-1.849850,0.155263,-1.752986,-1.894228,0.197924,-1.739340,-1.813905,0.106943,-1.832252,-1.867701,0.100392,-2.004224,,,,,,,,,,,,,,,,,,
13,0.108333,-0.006823,0.000213,0.009603,-0.999931,-1.897583,0.144991,-1.850745,0.000505,-1.923692,0.099673,-2.004460,0.768740,-1.870899,0.206079,-1.799982,0.000000,-1.939935,0.155866,-1.752533,0.000000,-1.918423,0.206308,-1.797426,0.794587,-1.850008,0.155244,-1.752797,0.940104,-1.894029,0.198054,-1.739100,0.906586,-1.975424,0.106300,-1.825255,0.000000,-1.814009,0.106866,-1.832419,0.950439,-1.867966,0.100181,-2.004512,0.880367,-1.845527,0.130589,-1.880214,0.925760,-1.950500,0.130173,-1.881615,0.000000,-1.920579,0.144563,-1.938632,0.000000,-1.924015,0.099240,-2.005210,-1.845785,0.130444,-1.880236,,,,-1.918102,0.206652,-1.796752,-1.849849,0.155276,-1.752973,-1.894279,0.197921,-1.739344,-1.813944,0.106948,-1.832251,-1.867694,0.100415,-2.004195,,,,,,,,,,,,,,,,,,
14,0.116667,-0.006813,0.000274,0.009778,-0.999929,-1.897570,0.144974,-1.850755,0.000509,-1.923677,0.099662,-2.004472,0.780799,-1.870871,0.206053,-1.799990,0.000000,-1.939930,0.155866,-1.752548,0.000000,-1.918395,0.206300,-1.797440,0.766445,-1.850003,0.155213,-1.752801,0.938661,-1.894011,0.198038,-1.739111,0.906019,-1.975428,0.106311,-1.825274,0.000000,-1.814012,0.106820,-1.832419,0.946749,-1.867951,0.100150,-2.004517,0.887731,-1.845516,0.130553,-1.880218,0.913670,-1.950488,0.130174,-1.881631,0.000000,-1.920556,0.144552,-1.938645,0.000000,-1.923944,0.099244,-2.005194,-1.845817,0.130391,-1.880264,,,,-1.918017,0.206684,-1.796677,-1.849871,0.155232,-1.753007,-1.894261,0.197898,-1.739355,-1.813937,0.106926,-1.832250,-1.867706,0.100369,-2.004211,,,,,,,,,,,,,,,,,,
15,0.125000,-0.006824,0.000228,0.009679,-0.999930,-1.897596,0.144977,-1.850766,0.000513,-1.923707,0.099664,-2.004481,0.770447,-1.870904,0.206061,-1.800002,0.000000,-1.939949,0.155859,-1.752555,0.000000,-1.918428,0.206297,-1.797447,0.775578,-1.850022,0.155223,-1.752816,0.941384,-1.894037,0.198039,-1.739121,0.905307,-1.975444,0.106298,-1.825278,0.000000,-1.814028,0.106840,-1.832438,0.949488,-1.867982,0.100163,-2.004531,0.885202,-1.845541,0.130567,-1.880234,0.920595,-1.950514,0.130167,-1.881637,0.000000,-1.920590,0.144553,-1.938654,0.000000,-1.924006,0.099232,-2.005234,-1.845816,0.130411,-1.880265,,,,-1.918079,0.206686,-1.796717,-1.849878,0.155244,-1.752999,-1.894292,0.197897,-1.739362,-1.813948,0.106935,-1.832278,-1.867728,0.100383,-2.004219,,,,,,,,,,,,,,,,,,
16,0.133333,-0.006839,0.000252,0.009752,-0.999929,-1.897571,0.144984,-1.850750,0.000527,-1.923683,0.099678,-2.004467,0.770447,-1.870874,0.206061,-1.799983,0.000000,-1.939928,0.155868,-1.752540,0.000000,-1.918398,0.206305,-1.797430,0.775578,-1.850001,0.155219,-1.752797,0.941384,-1.894011,0.198042,-1.739103,0.905307,-1.975427,0.106315,-1.825267,0.000000,-1.814011,0.106833,-1.832419,0.949488,-1.867957,0.100169,-2.004515,0.885202,-1.845518,0.130567,-1.880215,0.920595,-1.950490,0.130182,-1.881624,0.000000,-1.920561,0.144565,-1.938639,0.000000,-1.923998,0.099251,-2.005213,-1.845803,0.130405,-1.880260,,,,-1.917963,0.206701,-1.796621,-1.849860,0.155267,-1.752985,-1.894302,0.197891,-1.739359,-1.813938,0.106924,-1.832267,-1.867693,0.100387,-2.004211,,,,,,,,,,,,,,,,,,
17,0.141667,-0.006822,0.000213,0.009763,-0.999929,-1.897618,0.144966,-1.850774,0.000543,-1.923743,0.099656,-2.004488,0.771131,-1.870915,0.206045,-1.800011,0.000000,-1.939966,0.155855,-1.752561,0.000000,-1.918439,0.206290,-1.797455,0.749852,-1.850040,0.155204,-1.752825,0.940053,-1.894047,0.198028,-1.739129,0.896040,-1.975472,0.106300,-1.825283,0.000000,-1.814057,0.106814,-1.832448,0.952155,-1.868017,0.100146,-2.004540,0.885501,-1.845567,0.130547,-1.880243,0.917327,-1.950540,0.130164,-1.881643,0.000000,-1.920615,0.144545,-1.938661,0.000000,-1.924073,0.099205,-2.005268,-1.845842,0.130394,-1.880286,,,,-1.918016,0.206715,-1.796643,-1.849900,0.155241,-1.753012,-1.894328,0.197864,-1.739389,-1.813977,0.106906,-1.832282,-1.867758,0.100367,-2.004230,,,,,,,,,,,,,,,,,,
18,0.150000,-0.006796,0.000131,0.009839,-0.999929,-1.897598,0.144956,-1.850756,0.000557,-1.923755,0.099642,-2.004463,0.760033,-1.870877,0.206034,-1.800000,0.000000,-1.939929,0.155856,-1.752537,0.000000,-1.918401,0.206286,-1.797436,0.747873,-1.850002,0.155192,-1.752815,0.940949,-1.894001,0.198023,-1.739114,0.895929,-1.975454,0.106303,-1.825250,0.000000,-1.814039,0.106793,-1.832442,0.948523,-1.868029,0.100124,-2.004524,0.884959,-1.845554,0.130528,-1.880233,0.920588,-1.950527,0.130161,-1.881616,0.000000,-1.920610,0.144534,-1.938639,0.000000,-1.924134,0.099166,-2.005270,-1.845838,0.130373,-1.880269,,,,-1.917975,0.206701,-1.796617,-1.849866,0.155237,-1.753011,-1.894269,0.197871,-1.739356,-1.813967,0.106885,-1.832276,-1.867727,0.100350,-2.004226,,,,,,,,,,,,,,,,,,
19,0.158333,-0.006793,0.000154,0.009755,-0.999929,-1.897632,0.144966,-1.850770,0.000555,-1.923774,0.099647,-2.004478,0.747128,-1.870924,0.206048,-1.800013,0.000000,-1.939969,0.155860,-1.752553,0.000000,-1.918447,0.206292,-1.797452,0.746924,-1.850042,0.155211,-1.752827,0.939469,-1.894049,0.198034,-1.739128,0.901913,-1.975482,0.106300,-1.825268,0.000000,-1.814068,0.106817,-1.832452,0.949415,-1.868048,0.100138,-2.004537,0.879896,-1.845584,0.130546,-1.880244,0.918714,-1.950557,0.130162,-1.881632,0.000000,-1.920639,0.144540,-1.938654,0.000000,-1.924170,0.099155,-2.005314,-1.845841,0.130394,-1.880276,,,,-1.918050,0.206697,-1.796675,-1.849911,0.155242,-1.753004,-1.894313,0.197892,-1.739366,-1.813986,0.106915,-1.832281,-1.867756,0.100366,-2.004237,,,,,,,,,,,,,,,,,,
