Format Version,1.23,Take Name,FW_75,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.19.24.382 PM,Total Frames in Take,847,Total Exported Frames,847,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.008678,0.379833,-0.001450,-0.925013,2.016742,0.219376,-1.935960,0.001641,2.056190,0.214060,-2.009074,0.653084,2.089069,0.214739,-1.976816,0.724582,1.942875,0.224208,-1.894655,0.643925,1.978835,0.224499,-1.863295,0.728999,,,,,,,,,,,,,,,,,,,,,2.057148,0.213954,-2.010073,2.089845,0.214685,-1.977595,1.941903,0.224317,-1.893620,1.978062,0.224551,-1.862537,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.008809,0.379831,-0.001150,-0.925013,2.016738,0.219367,-1.935955,0.001632,2.056183,0.214068,-2.009072,0.666337,2.089062,0.214716,-1.976814,0.718551,1.942874,0.224213,-1.894647,0.640068,1.978834,0.224473,-1.863287,0.731799,,,,,,,,,,,,,,,,,,,,,2.057103,0.213967,-2.010034,2.089853,0.214660,-1.977613,1.941895,0.224322,-1.893598,1.978070,0.224526,-1.862536,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.008759,0.379864,-0.001156,-0.925000,2.016751,0.219361,-1.935986,0.001670,2.056200,0.214053,-2.009099,0.666337,2.089077,0.214703,-1.976839,0.718551,1.942883,0.224212,-1.894684,0.640068,1.978841,0.224474,-1.863321,0.731799,,,,,,,,,,,,,,,,,,,,,2.057110,0.213962,-2.010062,2.089913,0.214636,-1.977677,1.941900,0.224312,-1.893625,1.978045,0.224537,-1.862541,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.008763,0.379865,-0.001312,-0.924999,2.016736,0.219357,-1.935968,0.001632,2.056188,0.214053,-2.009081,0.668148,2.089064,0.214717,-1.976820,0.703723,1.942867,0.224192,-1.894667,0.637843,1.978825,0.224468,-1.863304,0.720870,,,,,,,,,,,,,,,,,,,,,2.057113,0.213953,-2.010065,2.089855,0.214660,-1.977599,1.941914,0.224295,-1.893647,1.978049,0.224523,-1.862545,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.008736,0.379870,-0.001432,-0.924998,2.016755,0.219345,-1.935994,0.001645,2.056209,0.214038,-2.009106,0.650766,2.089085,0.214713,-1.976845,0.725339,1.942885,0.224171,-1.894695,0.646442,1.978842,0.224458,-1.863332,0.727323,,,,,,,,,,,,,,,,,,,,,2.057167,0.213932,-2.010117,2.089864,0.214660,-1.977617,1.941921,0.224278,-1.893666,1.978063,0.224511,-1.862570,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.008752,0.379837,-0.001429,-0.925011,2.016727,0.219341,-1.935966,0.001645,2.056175,0.214037,-2.009080,0.656054,2.089054,0.214711,-1.976822,0.723693,1.942859,0.224165,-1.894661,0.644707,1.978819,0.224452,-1.863300,0.728766,,,,,,,,,,,,,,,,,,,,,2.057116,0.213930,-2.010078,2.089839,0.214659,-1.977598,1.941902,0.224276,-1.893617,1.978037,0.224503,-1.862550,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.008660,0.379852,-0.001286,-0.925006,2.016734,0.219365,-1.935973,0.001676,2.056183,0.214043,-2.009086,0.656054,2.089061,0.214708,-1.976827,0.723693,1.942867,0.224216,-1.894671,0.644707,1.978826,0.224492,-1.863309,0.728766,,,,,,,,,,,,,,,,,,,,,2.057121,0.213942,-2.010081,2.089883,0.214648,-1.977643,1.941875,0.224322,-1.893620,1.978034,0.224550,-1.862522,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.008767,0.379834,-0.001257,-0.925012,2.016739,0.219362,-1.935968,0.001652,2.056185,0.214057,-2.009084,0.657228,2.089064,0.214716,-1.976825,0.709956,1.942873,0.224202,-1.894662,0.637696,1.978833,0.224473,-1.863302,0.720549,,,,,,,,,,,,,,,,,,,,,2.057127,0.213952,-2.010082,2.089859,0.214662,-1.977613,1.941902,0.224311,-1.893624,1.978052,0.224526,-1.862535,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.008766,0.379847,-0.001278,-0.925007,2.016739,0.219375,-1.935955,0.001636,2.056188,0.214071,-2.009069,0.664670,2.089066,0.214731,-1.976810,0.715716,1.942872,0.224213,-1.894651,0.643556,1.978831,0.224486,-1.863289,0.727117,,,,,,,,,,,,,,,,,,,,,2.057115,0.213974,-2.010034,2.089864,0.214671,-1.977618,1.941891,0.224315,-1.893621,1.978061,0.224543,-1.862518,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.008761,0.379886,-0.001339,-0.924991,2.016726,0.219370,-1.935949,0.001655,2.056181,0.214066,-2.009060,0.652901,2.089056,0.214732,-1.976798,0.722357,1.942855,0.224202,-1.894652,0.637011,1.978811,0.224480,-1.863287,0.729763,,,,,,,,,,,,,,,,,,,,,2.057132,0.213945,-2.010065,2.089843,0.214688,-1.977580,1.941869,0.224328,-1.893593,1.978039,0.224523,-1.862532,,,,,,,,,,,,,,,,,,,,,,,,
