Format Version,1.23,Take Name,FW_85,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.20.39.723 PM,Total Frames in Take,817,Total Exported Frames,817,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.009572,0.413642,-0.001311,-0.910388,2.013350,0.219309,-1.920934,0.001531,2.058072,0.214140,-1.990957,0.544284,2.088487,0.214743,-1.956365,0.840521,1.936643,0.224069,-1.885168,0.635201,1.970197,0.224286,-1.851245,0.841749,,,,,,,,,,,,,,,,,,,,,2.059329,0.213816,-1.992236,2.089012,0.214789,-1.956724,1.935629,0.224306,-1.884146,1.969677,0.224257,-1.850885,,,,,,,,,,,,
7,0.058333,-0.009544,0.413502,-0.001348,-0.910452,2.013275,0.219318,-1.920850,0.001576,2.057976,0.214145,-1.990887,0.496259,2.088401,0.214753,-1.956304,0.826374,1.936579,0.224077,-1.885061,0.671151,1.970144,0.224299,-1.851149,0.831519,,,,,,,,,,,,,,,,,,,,,2.059380,0.213756,-1.992278,2.088978,0.214800,-1.956689,1.935640,0.224292,-1.884166,1.969592,0.224280,-1.850762,,,,,,,,,,,,
8,0.066667,-0.009666,0.413584,-0.001138,-0.910414,2.013321,0.219303,-1.920896,0.001560,2.058032,0.214145,-1.990927,0.496259,2.088452,0.214730,-1.956339,0.826374,1.936620,0.224069,-1.885119,0.671151,1.970178,0.224268,-1.851200,0.831519,,,,,,,,,,,,,,,,,,,,,2.059319,0.213822,-1.992193,2.089023,0.214771,-1.956751,1.935623,0.224296,-1.884137,1.969606,0.224245,-1.850787,,,,,,,,,,,,
9,0.075000,-0.009588,0.413615,-0.001192,-0.910400,2.013315,0.219309,-1.920893,0.001580,2.058032,0.214139,-1.990919,0.541583,2.088449,0.214732,-1.956329,0.823659,1.936612,0.224079,-1.885121,0.645625,1.970168,0.224286,-1.851201,0.823228,,,,,,,,,,,,,,,,,,,,,2.059311,0.213803,-1.992195,2.089030,0.214775,-1.956744,1.935581,0.224322,-1.884113,1.969598,0.224259,-1.850782,,,,,,,,,,,,
10,0.083333,-0.009568,0.413593,-0.001276,-0.910411,2.013314,0.219310,-1.920880,0.001580,2.058028,0.214139,-1.990908,0.526189,2.088447,0.214740,-1.956320,0.824889,1.936611,0.224074,-1.885106,0.644628,1.970169,0.224289,-1.851187,0.827603,,,,,,,,,,,,,,,,,,,,,2.059343,0.213788,-1.992227,2.089021,0.214785,-1.956718,1.935615,0.224308,-1.884119,1.969606,0.224264,-1.850790,,,,,,,,,,,,
11,0.091667,-0.009505,0.413518,-0.001343,-0.910445,2.013302,0.219316,-1.920872,0.001602,2.058005,0.214136,-1.990907,0.516591,2.088430,0.214745,-1.956323,0.815714,1.936605,0.224080,-1.885086,0.655947,1.970169,0.224303,-1.851173,0.818314,,,,,,,,,,,,,,,,,,,,,2.059356,0.213792,-1.992247,2.089034,0.214782,-1.956745,1.935630,0.224295,-1.884139,1.969579,0.224288,-1.850749,,,,,,,,,,,,
12,0.100000,-0.009626,0.413627,-0.001182,-0.910395,2.013320,0.219318,-1.920885,0.001571,2.058038,0.214154,-1.990911,0.516591,2.088455,0.214745,-1.956320,0.815714,1.936615,0.224085,-1.885116,0.655947,1.970171,0.224289,-1.851194,0.818314,,,,,,,,,,,,,,,,,,,,,2.059386,0.213784,-1.992259,2.089000,0.214793,-1.956690,1.935610,0.224324,-1.884116,1.969642,0.224262,-1.850838,,,,,,,,,,,,
13,0.108333,-0.009564,0.413563,-0.001423,-0.910424,2.013288,0.219339,-1.920861,0.001533,2.057999,0.214170,-1.990891,0.514552,2.088420,0.214784,-1.956304,0.834879,1.936587,0.224087,-1.885082,0.640481,1.970147,0.224315,-1.851165,0.840402,,,,,,,,,,,,,,,,,,,,,2.059360,0.213804,-1.992245,2.088940,0.214834,-1.956648,1.935626,0.224310,-1.884130,1.969637,0.224289,-1.850828,,,,,,,,,,,,
14,0.116667,-0.009540,0.413649,-0.001361,-0.910385,2.013310,0.219343,-1.920880,0.001545,2.058033,0.214168,-1.990902,0.531024,2.088448,0.214778,-1.956310,0.840453,1.936602,0.224100,-1.885116,0.634962,1.970156,0.224324,-1.851193,0.842955,,,,,,,,,,,,,,,,,,,,,2.059337,0.213822,-1.992206,2.088971,0.214826,-1.956672,1.935593,0.224343,-1.884089,1.969634,0.224294,-1.850845,,,,,,,,,,,,
15,0.125000,-0.009496,0.413633,-0.001378,-0.910393,2.013308,0.219343,-1.920883,0.001541,2.058028,0.214162,-1.990906,0.544915,2.088444,0.214775,-1.956315,0.834833,1.936601,0.224105,-1.885117,0.635779,1.970156,0.224331,-1.851195,0.835570,,,,,,,,,,,,,,,,,,,,,2.059291,0.213833,-1.992175,2.088984,0.214821,-1.956693,1.935585,0.224346,-1.884101,1.969619,0.224301,-1.850816,,,,,,,,,,,,
