Format Version,1.23,Take Name,FW_80,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.20.01.804 PM,Total Frames in Take,811,Total Exported Frames,811,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,AWS_DeepRace...,"AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker1","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker2","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker3","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4","AWS_DeepRace...:Marker4",PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,PlankOfWood,"PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker1","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker2","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3","PlankOfWood:Marker3",AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker1,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker2,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker3,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,AWS_DeepRace...:Marker4,Unlabeled 5532,Unlabeled 5532,Unlabeled 5532,Unlabeled 5533,Unlabeled 5533,Unlabeled 5533,Unlabeled 5535,Unlabeled 5535,Unlabeled 5535,Unlabeled 5536,Unlabeled 5536,Unlabeled 5536,Unlabeled 5539,Unlabeled 5539,Unlabeled 5539,Unlabeled 5542,Unlabeled 5542,Unlabeled 5542,Unlabeled 5543,Unlabeled 5543,Unlabeled 5543
,ID,"F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","F312C7F0AC5111EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","6AD97ADFAC5711EB6A3FE2211B00538D","D0C70","D0C70","D0C70","D0C60","D0C60","D0C60","D0C90","D0C90","D0C90","D0C80","D0C80","D0C80","D0CA0","D0CA0","D0CA0","D0CB0","D0CB0","D0CB0","D0CC0","D0CC0","D0CC0","D0C10","D0C10","D0C10","D0CE0","D0CE0","D0CE0","D0D30","D0D30","D0D30","D0D50","D0D50","D0D50"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.008418,-0.393404,0.000715,0.919327,2.015825,0.219377,-1.939075,0.001991,2.057397,0.214004,-2.010998,0.609473,2.089314,0.214618,-1.977787,0.653670,1.940784,0.224332,-1.899959,0.557745,1.975806,0.224553,-1.867555,0.662857,,,,,,,,,,,,,,,,,,,,,2.058509,0.213933,-2.012092,2.090294,0.214509,-1.978759,1.939573,0.224412,-1.898672,1.974816,0.224659,-1.866646,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.008438,-0.393472,0.000586,0.919298,2.015843,0.219371,-1.939102,0.001991,2.057424,0.213999,-2.011020,0.609473,2.089336,0.214601,-1.977804,0.653670,1.940797,0.224337,-1.899997,0.557745,1.975815,0.224546,-1.867587,0.662857,,,,,,,,,,,,,,,,,,,,,2.058493,0.213941,-2.012070,2.090328,0.214481,-1.978814,1.939570,0.224406,-1.898677,1.974839,0.224660,-1.866681,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.008423,-0.393452,0.000780,0.919306,2.015827,0.219373,-1.939079,0.001947,2.057407,0.214002,-2.010997,0.628368,2.089320,0.214621,-1.977783,0.656318,1.940781,0.224320,-1.899971,0.561894,1.975800,0.224547,-1.867563,0.672869,,,,,,,,,,,,,,,,,,,,,2.058458,0.213941,-2.012046,2.090293,0.214508,-1.978747,1.939597,0.224392,-1.898682,1.974833,0.224655,-1.866688,,,,,,,,,,,,,,,,,,,,,
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.058529,0.213894,-2.012118,2.090276,0.214513,-1.978734,1.939566,0.224411,-1.898641,1.974828,0.224654,-1.866670,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.008378,-0.393450,0.000743,0.919308,2.015827,0.219366,-1.939083,0.001969,2.057406,0.213987,-2.011002,0.628368,2.089319,0.214605,-1.977787,0.656318,1.940781,0.224323,-1.899976,0.561894,1.975801,0.224548,-1.867568,0.672869,,,,,,,,,,,,,,,,,,,,,2.058489,0.213919,-2.012068,2.090280,0.214496,-1.978755,1.939567,0.224403,-1.898664,1.974836,0.224652,-1.866683,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.008457,0.393435,-0.000629,-0.919313,2.015828,0.219369,-1.939093,0.001960,2.057404,0.214001,-2.011014,0.619647,2.089319,0.214606,-1.977800,0.658081,1.940785,0.224328,-1.899981,0.552702,1.975806,0.224540,-1.867575,0.671805,,,,,,,,,,,,,,,,,,,,,2.058470,0.213935,-2.012069,2.090290,0.214495,-1.978773,1.939584,0.224406,-1.898682,1.974838,0.224645,-1.866690,,,,,,,,,,,,,,,,,,,,,
