Format Version,1.23,Take Name,BW_60,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.41.16.277 PM,Total Frames in Take,902,Total Exported Frames,902,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.007430,0.943623,0.000746,0.330939,1.996729,0.217759,-1.910496,0.001541,1.965280,0.210797,-1.833733,0.701150,1.929198,0.211028,-1.862370,0.748772,2.065741,0.224724,-1.959227,0.793659,2.026697,0.224487,-1.986654,0.600174,1.964427,0.210682,-1.832904,1.928673,0.210958,-1.861516,2.066273,0.224807,-1.959851,2.027677,0.224602,-1.987913,2.268551,0.043512,0.426670,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.007352,0.943602,0.000752,0.331001,1.996721,0.217762,-1.910487,0.001544,1.965261,0.210800,-1.833728,0.696717,1.929183,0.211038,-1.862370,0.746406,2.065740,0.224721,-1.959208,0.788519,2.026700,0.224491,-1.986640,0.609358,1.964395,0.210692,-1.832886,1.928652,0.210957,-1.861509,2.066284,0.224797,-1.959851,2.027659,0.224617,-1.987867,2.268561,0.043517,0.426669,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.007399,0.943614,0.000779,0.330965,1.996715,0.217771,-1.910474,0.001531,1.965262,0.210803,-1.833713,0.696717,1.929182,0.211038,-1.862352,0.746406,2.065730,0.224737,-1.959200,0.788519,2.026688,0.224504,-1.986629,0.609358,1.964404,0.210698,-1.832875,1.928663,0.210957,-1.861508,2.066266,0.224811,-1.959826,2.027640,0.224633,-1.987862,2.268553,0.043530,0.426672,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.007484,0.943605,0.000871,0.330987,1.996729,0.217760,-1.910493,0.001500,1.965273,0.210776,-1.833735,0.698853,1.929194,0.211006,-1.862376,0.751534,2.065743,0.224747,-1.959216,0.793073,2.026703,0.224508,-1.986647,0.609451,1.964408,0.210683,-1.832896,1.928701,0.210914,-1.861549,2.066278,0.224810,-1.959836,2.027597,0.224648,-1.987823,2.268546,0.043507,0.426659,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.007420,0.943633,0.000833,0.330911,1.996732,0.217761,-1.910501,0.001528,1.965288,0.210784,-1.833737,0.697659,1.929204,0.211019,-1.862372,0.758231,2.065740,0.224736,-1.959235,0.794657,2.026695,0.224503,-1.986659,0.629155,1.964426,0.210669,-1.832904,1.928693,0.210948,-1.861533,2.066263,0.224818,-1.959859,2.027667,0.224618,-1.987892,2.268547,0.043510,0.426670,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.007565,0.943627,0.000833,0.330923,1.996727,0.217754,-1.910493,0.001506,1.965283,0.210777,-1.833730,0.698899,1.929200,0.210999,-1.862365,0.753716,2.065734,0.224745,-1.959225,0.795367,2.026690,0.224498,-1.986651,0.606628,1.964423,0.210670,-1.832895,1.928705,0.210921,-1.861545,2.066253,0.224818,-1.959837,2.027637,0.224623,-1.987870,2.268560,0.043528,0.426662,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.007538,0.943635,0.000779,0.330901,1.996724,0.217748,-1.910502,0.001523,1.965282,0.210779,-1.833737,0.706086,1.929198,0.211002,-1.862371,0.754653,2.065729,0.224728,-1.959238,0.799851,2.026684,0.224482,-1.986662,0.599594,1.964435,0.210667,-1.832930,1.928695,0.210932,-1.861531,2.066238,0.224808,-1.959851,2.027678,0.224598,-1.987913,2.268554,0.043498,0.426662,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.007484,0.943620,0.000919,0.330944,1.996730,0.217760,-1.910499,0.001488,1.965282,0.210769,-1.833739,0.706316,1.929200,0.211001,-1.862376,0.761772,2.065740,0.224754,-1.959227,0.801415,2.026697,0.224517,-1.986655,0.617207,1.964447,0.210666,-1.832918,1.928709,0.210923,-1.861563,2.066256,0.224826,-1.959827,2.027620,0.224643,-1.987870,2.268557,0.043492,0.426683,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.007596,0.943620,0.000751,0.330942,1.996754,0.217748,-1.910529,0.001535,1.965307,0.210784,-1.833766,0.690280,1.929225,0.211001,-1.862403,0.758553,2.065763,0.224730,-1.959260,0.794012,2.026721,0.224478,-1.986687,0.608061,1.964425,0.210676,-1.832902,1.928721,0.210921,-1.861583,2.066301,0.224803,-1.959880,2.027670,0.224608,-1.987928,2.268558,0.043506,0.426684,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.007161,0.943621,0.000818,0.330949,1.996788,0.217720,-1.910554,0.001563,1.965335,0.210748,-1.833794,0.694394,1.929253,0.211005,-1.862432,0.739231,2.065804,0.224668,-1.959281,0.780291,2.026761,0.224458,-1.986709,0.614573,1.964467,0.210644,-1.832940,1.928703,0.210916,-1.861550,2.066373,0.224744,-1.959946,2.027699,0.224588,-1.987926,2.268553,0.043500,0.426684,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.007500,0.943622,0.000720,0.330939,1.996768,0.217747,-1.910521,0.001549,1.965320,0.210788,-1.833758,0.694394,1.929238,0.211013,-1.862395,0.739231,2.065779,0.224715,-1.959253,0.780291,2.026736,0.224471,-1.986680,0.614573,1.964435,0.210681,-1.832898,1.928726,0.210932,-1.861557,2.066323,0.224789,-1.959881,2.027696,0.224602,-1.987927,2.268561,0.043495,0.426655,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.007354,0.943623,0.000847,0.330941,1.996746,0.217771,-1.910500,0.001534,1.965297,0.210793,-1.833739,0.690432,1.929215,0.211034,-1.862376,0.753661,2.065758,0.224743,-1.959229,0.791324,2.026716,0.224515,-1.986656,0.605178,1.964437,0.210689,-1.832899,1.928688,0.210949,-1.861516,2.066305,0.224817,-1.959869,2.027648,0.224644,-1.987865,2.268559,0.043504,0.426676,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.007334,0.943634,0.000838,0.330909,1.996763,0.217774,-1.910518,0.001520,1.965318,0.210797,-1.833755,0.698582,1.929235,0.211040,-1.862390,0.746970,2.065772,0.224742,-1.959252,0.788635,2.026727,0.224517,-1.986676,0.616923,1.964461,0.210692,-1.832913,1.928716,0.210959,-1.861549,2.066304,0.224816,-1.959883,2.027671,0.224644,-1.987886,2.268548,0.043526,0.426689,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.007604,0.943625,0.000773,0.330929,1.996786,0.217756,-1.910538,0.001514,1.965341,0.210787,-1.833774,0.694510,1.929258,0.211004,-1.862410,0.759804,2.065794,0.224741,-1.959270,0.796590,2.026750,0.224489,-1.986696,0.612886,1.964470,0.210686,-1.832922,1.928760,0.210920,-1.861593,2.066319,0.224809,-1.959888,2.027697,0.224625,-1.987914,2.268550,0.043521,0.426685,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.007403,0.943615,0.000884,0.330960,1.996796,0.217766,-1.910540,0.001504,1.965344,0.210781,-1.833780,0.697693,1.929264,0.211019,-1.862419,0.757675,2.065809,0.224747,-1.959265,0.795817,2.026767,0.224516,-1.986694,0.620584,1.964481,0.210683,-1.832939,1.928763,0.210931,-1.861593,2.066332,0.224814,-1.959889,2.027699,0.224652,-1.987885,2.268556,0.043529,0.426684,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.007749,0.943630,0.000687,0.330911,1.996789,0.217751,-1.910511,0.001589,1.965348,0.210796,-1.833744,0.703215,1.929264,0.210998,-1.862379,0.754148,2.065793,0.224739,-1.959248,0.797363,2.026749,0.224472,-1.986673,0.554794,1.964493,0.210677,-1.832929,1.928742,0.210936,-1.861548,2.066314,0.224827,-1.959862,2.027868,0.224586,-1.988054,2.268549,0.043503,0.426671,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.007860,0.943626,0.000641,0.330920,1.996820,0.217713,-1.910559,0.001580,1.965379,0.210765,-1.833792,0.702505,1.929296,0.210955,-1.862427,0.765617,2.065825,0.224706,-1.959295,0.802792,2.026781,0.224426,-1.986721,0.546817,1.964518,0.210649,-1.832978,1.928804,0.210892,-1.861632,2.066331,0.224788,-1.959894,2.027922,0.224550,-1.988124,2.268549,0.043497,0.426675,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.007772,0.943626,0.000652,0.330921,1.996814,0.217715,-1.910547,0.001575,1.965372,0.210765,-1.833780,0.702505,1.929289,0.210964,-1.862416,0.765617,2.065820,0.224700,-1.959282,0.802792,2.026776,0.224430,-1.986708,0.546817,1.964507,0.210645,-1.832950,1.928786,0.210904,-1.861610,2.066331,0.224787,-1.959891,2.027884,0.224544,-1.988071,2.268554,0.043516,0.426663,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.007472,0.943636,0.000772,0.330899,1.996811,0.217705,-1.910557,0.001591,1.965370,0.210738,-1.833792,0.698776,1.929285,0.210967,-1.862426,0.761996,2.065818,0.224678,-1.959293,0.800163,2.026773,0.224438,-1.986717,0.559992,1.964519,0.210622,-1.832973,1.928746,0.210899,-1.861575,2.066344,0.224764,-1.959922,2.027874,0.224556,-1.988067,2.268545,0.043504,0.426685,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.007402,0.943622,0.000807,0.330943,1.996816,0.217703,-1.910576,0.001540,1.965366,0.210731,-1.833814,0.703404,1.929284,0.210967,-1.862452,0.747702,2.065827,0.224674,-1.959305,0.793750,2.026784,0.224441,-1.986733,0.563576,1.964511,0.210617,-1.832981,1.928759,0.210894,-1.861600,2.066362,0.224756,-1.959931,2.027758,0.224558,-1.987987,2.268553,0.043517,0.426659,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.007195,0.943626,0.000917,0.330934,1.996787,0.217721,-1.910553,0.001528,1.965337,0.210732,-1.833794,0.700175,1.929255,0.210989,-1.862430,0.749330,2.065800,0.224686,-1.959282,0.793154,2.026757,0.224475,-1.986709,0.602034,1.964529,0.210611,-1.833018,1.928721,0.210932,-1.861555,2.066316,0.224780,-1.959893,2.027758,0.224570,-1.987988,2.268556,0.043523,0.426669,,,,,,,,,,,,,,,,,,,,,,,,,,,
