Format Version,1.23,Take Name,FW_50,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.15.55.171 PM,Total Frames in Take,1071,Total Exported Frames,1071,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.009425,0.392543,-0.001176,-0.919685,1.991270,0.218878,-1.924752,0.001702,2.032717,0.213681,-1.996760,0.511009,2.064694,0.214298,-1.963607,0.779989,1.916294,0.223651,-1.885490,0.655265,1.951376,0.223882,-1.853150,0.775591,,,,,,,,,,,,,,,,,,,,,2.034055,0.213359,-1.998150,2.065375,0.214321,-1.964164,1.915338,0.223853,-1.884517,1.950688,0.223879,-1.852574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.009311,0.392508,-0.001413,-0.919700,1.991288,0.218864,-1.924761,0.001696,2.032731,0.213653,-1.996770,0.506321,2.064710,0.214294,-1.963620,0.777048,1.916312,0.223626,-1.885496,0.674503,1.951397,0.223882,-1.853159,0.766188,,,,,,,,,,,,,,,,,,,,,2.034087,0.213328,-1.998168,2.065402,0.214318,-1.964183,1.915393,0.223816,-1.884593,1.950688,0.223881,-1.852548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.009536,0.392575,-0.001038,-0.919670,1.991321,0.218864,-1.924793,0.001677,2.032772,0.213683,-1.996800,0.506321,2.064747,0.214284,-1.963645,0.777048,1.916342,0.223637,-1.885535,0.674503,1.951422,0.223852,-1.853192,0.766188,,,,,,,,,,,,,,,,,,,,,2.034065,0.213360,-1.998119,2.065411,0.214315,-1.964210,1.915348,0.223861,-1.884533,1.950747,0.223839,-1.852608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.009472,0.392554,-0.001291,-0.919679,1.991295,0.218861,-1.924765,0.001665,2.032745,0.213674,-1.996772,0.531027,2.064722,0.214299,-1.963619,0.781808,1.916317,0.223615,-1.885505,0.642819,1.951398,0.223855,-1.853165,0.776643,,,,,,,,,,,,,,,,,,,,,2.034036,0.213369,-1.998096,2.065390,0.214324,-1.964179,1.915374,0.223815,-1.884556,1.950700,0.223848,-1.852563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.009420,0.392508,-0.001167,-0.919700,1.991317,0.218837,-1.924809,0.001708,2.032758,0.213639,-1.996820,0.520080,2.064738,0.214256,-1.963670,0.771830,1.916343,0.223612,-1.885541,0.656170,1.951428,0.223842,-1.853204,0.763045,,,,,,,,,,,,,,,,,,,,,2.034087,0.213337,-1.998171,2.065436,0.214275,-1.964257,1.915379,0.223807,-1.884580,1.950711,0.223841,-1.852585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.009405,0.392550,-0.001247,-0.919682,1.991317,0.218845,-1.924787,0.001685,2.032765,0.213646,-1.996794,0.524940,2.064742,0.214270,-1.963641,0.777429,1.916339,0.223613,-1.885527,0.659205,1.951421,0.223851,-1.853186,0.767113,,,,,,,,,,,,,,,,,,,,,2.034077,0.213337,-1.998134,2.065423,0.214293,-1.964213,1.915386,0.223813,-1.884572,1.950714,0.223846,-1.852579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.009380,0.392524,-0.001145,-0.919693,1.991327,0.218861,-1.924805,0.001723,2.032770,0.213656,-1.996815,0.524940,2.064749,0.214272,-1.963664,0.777429,1.916353,0.223643,-1.885540,0.659205,1.951436,0.223873,-1.853202,0.767113,,,,,,,,,,,,,,,,,,,,,2.034093,0.213343,-1.998166,2.065461,0.214295,-1.964262,1.915381,0.223847,-1.884569,1.950707,0.223868,-1.852574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.009443,0.392566,-0.001167,-0.919675,1.991328,0.218858,-1.924798,0.001702,2.032779,0.213664,-1.996804,0.520814,2.064754,0.214279,-1.963650,0.767463,1.916350,0.223630,-1.885539,0.652616,1.951431,0.223859,-1.853198,0.759478,,,,,,,,,,,,,,,,,,,,,2.034078,0.213365,-1.998136,2.065447,0.214300,-1.964234,1.915379,0.223831,-1.884555,1.950715,0.223855,-1.852586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.009418,0.392528,-0.001342,-0.919691,1.991322,0.218864,-1.924799,0.001672,2.032768,0.213669,-1.996808,0.516187,2.064746,0.214300,-1.963656,0.783087,1.916345,0.223620,-1.885535,0.667852,1.951428,0.223866,-1.853197,0.773513,,,,,,,,,,,,,,,,,,,,,2.034095,0.213340,-1.998178,2.065416,0.214329,-1.964206,1.915414,0.223821,-1.884609,1.950741,0.223859,-1.852606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.009400,0.392498,-0.001266,-0.919704,1.991310,0.218864,-1.924771,0.001700,2.032751,0.213664,-1.996783,0.520601,2.064731,0.214290,-1.963633,0.773234,1.916337,0.223630,-1.885502,0.664129,1.951422,0.223870,-1.853166,0.761388,,,,,,,,,,,,,,,,,,,,,2.034075,0.213367,-1.998137,2.065428,0.214308,-1.964214,1.915394,0.223818,-1.884564,1.950699,0.223871,-1.852543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.009486,0.392510,-0.001202,-0.919698,1.991311,0.218874,-1.924775,0.001693,2.032753,0.213688,-1.996787,0.520601,2.064733,0.214305,-1.963636,0.773234,1.916337,0.223636,-1.885508,0.664129,1.951421,0.223868,-1.853170,0.761388,,,,,,,,,,,,,,,,,,,,,2.034115,0.213346,-1.998168,2.065409,0.214334,-1.964198,1.915378,0.223846,-1.884554,1.950738,0.223860,-1.852588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.009443,0.392508,-0.001223,-0.919699,1.991318,0.218869,-1.924780,0.001690,2.032759,0.213676,-1.996791,0.519204,2.064739,0.214296,-1.963641,0.779526,1.916344,0.223634,-1.885512,0.654109,1.951428,0.223869,-1.853175,0.772456,,,,,,,,,,,,,,,,,,,,,2.034087,0.213359,-1.998146,2.065415,0.214320,-1.964207,1.915379,0.223839,-1.884542,1.950736,0.223864,-1.852584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.009406,0.392533,-0.001274,-0.919689,1.991324,0.218860,-1.924798,0.001707,2.032770,0.213661,-1.996806,0.512511,2.064748,0.214288,-1.963654,0.775937,1.916348,0.223625,-1.885535,0.652834,1.951431,0.223865,-1.853196,0.770886,,,,,,,,,,,,,,,,,,,,,2.034115,0.213322,-1.998177,2.065436,0.214317,-1.964228,1.915380,0.223839,-1.884563,1.950732,0.223856,-1.852602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.009405,0.392479,-0.001236,-0.919712,1.991314,0.218852,-1.924791,0.001694,2.032751,0.213653,-1.996805,0.512511,2.064733,0.214276,-1.963656,0.775937,1.916342,0.223622,-1.885519,0.652834,1.951429,0.223858,-1.853184,0.770886,,,,,,,,,,,,,,,,,,,,,2.034080,0.213338,-1.998153,2.065421,0.214301,-1.964234,1.915388,0.223823,-1.884572,1.950718,0.223853,-1.852570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.009397,0.392496,-0.001339,-0.919705,1.991309,0.218864,-1.924789,0.001699,2.032750,0.213665,-1.996800,0.520147,2.064731,0.214297,-1.963650,0.775215,1.916335,0.223623,-1.885520,0.660204,1.951421,0.223869,-1.853184,0.765275,,,,,,,,,,,,,,,,,,,,,2.034080,0.213342,-1.998172,2.065412,0.214322,-1.964214,1.915372,0.223829,-1.884544,1.950730,0.223864,-1.852599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.009427,0.392515,-0.001260,-0.919696,1.991309,0.218863,-1.924786,0.001695,2.032752,0.213668,-1.996796,0.512586,2.064731,0.214292,-1.963646,0.778061,1.916334,0.223627,-1.885520,0.663803,1.951418,0.223865,-1.853182,0.770249,,,,,,,,,,,,,,,,,,,,,2.034086,0.213344,-1.998181,2.065419,0.214317,-1.964207,1.915389,0.223825,-1.884584,1.950722,0.223861,-1.852582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.009460,0.392525,-0.001113,-0.919692,1.991350,0.218830,-1.924833,0.001708,2.032794,0.213637,-1.996843,0.512662,2.064772,0.214248,-1.963692,0.774067,1.916376,0.223605,-1.885567,0.656703,1.951460,0.223829,-1.853229,0.767185,,,,,,,,,,,,,,,,,,,,,2.034142,0.213314,-1.998213,2.065465,0.214272,-1.964271,1.915414,0.223808,-1.884608,1.950752,0.223825,-1.852624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.009501,0.392544,-0.001148,-0.919683,1.991359,0.218825,-1.924846,0.001711,2.032805,0.213640,-1.996855,0.512662,2.064783,0.214252,-1.963702,0.774067,1.916382,0.223591,-1.885584,0.656703,1.951464,0.223817,-1.853244,0.767185,,,,,,,,,,,,,,,,,,,,,2.034102,0.213327,-1.998208,2.065477,0.214276,-1.964280,1.915391,0.223804,-1.884580,1.950767,0.223810,-1.852644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.009519,0.392389,-0.001061,-0.919749,1.991312,0.218847,-1.924796,0.001793,2.032733,0.213663,-1.996819,0.525106,2.064722,0.214268,-1.963677,0.774129,1.916349,0.223620,-1.885507,0.643414,1.951442,0.223838,-1.853179,0.770006,,,,,,,,,,,,,,,,,,,,,2.034339,0.213221,-1.998376,2.065471,0.214292,-1.964278,1.915414,0.223816,-1.884606,1.950752,0.223845,-1.852633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.009543,0.392546,-0.000994,-0.919682,1.991331,0.218852,-1.924805,0.001704,2.032777,0.213671,-1.996815,0.516314,2.064754,0.214269,-1.963662,0.778072,1.916355,0.223629,-1.885542,0.643481,1.951437,0.223840,-1.853202,0.776316,,,,,,,,,,,,,,,,,,,,,2.034104,0.213338,-1.998183,2.065436,0.214297,-1.964230,1.915357,0.223848,-1.884547,1.950761,0.223831,-1.852617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.009536,0.392394,-0.001016,-0.919748,1.991336,0.218837,-1.924816,0.001771,2.032758,0.213655,-1.996840,0.445911,2.064746,0.214255,-1.963697,0.764561,1.916373,0.223613,-1.885528,0.667471,1.951466,0.223826,-1.853200,0.778420,,,,,,,,,,,,,,,,,,,,,2.034319,0.213230,-1.998354,2.065476,0.214283,-1.964291,1.915427,0.223815,-1.884615,1.950777,0.223829,-1.852642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
