Format Version,1.23,Take Name,FW_95,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.22.19.398 PM,Total Frames in Take,684,Total Exported Frames,684,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.009213,0.378075,-0.000707,-0.925729,2.010325,0.219338,-1.939014,0.001736,2.049489,0.214098,-2.012286,0.630804,2.082491,0.214696,-1.980152,0.771701,1.936621,0.224176,-1.897421,0.520773,1.972700,0.224384,-1.866198,0.780198,,,,,,,,,,,,,,,,,,,,,2.050389,0.213924,-2.013444,2.083167,0.214679,-1.980766,1.935374,0.224410,-1.895984,1.972089,0.224395,-1.865566,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.009340,0.378102,-0.000405,-0.925717,2.010349,0.219331,-1.939053,0.001719,2.049514,0.214106,-2.012325,0.645383,2.082515,0.214674,-1.980189,0.765215,1.936644,0.224183,-1.897461,0.522177,1.972722,0.224361,-1.866236,0.777563,,,,,,,,,,,,,,,,,,,,,2.050394,0.213944,-2.013426,2.083200,0.214655,-1.980831,1.935393,0.224411,-1.896034,1.972106,0.224373,-1.865594,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.009176,0.378082,-0.000623,-0.925727,2.010334,0.219329,-1.939023,0.001755,2.049498,0.214081,-2.012294,0.645383,2.082500,0.214673,-1.980160,0.765215,1.936630,0.224180,-1.897431,0.522177,1.972709,0.224382,-1.866207,0.777563,,,,,,,,,,,,,,,,,,,,,2.050421,0.213904,-2.013469,2.083201,0.214656,-1.980797,1.935397,0.224409,-1.896024,1.972075,0.224395,-1.865553,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.009322,0.378097,-0.000377,-0.925719,2.010365,0.219318,-1.939054,0.001716,2.049529,0.214090,-2.012327,0.623930,2.082530,0.214655,-1.980191,0.763225,1.936661,0.224175,-1.897462,0.528802,1.972739,0.224351,-1.866237,0.772256,,,,,,,,,,,,,,,,,,,,,2.050379,0.213939,-2.013410,2.083234,0.214631,-1.980839,1.935408,0.224391,-1.896037,1.972125,0.224367,-1.865593,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.009252,0.378067,-0.000540,-0.925732,2.010346,0.219335,-1.939039,0.001704,2.049507,0.214098,-2.012312,0.643061,2.082510,0.214680,-1.980179,0.765364,1.936644,0.224184,-1.897443,0.535695,1.972724,0.224377,-1.866220,0.779999,,,,,,,,,,,,,,,,,,,,,2.050386,0.213936,-2.013425,2.083205,0.214661,-1.980810,1.935416,0.224401,-1.896067,1.972115,0.224390,-1.865584,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.009300,0.378069,-0.000437,-0.925731,2.010372,0.219329,-1.939060,0.001711,2.049533,0.214098,-2.012334,0.652656,2.082535,0.214670,-1.980201,0.763486,1.936670,0.224183,-1.897463,0.523044,1.972750,0.224365,-1.866240,0.779226,,,,,,,,,,,,,,,,,,,,,2.050384,0.213942,-2.013421,2.083232,0.214649,-1.980840,1.935418,0.224406,-1.896042,1.972142,0.224379,-1.865601,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.009251,0.378099,-0.000598,-0.925719,2.010389,0.219329,-1.939074,0.001724,2.049556,0.214093,-2.012344,0.652656,2.082556,0.214680,-1.980209,0.763486,1.936684,0.224172,-1.897483,0.523044,1.972761,0.224370,-1.866258,0.779226,,,,,,,,,,,,,,,,,,,,,2.050396,0.213932,-2.013430,2.083237,0.214661,-1.980840,1.935399,0.224416,-1.896003,1.972156,0.224381,-1.865618,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.009264,0.378086,-0.000461,-0.925724,2.010348,0.219345,-1.939032,0.001714,2.049511,0.214109,-2.012304,0.654605,2.082513,0.214684,-1.980170,0.767829,1.936645,0.224202,-1.897439,0.506357,1.972723,0.224387,-1.866214,0.779850,,,,,,,,,,,,,,,,,,,,,2.050392,0.213957,-2.013411,2.083202,0.214660,-1.980810,1.935418,0.224409,-1.896028,1.972103,0.224406,-1.865578,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.009332,0.378083,-0.000416,-0.925724,2.010362,0.219343,-1.939044,0.001694,2.049525,0.214117,-2.012318,0.651464,2.082526,0.214686,-1.980183,0.766981,1.936659,0.224195,-1.897450,0.530812,1.972738,0.224374,-1.866226,0.782108,,,,,,,,,,,,,,,,,,,,,2.050386,0.213964,-2.013403,2.083210,0.214665,-1.980816,1.935432,0.224409,-1.896045,1.972131,0.224389,-1.865600,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.009210,0.378055,-0.000455,-0.925737,2.010357,0.219322,-1.939056,0.001739,2.049515,0.214077,-2.012330,0.633120,2.082519,0.214653,-1.980198,0.764538,1.936657,0.224186,-1.897458,0.524846,1.972738,0.224372,-1.866236,0.775255,,,,,,,,,,,,,,,,,,,,,2.050417,0.213913,-2.013476,2.083214,0.214631,-1.980833,1.935404,0.224405,-1.896045,1.972117,0.224389,-1.865586,,,,,,,,,,,,,,,,,,,,,,,,,,,
