Format Version,1.23,Take Name,FW_60,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.17.13.372 PM,Total Frames in Take,932,Total Exported Frames,932,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.009965,0.363002,-0.001902,-0.931733,1.995948,0.219023,-1.911081,0.001498,2.032731,0.213925,-1.985586,0.626717,2.066756,0.214614,-1.954539,0.829322,1.923616,0.223622,-1.867118,0.585997,1.960688,0.223932,-1.837080,0.833776,,,,,,,,,,,,,,,,,,,,,2.033595,0.213593,-1.986758,2.067264,0.214693,-1.954988,1.922605,0.223991,-1.865860,1.960221,0.223849,-1.836615,,,,,,,,,,,,,,,,,,
7,0.058333,-0.009840,0.363000,-0.001956,-0.931735,1.995936,0.219050,-1.911068,0.001503,2.032720,0.213932,-1.985572,0.622694,2.066744,0.214630,-1.954525,0.825732,1.923605,0.223661,-1.867106,0.596100,1.960677,0.223979,-1.837069,0.829668,,,,,,,,,,,,,,,,,,,,,2.033601,0.213608,-1.986753,2.067262,0.214704,-1.954986,1.922621,0.224005,-1.865872,1.960192,0.223904,-1.836596,,,,,,,,,,,,,,,,,,
8,0.066667,-0.009902,0.363012,-0.001944,-0.931730,1.995945,0.219046,-1.911068,0.001505,2.032731,0.213938,-1.985572,0.622694,2.066754,0.214632,-1.954524,0.825732,1.923613,0.223649,-1.867107,0.596100,1.960684,0.223964,-1.837069,0.829668,,,,,,,,,,,,,,,,,,,,,2.033577,0.213622,-1.986728,2.067262,0.214704,-1.954974,1.922568,0.224022,-1.865813,1.960223,0.223886,-1.836600,,,,,,,,,,,,,,,,,,
9,0.075000,-0.009889,0.362972,-0.001933,-0.931746,1.995924,0.219060,-1.911042,0.001516,2.032703,0.213950,-1.985549,0.633066,2.066729,0.214644,-1.954504,0.829315,1.923595,0.223666,-1.867075,0.573774,1.960669,0.223981,-1.837040,0.834386,,,,,,,,,,,,,,,,,,,,,2.033627,0.213607,-1.986774,2.067249,0.214721,-1.954966,1.922629,0.224003,-1.865870,1.960177,0.223909,-1.836563,,,,,,,,,,,,,,,,,,
10,0.083333,-0.009853,0.362987,-0.001962,-0.931740,1.995915,0.219072,-1.911022,0.001511,2.032696,0.213956,-1.985527,0.622069,2.066721,0.214653,-1.954481,0.823124,1.923584,0.223679,-1.867058,0.597765,1.960657,0.223998,-1.837022,0.826627,,,,,,,,,,,,,,,,,,,,,2.033582,0.213638,-1.986710,2.067245,0.214723,-1.954952,1.922607,0.224014,-1.865824,1.960161,0.223928,-1.836542,,,,,,,,,,,,,,,,,,
11,0.091667,-0.009911,0.362954,-0.001936,-0.931752,1.995905,0.219087,-1.911007,0.001507,2.032681,0.213980,-1.985515,0.607202,2.066709,0.214673,-1.954472,0.825932,1.923578,0.223689,-1.867037,0.609334,1.960653,0.224004,-1.837004,0.828918,,,,,,,,,,,,,,,,,,,,,2.033596,0.213632,-1.986744,2.067231,0.214754,-1.954925,1.922613,0.224026,-1.865855,1.960169,0.223929,-1.836525,,,,,,,,,,,,,,,,,,
12,0.100000,-0.009777,0.362943,-0.001997,-0.931758,1.995883,0.219095,-1.910986,0.001511,2.032658,0.213967,-1.985493,0.607202,2.066686,0.214670,-1.954451,0.825932,1.923557,0.223710,-1.867016,0.609334,1.960633,0.224033,-1.836983,0.828918,,,,,,,,,,,,,,,,,,,,,2.033531,0.213644,-1.986688,2.067219,0.214743,-1.954913,1.922577,0.224047,-1.865796,1.960144,0.223961,-1.836500,,,,,,,,,,,,,,,,,,
13,0.108333,-0.009869,0.362969,-0.001993,-0.931747,1.995903,0.219071,-1.911006,0.001516,2.032682,0.213959,-1.985513,0.621379,2.066709,0.214658,-1.954468,0.822856,1.923574,0.223674,-1.867040,0.599936,1.960648,0.223995,-1.837005,0.827221,,,,,,,,,,,,,,,,,,,,,2.033581,0.213622,-1.986710,2.067233,0.214735,-1.954939,1.922587,0.224023,-1.865814,1.960156,0.223920,-1.836519,,,,,,,,,,,,,,,,,,
14,0.116667,-0.009853,0.362974,-0.001922,-0.931745,1.995894,0.219060,-1.910995,0.001526,2.032673,0.213943,-1.985501,0.605847,2.066699,0.214638,-1.954456,0.823843,1.923566,0.223672,-1.867029,0.600990,1.960639,0.223986,-1.836993,0.826797,,,,,,,,,,,,,,,,,,,,,2.033597,0.213608,-1.986734,2.067225,0.214709,-1.954920,1.922581,0.224003,-1.865817,1.960149,0.223919,-1.836509,,,,,,,,,,,,,,,,,,
15,0.125000,-0.009854,0.362986,-0.002023,-0.931740,1.995902,0.219064,-1.911012,0.001507,2.032684,0.213949,-1.985516,0.611924,2.066710,0.214651,-1.954471,0.827076,1.923571,0.223665,-1.867048,0.603130,1.960644,0.223989,-1.837012,0.829977,,,,,,,,,,,,,,,,,,,,,2.033593,0.213613,-1.986729,2.067225,0.214728,-1.954926,1.922601,0.224002,-1.865837,1.960160,0.223916,-1.836540,,,,,,,,,,,,,,,,,,
