Format Version,1.23,Take Name,BW_50,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.39.48.294 PM,Total Frames in Take,1026,Total Exported Frames,1026,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.005687,0.934730,0.001310,0.355311,1.992391,0.217638,-1.897168,0.001457,1.956984,0.210573,-1.822158,0.714825,1.922437,0.210981,-1.852626,0.753748,2.063855,0.224527,-1.942236,0.792220,2.026286,0.224471,-1.971651,0.653301,1.956140,0.210496,-1.821395,1.921883,0.210877,-1.851819,2.064432,0.224582,-1.942832,2.027161,0.224614,-1.972718,2.268578,0.043513,0.426702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.005711,0.934735,0.001247,0.355296,1.992373,0.217625,-1.897159,0.001478,1.956969,0.210570,-1.822146,0.711295,1.922420,0.210974,-1.852614,0.751302,2.063836,0.224507,-1.942230,0.789469,2.026266,0.224448,-1.971644,0.645964,1.956122,0.210477,-1.821367,1.921850,0.210883,-1.851804,2.064422,0.224575,-1.942831,2.027158,0.224575,-1.972736,2.268574,0.043485,0.426720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.005848,0.934725,0.001262,0.355321,1.992375,0.217609,-1.897173,0.001461,1.956969,0.210550,-1.822163,0.711295,1.922422,0.210943,-1.852632,0.751302,2.063839,0.224508,-1.942241,0.789469,2.026271,0.224436,-1.971657,0.645964,1.956143,0.210455,-1.821406,1.921861,0.210858,-1.851824,2.064418,0.224578,-1.942820,2.027144,0.224557,-1.972754,2.268587,0.043539,0.426721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.006009,0.934718,0.001041,0.355339,1.992410,0.217582,-1.897208,0.001504,1.957002,0.210558,-1.822195,0.718932,1.922456,0.210929,-1.852666,0.753270,2.063874,0.224467,-1.942277,0.794538,2.026308,0.224375,-1.971694,0.648336,1.956146,0.210457,-1.821423,1.921887,0.210847,-1.851846,2.064454,0.224541,-1.942863,2.027247,0.224497,-1.972846,2.268590,0.043493,0.426701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.005514,0.934725,0.001312,0.355327,1.992414,0.217599,-1.897211,0.001495,1.957003,0.210536,-1.822203,0.710782,1.922457,0.210959,-1.852673,0.749559,2.063882,0.224470,-1.942276,0.793056,2.026314,0.224431,-1.971693,0.627228,1.956172,0.210446,-1.821450,1.921857,0.210863,-1.851812,2.064498,0.224541,-1.942899,2.027176,0.224555,-1.972768,2.268591,0.043485,0.426703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.005685,0.934736,0.001285,0.355296,1.992400,0.217595,-1.897214,0.001482,1.956996,0.210535,-1.822202,0.718707,1.922448,0.210942,-1.852670,0.736681,2.063864,0.224480,-1.942284,0.780204,2.026294,0.224425,-1.971698,0.654110,1.956167,0.210443,-1.821440,1.921863,0.210850,-1.851839,2.064456,0.224550,-1.942887,2.027180,0.224551,-1.972794,2.268590,0.043491,0.426702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.005651,0.934737,0.001312,0.355293,1.992407,0.217595,-1.897213,0.001479,1.957003,0.210531,-1.822202,0.713223,1.922454,0.210941,-1.852669,0.749422,2.063870,0.224481,-1.942284,0.787160,2.026300,0.224429,-1.971698,0.650374,1.956163,0.210435,-1.821427,1.921880,0.210854,-1.851853,2.064467,0.224552,-1.942886,2.027172,0.224550,-1.972784,2.268575,0.043512,0.426702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.005394,0.934744,0.001380,0.355277,1.992411,0.217617,-1.897203,0.001496,1.957007,0.210545,-1.822193,0.716624,1.922457,0.210980,-1.852659,0.738462,2.063875,0.224485,-1.942274,0.781851,2.026304,0.224459,-1.971687,0.647904,1.956176,0.210457,-1.821426,1.921854,0.210881,-1.851810,2.064483,0.224553,-1.942897,2.027191,0.224590,-1.972773,2.268574,0.043500,0.426699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.005683,0.934726,0.001208,0.355321,1.992398,0.217624,-1.897196,0.001504,1.956989,0.210576,-1.822185,0.712420,1.922442,0.210980,-1.852655,0.742410,2.063864,0.224498,-1.942264,0.786403,2.026295,0.224440,-1.971680,0.634751,1.956147,0.210484,-1.821407,1.921845,0.210886,-1.851821,2.064455,0.224566,-1.942876,2.027224,0.224573,-1.972800,2.268586,0.043495,0.426711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.005461,0.934749,0.001436,0.355264,1.992409,0.217628,-1.897207,0.001468,1.957008,0.210545,-1.822196,0.714854,1.922457,0.210976,-1.852661,0.750759,2.063871,0.224510,-1.942280,0.787199,2.026299,0.224479,-1.971691,0.655282,1.956177,0.210465,-1.821419,1.921882,0.210873,-1.851853,2.064468,0.224569,-1.942883,2.027157,0.224618,-1.972762,2.268587,0.043514,0.426721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
