Format Version,1.23,Take Name,BW_70,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.48.492 PM,Total Frames in Take,773,Total Exported Frames,773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,1.936626,0.210230,-1.814107,1.901910,0.210565,-1.843961,2.042503,0.224481,-1.937625,2.004447,0.224460,-1.966671,2.268559,0.043502,0.426667,,,,,,,,,,,,,,,
7,0.058333,-0.005610,0.938265,0.002119,0.345867,1.971334,0.217455,-1.890566,0.001336,1.937451,0.210267,-1.814867,0.716006,1.902295,0.210704,-1.844632,0.792286,2.041872,0.224440,-1.937057,0.779791,2.003717,0.224411,-1.965708,0.739748,1.936608,0.210231,-1.814106,1.901877,0.210579,-1.843925,2.042513,0.224464,-1.937660,2.004293,0.224556,-1.966563,2.268542,0.043514,0.426682,,,,,,,,,,,,,,,
8,0.066667,-0.005833,0.938240,0.002086,0.345929,1.971331,0.217466,-1.890552,0.001337,1.937441,0.210280,-1.814856,0.716006,1.902289,0.210697,-1.844625,0.792286,2.041872,0.224468,-1.937034,0.779791,2.003721,0.224418,-1.965691,0.739748,1.936583,0.210243,-1.814070,1.901885,0.210575,-1.843944,2.042505,0.224490,-1.937614,2.004298,0.224565,-1.966568,2.268548,0.043514,0.426687,,,,,,,,,,,,,,,
9,0.075000,-0.005923,0.938250,0.002002,0.345902,1.971343,0.217441,-1.890574,0.001333,1.937458,0.210268,-1.814875,0.709103,1.902305,0.210674,-1.844642,0.799776,2.041881,0.224441,-1.937062,0.785409,2.003729,0.224380,-1.965717,0.734798,1.936596,0.210224,-1.814092,1.901908,0.210560,-1.843962,2.042508,0.224469,-1.937637,2.004304,0.224520,-1.966593,2.268540,0.043510,0.426690,,,,,,,,,,,,,,,
10,0.083333,-0.005789,0.938246,0.002116,0.345913,1.971339,0.217450,-1.890570,0.001313,1.937451,0.210260,-1.814874,0.708658,1.902298,0.210681,-1.844642,0.801125,2.041879,0.224452,-1.937055,0.787285,2.003727,0.224407,-1.965710,0.735587,1.936562,0.210241,-1.814070,1.901932,0.210549,-1.843988,2.042502,0.224460,-1.937634,2.004273,0.224562,-1.966539,2.268547,0.043514,0.426672,,,,,,,,,,,,,,,
11,0.091667,-0.006386,0.938198,0.001629,0.346036,1.971358,0.217433,-1.890567,0.001353,1.937455,0.210316,-1.814871,0.700314,1.902310,0.210671,-1.844649,0.809710,2.041905,0.224428,-1.937042,0.787259,2.003762,0.224315,-1.965707,0.748970,1.936599,0.210233,-1.814103,1.901898,0.210586,-1.843935,2.042467,0.224485,-1.937594,2.004448,0.224433,-1.966672,2.268545,0.043516,0.426685,,,,,,,,,,,,,,,
12,0.100000,-0.005700,0.938263,0.002172,0.345869,1.971339,0.217461,-1.890562,0.001312,1.937457,0.210263,-1.814864,0.714272,1.902302,0.210694,-1.844629,0.802357,2.041876,0.224462,-1.937052,0.788802,2.003721,0.224427,-1.965704,0.742341,1.936608,0.210229,-1.814100,1.901913,0.210572,-1.843951,2.042495,0.224482,-1.937627,2.004284,0.224572,-1.966555,2.268534,0.043529,0.426676,,,,,,,,,,,,,,,
13,0.108333,-0.006215,0.938233,0.002036,0.345943,1.971365,0.217467,-1.890585,0.001309,1.937477,0.210285,-1.814888,0.707068,1.902327,0.210667,-1.844658,0.808251,2.041903,0.224500,-1.937068,0.793323,2.003754,0.224414,-1.965725,0.741636,1.936613,0.210241,-1.814098,1.901951,0.210553,-1.843999,2.042511,0.224526,-1.937628,2.004315,0.224553,-1.966582,2.268538,0.043537,0.426700,,,,,,,,,,,,,,,
14,0.116667,-0.006693,0.938185,0.001581,0.346066,1.971405,0.217442,-1.890594,0.001383,1.937501,0.210330,-1.814897,0.699791,1.902358,0.210656,-1.844678,0.792803,2.041951,0.224462,-1.937066,0.799066,2.003810,0.224320,-1.965734,0.697418,1.936615,0.210243,-1.814091,1.901938,0.210572,-1.843969,2.042529,0.224519,-1.937622,2.004503,0.224439,-1.966719,2.268546,0.043526,0.426678,,,,,,,,,,,,,,,
15,0.125000,-0.006881,0.938186,0.001531,0.346059,1.971399,0.217449,-1.890594,0.001379,1.937498,0.210344,-1.814896,0.691584,1.902354,0.210652,-1.844676,0.799861,2.041943,0.224481,-1.937069,0.799383,2.003801,0.224320,-1.965736,0.699428,1.936598,0.210265,-1.814056,1.901943,0.210560,-1.843995,2.042520,0.224529,-1.937624,2.004487,0.224450,-1.966714,2.268538,0.043530,0.426681,,,,,,,,,,,,,,,
