Format Version,1.23,Take Name,BW_45,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.38.53.645 PM,Total Frames in Take,1446,Total Exported Frames,1446,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.005059,0.926983,0.003103,0.375055,1.951478,0.216626,-1.862756,0.001382,1.912926,0.209256,-1.789343,0.765813,1.879700,0.209785,-1.821247,0.748681,2.024786,0.223700,-1.904726,0.819846,1.988498,0.223762,-1.935707,0.651948,1.912173,0.209158,-1.788794,1.879158,0.209718,-1.820403,2.025320,0.223782,-1.905204,1.989384,0.223858,-1.936777,2.268608,0.043501,0.426706,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.005178,0.926979,0.003026,0.375066,1.951493,0.216614,-1.862774,0.001409,1.912941,0.209255,-1.789360,0.765678,1.879716,0.209771,-1.821265,0.743173,2.024802,0.223691,-1.904745,0.819721,1.988515,0.223739,-1.935727,0.637041,1.912187,0.209155,-1.788813,1.879160,0.209704,-1.820404,2.025335,0.223773,-1.905223,1.989443,0.223837,-1.936839,2.268611,0.043517,0.426708,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.004928,0.926990,0.003061,0.375041,1.951482,0.216618,-1.862772,0.001413,1.912930,0.209258,-1.789358,0.765678,1.879704,0.209796,-1.821261,0.743173,2.024792,0.223674,-1.904745,0.819721,1.988503,0.223746,-1.935725,0.637041,1.912154,0.209160,-1.788782,1.879141,0.209723,-1.820408,2.025346,0.223754,-1.905244,1.989401,0.223849,-1.936799,2.268597,0.043536,0.426722,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.004975,0.926988,0.003054,0.375047,1.951492,0.216616,-1.862782,0.001403,1.912940,0.209255,-1.789368,0.757008,1.879714,0.209790,-1.821271,0.743838,2.024801,0.223675,-1.904754,0.812531,1.988513,0.223743,-1.935734,0.648856,1.912176,0.209164,-1.788808,1.879146,0.209710,-1.820403,2.025358,0.223751,-1.905254,1.989389,0.223850,-1.936786,2.268596,0.043502,0.426705,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.005213,0.926987,0.002956,0.375046,1.951475,0.216637,-1.862749,0.001407,1.912926,0.209289,-1.789333,0.762116,1.879700,0.209799,-1.821236,0.739701,2.024782,0.223708,-1.904724,0.811942,1.988493,0.223751,-1.935704,0.656642,1.912135,0.209205,-1.788740,1.879160,0.209710,-1.820415,2.025337,0.223772,-1.905215,1.989383,0.223878,-1.936781,2.268607,0.043519,0.426708,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.005015,0.926979,0.003127,0.375067,1.951476,0.216647,-1.862749,0.001383,1.912921,0.209274,-1.789338,0.751918,1.879697,0.209807,-1.821242,0.753369,2.024786,0.223720,-1.904717,0.814022,1.988499,0.223787,-1.935699,0.649424,1.912164,0.209184,-1.788775,1.879144,0.209727,-1.820400,2.025340,0.223793,-1.905207,1.989352,0.223895,-1.936739,2.268601,0.043516,0.426717,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.004747,0.926994,0.003196,0.375032,1.951492,0.216633,-1.862771,0.001406,1.912940,0.209253,-1.789359,0.765455,1.879714,0.209812,-1.821261,0.733105,2.024802,0.223687,-1.904743,0.810654,1.988513,0.223780,-1.935722,0.659015,1.912184,0.209159,-1.788812,1.879132,0.209734,-1.820369,2.025361,0.223768,-1.905248,1.989384,0.223880,-1.936766,2.268610,0.043526,0.426718,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.004735,0.926993,0.003215,0.375035,1.951487,0.216648,-1.862767,0.001397,1.912935,0.209265,-1.789356,0.764012,1.879708,0.209826,-1.821257,0.739161,2.024798,0.223703,-1.904738,0.811662,1.988508,0.223798,-1.935717,0.659154,1.912181,0.209169,-1.788796,1.879132,0.209752,-1.820391,2.025354,0.223785,-1.905239,1.989378,0.223897,-1.936762,2.268610,0.043514,0.426713,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.005105,0.926978,0.003147,0.375069,1.951485,0.216652,-1.862751,0.001367,1.912931,0.209274,-1.789339,0.764474,1.879707,0.209801,-1.821244,0.753060,2.024794,0.223737,-1.904719,0.819870,1.988507,0.223796,-1.935701,0.658983,1.912174,0.209184,-1.788787,1.879176,0.209723,-1.820414,2.025324,0.223809,-1.905201,1.989379,0.223904,-1.936744,2.268610,0.043478,0.426726,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.005215,0.926989,0.003051,0.375040,1.951495,0.216646,-1.862754,0.001401,1.912947,0.209282,-1.789339,0.757390,1.879720,0.209796,-1.821241,0.748654,2.024801,0.223730,-1.904729,0.813899,1.988512,0.223777,-1.935709,0.654089,1.912171,0.209195,-1.788763,1.879173,0.209711,-1.820402,2.025357,0.223800,-1.905218,1.989386,0.223894,-1.936775,2.268598,0.043482,0.426719,,,,,,,,,,,,,,,,,,,,,,,,
