Format Version,1.23,Take Name,FW_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.16.35.780 PM,Total Frames in Take,953,Total Exported Frames,953,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.007810,0.402956,-0.002241,-0.915183,2.015384,0.219315,-1.929904,0.002016,2.058457,0.213875,-2.000933,0.529562,2.089673,0.214632,-1.967065,0.679872,1.939533,0.224192,-1.892373,0.616969,1.973871,0.224561,-1.859246,0.685224,,,,,,,,,,,,,,,,,,,,,2.059702,0.213629,-2.002323,2.090704,0.214622,-1.967825,1.938450,0.224377,-1.891305,1.972905,0.224583,-1.858439,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.007784,0.402986,-0.002200,-0.915170,2.015373,0.219326,-1.929894,0.002030,2.058451,0.213880,-2.000920,0.537573,2.089665,0.214635,-1.967050,0.671772,1.939520,0.224210,-1.892368,0.613435,1.973857,0.224577,-1.859239,0.680174,,,,,,,,,,,,,,,,,,,,,2.059664,0.213651,-2.002297,2.090725,0.214619,-1.967824,1.938424,0.224389,-1.891292,1.972881,0.224603,-1.858412,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.007899,0.403002,-0.002009,-0.915163,2.015391,0.219318,-1.929913,0.002008,2.058470,0.213887,-2.000940,0.537573,2.089683,0.214622,-1.967069,0.671772,1.939538,0.224208,-1.892388,0.613435,1.973874,0.224554,-1.859257,0.680174,,,,,,,,,,,,,,,,,,,,,2.059652,0.213663,-2.002274,2.090721,0.214606,-1.967844,1.938400,0.224397,-1.891275,1.972931,0.224577,-1.858439,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.007912,0.402975,-0.002055,-0.915174,2.015383,0.219310,-1.929908,0.002015,2.058458,0.213882,-2.000937,0.550892,2.089672,0.214620,-1.967067,0.676085,1.939531,0.224194,-1.892378,0.599271,1.973869,0.224543,-1.859250,0.687798,,,,,,,,,,,,,,,,,,,,,2.059661,0.213645,-2.002293,2.090710,0.214610,-1.967840,1.938400,0.224387,-1.891273,1.972923,0.224563,-1.858435,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.007873,0.403008,-0.002084,-0.915160,2.015406,0.219294,-1.929937,0.002006,2.058486,0.213861,-2.000962,0.547861,2.089698,0.214603,-1.967091,0.679219,1.939552,0.224180,-1.892413,0.599144,1.973887,0.224533,-1.859282,0.688703,,,,,,,,,,,,,,,,,,,,,2.059681,0.213622,-2.002299,2.090723,0.214595,-1.967863,1.938421,0.224379,-1.891294,1.972940,0.224550,-1.858474,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.007818,0.402985,-0.002186,-0.915170,2.015379,0.219294,-1.929911,0.002015,2.058457,0.213854,-2.000938,0.547268,2.089671,0.214607,-1.967068,0.672936,1.939527,0.224176,-1.892385,0.609883,1.973863,0.224540,-1.859256,0.679121,,,,,,,,,,,,,,,,,,,,,2.059657,0.213631,-2.002275,2.090719,0.214591,-1.967851,1.938420,0.224358,-1.891300,1.972887,0.224565,-1.858423,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.007821,0.403014,-0.002118,-0.915158,2.015401,0.219273,-1.929932,0.002015,2.058483,0.213832,-2.000957,0.547268,2.089694,0.214579,-1.967084,0.672936,1.939546,0.224162,-1.892410,0.609883,1.973881,0.224520,-1.859279,0.679121,,,,,,,,,,,,,,,,,,,,,2.059688,0.213593,-2.002297,2.090732,0.214571,-1.967863,1.938443,0.224356,-1.891309,1.972904,0.224538,-1.858459,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.007903,0.403047,-0.001989,-0.915143,2.015400,0.219286,-1.929940,0.001996,2.058486,0.213856,-2.000962,0.545380,2.089695,0.214588,-1.967088,0.675589,1.939544,0.224179,-1.892421,0.607328,1.973876,0.224522,-1.859288,0.681078,,,,,,,,,,,,,,,,,,,,,2.059656,0.213630,-2.002271,2.090731,0.214578,-1.967866,1.938430,0.224369,-1.891322,1.972914,0.224541,-1.858464,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.007919,0.403033,-0.001976,-0.915149,2.015392,0.219301,-1.929935,0.001991,2.058475,0.213873,-2.000959,0.561940,2.089686,0.214604,-1.967085,0.676971,1.939537,0.224192,-1.892414,0.603278,1.973870,0.224534,-1.859281,0.685179,,,,,,,,,,,,,,,,,,,,,2.059630,0.213655,-2.002258,2.090719,0.214590,-1.967862,1.938420,0.224380,-1.891302,1.972912,0.224556,-1.858463,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.007797,0.402817,-0.001687,-0.915246,2.015370,0.219292,-1.929930,0.002028,2.058416,0.213838,-2.000975,0.554549,2.089643,0.214549,-1.967117,0.664504,1.939535,0.224231,-1.892373,0.602779,1.973885,0.224551,-1.859257,0.663912,,,,,,,,,,,,,,,,,,,,,2.059640,0.213646,-2.002255,2.090692,0.214514,-1.967953,1.938404,0.224395,-1.891270,1.972864,0.224591,-1.858383,,,,,,,,,,,,,,,,,,,,,,,,
