Format Version,1.23,Take Name,FW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.17.53.023 PM,Total Frames in Take,862,Total Exported Frames,862,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.010233,0.378045,-0.002682,-0.925727,1.994436,0.218904,-1.910458,0.001585,2.033622,0.213866,-1.983733,0.556723,2.066621,0.214598,-1.951600,0.817793,1.920712,0.223399,-1.868862,0.608231,1.956791,0.223755,-1.837639,0.819732,,,,,,,,,,,,,,,,,,,,,2.034790,0.213577,-1.985035,2.067161,0.214629,-1.952089,1.919669,0.223639,-1.867717,1.956262,0.223733,-1.837149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.010337,0.378083,-0.002669,-0.925710,1.994450,0.218891,-1.910482,0.001561,2.033642,0.213870,-1.983755,0.567130,2.066639,0.214597,-1.951619,0.826823,1.920722,0.223373,-1.868891,0.599605,1.956798,0.223725,-1.837665,0.828233,,,,,,,,,,,,,,,,,,,,,2.034774,0.213575,-1.985031,2.067151,0.214636,-1.952083,1.919671,0.223633,-1.867711,1.956291,0.223694,-1.837202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.010276,0.378084,-0.002663,-0.925711,1.994450,0.218894,-1.910481,0.001594,2.033641,0.213862,-1.983752,0.567130,2.066638,0.214591,-1.951616,0.826823,1.920722,0.223384,-1.868890,0.599605,1.956798,0.223738,-1.837664,0.828233,,,,,,,,,,,,,,,,,,,,,2.034779,0.213571,-1.985040,2.067180,0.214624,-1.952108,1.919657,0.223641,-1.867709,1.956268,0.223711,-1.837170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.010260,0.378115,-0.002722,-0.925698,1.994441,0.218898,-1.910468,0.001562,2.033638,0.213865,-1.983737,0.564323,2.066633,0.214599,-1.951598,0.816778,1.920710,0.223384,-1.868882,0.597236,1.956784,0.223743,-1.837654,0.818642,,,,,,,,,,,,,,,,,,,,,2.034759,0.213577,-1.985009,2.067160,0.214636,-1.952072,1.919667,0.223636,-1.867726,1.956268,0.223715,-1.837175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.010362,0.378091,-0.002532,-0.925707,1.994423,0.218890,-1.910429,0.001534,2.033615,0.213871,-1.983701,0.555354,2.066611,0.214585,-1.951565,0.836238,1.920696,0.223383,-1.868838,0.614000,1.956771,0.223722,-1.837611,0.838821,,,,,,,,,,,,,,,,,,,,,2.034767,0.213558,-1.985019,2.067108,0.214631,-1.951990,1.919665,0.223636,-1.867716,1.956298,0.223688,-1.837174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.010318,0.378047,-0.002647,-0.925725,1.994414,0.218904,-1.910452,0.001570,2.033600,0.213879,-1.983728,0.548576,2.066599,0.214604,-1.951594,0.825407,1.920689,0.223390,-1.868855,0.608428,1.956768,0.223741,-1.837632,0.828268,,,,,,,,,,,,,,,,,,,,,2.034793,0.213558,-1.985044,2.067116,0.214647,-1.952062,1.919646,0.223649,-1.867716,1.956262,0.223710,-1.837169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.010285,0.378132,-0.002586,-0.925691,1.994418,0.218903,-1.910444,0.001583,2.033616,0.213872,-1.983712,0.548576,2.066609,0.214593,-1.951573,0.825407,1.920686,0.223401,-1.868860,0.608428,1.956759,0.223747,-1.837631,0.828268,,,,,,,,,,,,,,,,,,,,,2.034777,0.213571,-1.985023,2.067142,0.214629,-1.952047,1.919637,0.223652,-1.867706,1.956242,0.223720,-1.837153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.010266,0.378105,-0.002500,-0.925703,1.994455,0.218875,-1.910498,0.001582,2.033648,0.213840,-1.983768,0.555669,2.066643,0.214554,-1.951631,0.821366,1.920727,0.223384,-1.868909,0.605048,1.956801,0.223723,-1.837682,0.823843,,,,,,,,,,,,,,,,,,,,,2.034745,0.213568,-1.985016,2.067188,0.214584,-1.952128,1.919642,0.223638,-1.867723,1.956274,0.223698,-1.837174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.010269,0.378068,-0.002672,-0.925717,1.994387,0.218882,-1.910411,0.001525,2.033576,0.213849,-1.983684,0.544867,2.066574,0.214578,-1.951549,0.837146,1.920661,0.223372,-1.868818,0.631902,1.956738,0.223726,-1.837593,0.839230,,,,,,,,,,,,,,,,,,,,,2.034761,0.213539,-1.985031,2.067071,0.214621,-1.951968,1.919677,0.223602,-1.867747,1.956261,0.223699,-1.837163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.010299,0.378059,-0.002712,-0.925720,1.994398,0.218874,-1.910426,0.001534,2.033586,0.213848,-1.983700,0.531455,2.066584,0.214579,-1.951566,0.836871,1.920672,0.223357,-1.868832,0.637486,1.956749,0.223714,-1.837608,0.840020,,,,,,,,,,,,,,,,,,,,,2.034810,0.213514,-1.985080,2.067083,0.214626,-1.951984,1.919703,0.223588,-1.867778,1.956270,0.223685,-1.837185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
