Format Version,1.23,Take Name,BW_65,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.42.04.445 PM,Total Frames in Take,751,Total Exported Frames,751,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,1.944431,0.210436,-1.827032,1.911771,0.210863,-1.859195,2.058894,0.224701,-1.942572,2.023080,0.224769,-1.974346,2.268540,0.043513,0.426670,,,,,,,,,,,,,,,,,,
7,0.058333,-0.005168,0.925118,0.002052,0.379640,1.984550,0.217682,-1.900772,0.001386,1.945267,0.210480,-1.827731,0.740810,1.912360,0.210966,-1.859963,0.757033,2.058275,0.224631,-1.942028,0.789603,2.022296,0.224653,-1.973367,0.696829,1.944470,0.210412,-1.827072,1.911774,0.210859,-1.859195,2.058919,0.224685,-1.942567,2.023055,0.224782,-1.974304,2.268540,0.043524,0.426671,,,,,,,,,,,,,,,,,,
8,0.066667,-0.005202,0.925138,0.002029,0.379590,1.984536,0.217675,-1.900773,0.001386,1.945262,0.210476,-1.827727,0.740810,1.912351,0.210958,-1.859956,0.757033,2.058256,0.224624,-1.942037,0.789603,2.022274,0.224643,-1.973373,0.696829,1.944471,0.210400,-1.827087,1.911763,0.210860,-1.859171,2.058881,0.224686,-1.942564,2.023055,0.224763,-1.974328,2.268538,0.043530,0.426683,,,,,,,,,,,,,,,,,,
9,0.075000,-0.005292,0.925130,0.001993,0.379609,1.984532,0.217669,-1.900774,0.001381,1.945256,0.210474,-1.827728,0.745025,1.912346,0.210947,-1.859958,0.753657,2.058254,0.224622,-1.942036,0.795127,2.022272,0.224631,-1.973373,0.690028,1.944442,0.210411,-1.827069,1.911783,0.210836,-1.859199,2.058887,0.224670,-1.942566,2.023034,0.224768,-1.974310,2.268533,0.043507,0.426678,,,,,,,,,,,,,,,,,,
10,0.083333,-0.005357,0.925124,0.001926,0.379622,1.984535,0.217675,-1.900763,0.001410,1.945258,0.210490,-1.827717,0.737652,1.912349,0.210955,-1.859949,0.761938,2.058258,0.224627,-1.942024,0.793119,2.022277,0.224628,-1.973362,0.695948,1.944427,0.210424,-1.827034,1.911777,0.210846,-1.859190,2.058899,0.224676,-1.942555,2.023064,0.224767,-1.974337,2.268548,0.043513,0.426682,,,,,,,,,,,,,,,,,,
11,0.091667,-0.005310,0.925140,0.002000,0.379583,1.984511,0.217682,-1.900742,0.001364,1.945239,0.210486,-1.827695,0.730433,1.912328,0.210958,-1.859923,0.760824,2.058230,0.224639,-1.942008,0.791521,2.022247,0.224647,-1.973343,0.685004,1.944421,0.210419,-1.827030,1.911786,0.210854,-1.859188,2.058842,0.224688,-1.942524,2.023015,0.224779,-1.974283,2.268542,0.043510,0.426681,,,,,,,,,,,,,,,,,,
12,0.100000,-0.005402,0.925124,0.001946,0.379621,1.984511,0.217689,-1.900737,0.001388,1.945234,0.210500,-1.827691,0.725151,1.912325,0.210962,-1.859922,0.771806,2.058232,0.224648,-1.941998,0.792168,2.022251,0.224645,-1.973336,0.694771,1.944388,0.210441,-1.826991,1.911781,0.210848,-1.859198,2.058872,0.224689,-1.942526,2.023010,0.224790,-1.974281,2.268531,0.043544,0.426674,,,,,,,,,,,,,,,,,,
13,0.108333,-0.003923,0.925239,0.003095,0.379351,1.984445,0.217753,-1.900686,0.001251,1.945198,0.210401,-1.827640,0.755645,1.912271,0.211028,-1.859850,0.787484,2.058154,0.224709,-1.941969,0.771844,2.022155,0.224875,-1.973285,0.773791,1.944435,0.210416,-1.827030,1.911776,0.210861,-1.859180,2.058866,0.224695,-1.942541,2.022692,0.225046,-1.973993,2.268536,0.043521,0.426688,,,,,,,,,,,,,,,,,,
14,0.116667,-0.004929,0.925169,0.002183,0.379518,1.984520,0.217699,-1.900744,0.001371,1.945255,0.210480,-1.827695,0.743163,1.912339,0.210990,-1.859918,0.757989,2.058237,0.224640,-1.942016,0.790801,2.022249,0.224688,-1.973346,0.702179,1.944458,0.210415,-1.827050,1.911764,0.210881,-1.859147,2.058872,0.224692,-1.942558,2.023002,0.224818,-1.974260,2.268540,0.043507,0.426676,,,,,,,,,,,,,,,,,,
15,0.125000,-0.005041,0.925144,0.002204,0.379576,1.984522,0.217693,-1.900743,0.001350,1.945249,0.210467,-1.827698,0.746995,1.912338,0.210969,-1.859926,0.762262,2.058243,0.224648,-1.942006,0.794645,2.022259,0.224686,-1.973341,0.706279,1.944467,0.210400,-1.827060,1.911770,0.210865,-1.859170,2.058868,0.224701,-1.942536,2.022998,0.224811,-1.974245,2.268539,0.043518,0.426680,,,,,,,,,,,,,,,,,,
