Format Version,1.23,Take Name,BW_55,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-04 04.40.27.257 PM,Total Frames in Take,748,Total Exported Frames,748,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.004825,0.935560,0.001979,0.353130,1.992025,0.217664,-1.897728,0.001629,1.956962,0.210502,-1.822566,0.665509,1.922272,0.211005,-1.852872,0.728842,2.063286,0.224555,-1.943117,0.714103,2.025580,0.224596,-1.972356,0.694476,1.955967,0.210472,-1.821672,1.921669,0.210839,-1.851986,2.064111,0.224581,-1.943908,2.026305,0.224774,-1.973324,2.268572,0.043505,0.426685,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.004882,0.935523,0.001946,0.353227,1.992023,0.217665,-1.897732,0.001613,1.956945,0.210507,-1.822577,0.670314,1.922262,0.211004,-1.852890,0.729883,2.063293,0.224556,-1.943107,0.722855,2.025593,0.224592,-1.972354,0.689090,1.955966,0.210477,-1.821694,1.921659,0.210838,-1.852009,2.064090,0.224581,-1.943876,2.026334,0.224773,-1.973336,2.268565,0.043498,0.426704,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.004704,0.935552,0.002096,0.353150,1.992012,0.217683,-1.897715,0.001600,1.956944,0.210503,-1.822557,0.670314,1.922256,0.211020,-1.852864,0.729883,2.063275,0.224577,-1.943099,0.722855,2.025571,0.224633,-1.972340,0.689090,1.955967,0.210491,-1.821667,1.921665,0.210843,-1.852006,2.064103,0.224587,-1.943885,2.026265,0.224820,-1.973280,2.268559,0.043511,0.426690,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.004733,0.935549,0.001989,0.353158,1.992041,0.217673,-1.897739,0.001622,1.956972,0.210510,-1.822580,0.669535,1.922284,0.211021,-1.852888,0.735748,2.063305,0.224555,-1.943123,0.714603,2.025601,0.224605,-1.972365,0.704163,1.955988,0.210491,-1.821676,1.921674,0.210847,-1.852013,2.064127,0.224571,-1.943916,2.026329,0.224793,-1.973330,2.268562,0.043510,0.426702,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.005005,0.935541,0.001898,0.353178,1.992042,0.217658,-1.897756,0.001631,1.956973,0.210507,-1.822596,0.666092,1.922287,0.210991,-1.852906,0.729826,2.063306,0.224556,-1.943140,0.714632,2.025603,0.224578,-1.972383,0.694244,1.955967,0.210477,-1.821688,1.921683,0.210825,-1.852027,2.064106,0.224580,-1.943916,2.026361,0.224762,-1.973373,2.268567,0.043528,0.426694,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.004916,0.935553,0.001972,0.353147,1.992019,0.217660,-1.897737,0.001608,1.956954,0.210498,-1.822576,0.660994,1.922266,0.210992,-1.852883,0.730209,2.063280,0.224559,-1.943124,0.721228,2.025575,0.224592,-1.972365,0.685067,1.955986,0.210458,-1.821686,1.921660,0.210837,-1.852015,2.064073,0.224591,-1.943883,2.026316,0.224765,-1.973356,2.268566,0.043501,0.426689,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.004656,0.935543,0.001980,0.353176,1.992042,0.217654,-1.897758,0.001642,1.956969,0.210494,-1.822600,0.671642,1.922283,0.211011,-1.852910,0.718287,2.063309,0.224528,-1.943140,0.710191,2.025606,0.224585,-1.972382,0.691489,1.955993,0.210465,-1.821722,1.921655,0.210840,-1.851990,2.064141,0.224554,-1.943946,2.026341,0.224765,-1.973357,2.268564,0.043499,0.426678,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.004708,0.935538,0.002104,0.353188,1.992012,0.217685,-1.897719,0.001599,1.956938,0.210503,-1.822564,0.679300,1.922253,0.211020,-1.852874,0.728817,2.063279,0.224580,-1.943097,0.720143,2.025577,0.224636,-1.972341,0.697700,1.955986,0.210475,-1.821705,1.921650,0.210854,-1.851987,2.064089,0.224605,-1.943869,2.026288,0.224814,-1.973303,2.268561,0.043512,0.426690,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.004704,0.935550,0.002047,0.353157,1.992021,0.217668,-1.897750,0.001610,1.956952,0.210496,-1.822592,0.668963,1.922265,0.211012,-1.852900,0.732678,2.063285,0.224555,-1.943134,0.719126,2.025581,0.224610,-1.972376,0.695746,1.955969,0.210475,-1.821705,1.921669,0.210841,-1.852028,2.064098,0.224574,-1.943910,2.026300,0.224794,-1.973340,2.268565,0.043514,0.426705,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.004874,0.935533,0.001990,0.353200,1.992020,0.217674,-1.897741,0.001595,1.956946,0.210509,-1.822585,0.676977,1.922261,0.211008,-1.852896,0.731052,2.063287,0.224571,-1.943120,0.723714,2.025585,0.224609,-1.972365,0.693352,1.955994,0.210475,-1.821711,1.921655,0.210848,-1.852022,2.064082,0.224600,-1.943887,2.026314,0.224784,-1.973336,2.268557,0.043502,0.426709,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.004612,0.935546,0.002096,0.353169,1.992013,0.217664,-1.897741,0.001596,1.956942,0.210485,-1.822584,0.676977,1.922255,0.211010,-1.852893,0.731052,2.063280,0.224548,-1.943122,0.723714,2.025577,0.224613,-1.972364,0.693352,1.955998,0.210445,-1.821734,1.921647,0.210852,-1.851998,2.064063,0.224583,-1.943878,2.026316,0.224785,-1.973348,2.268565,0.043507,0.426703,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-0.004618,0.935553,0.002050,0.353149,1.992007,0.217670,-1.897733,0.001612,1.956939,0.210498,-1.822575,0.682209,1.922251,0.211021,-1.852882,0.726682,2.063272,0.224549,-1.943118,0.727683,2.025568,0.224611,-1.972358,0.689244,1.955973,0.210476,-1.821694,1.921638,0.210849,-1.851994,2.064089,0.224569,-1.943913,2.026291,0.224795,-1.973315,2.268570,0.043492,0.426687,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.004649,0.935558,0.002052,0.353136,1.991983,0.217682,-1.897724,0.001594,1.956917,0.210510,-1.822565,0.673171,1.922228,0.211030,-1.852871,0.726753,2.063246,0.224564,-1.943111,0.714996,2.025540,0.224624,-1.972351,0.696703,1.955958,0.210477,-1.821706,1.921634,0.210869,-1.851990,2.064042,0.224592,-1.943869,2.026259,0.224799,-1.973320,2.268566,0.043498,0.426691,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.004972,0.935538,0.001914,0.353186,1.991981,0.217660,-1.897713,0.001609,1.956910,0.210506,-1.822554,0.673799,1.922224,0.210995,-1.852864,0.728846,2.063245,0.224556,-1.943095,0.728366,2.025543,0.224583,-1.972339,0.684412,1.955938,0.210465,-1.821684,1.921622,0.210839,-1.851975,2.064025,0.224591,-1.943851,2.026299,0.224756,-1.973334,2.268564,0.043522,0.426700,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.004669,0.935555,0.002018,0.353145,1.992005,0.217635,-1.897748,0.001613,1.956938,0.210468,-1.822589,0.673228,1.922249,0.210986,-1.852895,0.726843,2.063269,0.224515,-1.943134,0.717595,2.025564,0.224572,-1.972374,0.696250,1.955959,0.210439,-1.821722,1.921649,0.210819,-1.851998,2.064080,0.224540,-1.943920,2.026289,0.224749,-1.973333,2.268565,0.043510,0.426698,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.004696,0.935557,0.002056,0.353139,1.991983,0.217672,-1.897720,0.001595,1.956917,0.210498,-1.822560,0.678220,1.922228,0.211015,-1.852866,0.728459,2.063246,0.224560,-1.943106,0.723455,2.025540,0.224615,-1.972346,0.695527,1.955957,0.210467,-1.821704,1.921629,0.210851,-1.851975,2.064036,0.224587,-1.943879,2.026270,0.224791,-1.973305,2.268560,0.043490,0.426688,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.004829,0.935535,0.001932,0.353196,1.991976,0.217674,-1.897707,0.001616,1.956901,0.210519,-1.822550,0.673924,1.922217,0.211020,-1.852860,0.726223,2.063243,0.224558,-1.943087,0.723967,2.025541,0.224598,-1.972331,0.686183,1.955934,0.210480,-1.821676,1.921605,0.210861,-1.851966,2.064036,0.224591,-1.943855,2.026291,0.224772,-1.973323,2.268559,0.043504,0.426710,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.004754,0.935555,0.001993,0.353143,1.991999,0.217660,-1.897727,0.001618,1.956933,0.210496,-1.822566,0.673924,1.922244,0.211005,-1.852873,0.726223,2.063262,0.224545,-1.943113,0.723967,2.025557,0.224593,-1.972354,0.686183,1.955943,0.210466,-1.821676,1.921642,0.210840,-1.851991,2.064072,0.224570,-1.943898,2.026289,0.224772,-1.973320,2.268556,0.043529,0.426707,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.004908,0.935533,0.001996,0.353199,1.991985,0.217679,-1.897708,0.001584,1.956912,0.210513,-1.822551,0.667213,1.922227,0.211009,-1.852862,0.729747,2.063251,0.224580,-1.943087,0.717846,2.025550,0.224615,-1.972331,0.693538,1.955953,0.210472,-1.821693,1.921635,0.210855,-1.851985,2.064016,0.224614,-1.943835,2.026299,0.224786,-1.973309,2.268556,0.043513,0.426686,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.004877,0.935561,0.001904,0.353125,1.991998,0.217689,-1.897705,0.001638,1.956936,0.210538,-1.822541,0.678164,1.922246,0.211034,-1.852847,0.732704,2.063258,0.224574,-1.943096,0.732475,2.025552,0.224609,-1.972335,0.689115,1.955920,0.210512,-1.821627,1.921643,0.210865,-1.851966,2.064068,0.224595,-1.943879,2.026305,0.224795,-1.973321,2.268566,0.043497,0.426688,,,,,,,,,,,,,,,,,,,,,,,,
