Format Version,1.23,Take Name,Take 2021-05-03 03.06.08 PM_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.02.20.549 PM,Total Frames in Take,1371,Total Exported Frames,1371,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.008986,0.304912,-0.002551,-0.952335,1.979220,0.219116,-1.906548,0.001642,2.006573,0.213844,-1.984996,0.598579,2.044155,0.214674,-1.958370,0.769939,1.912835,0.223747,-1.854038,0.679516,1.953318,0.224198,-1.828788,0.752972,,,,,,,,,,,,,,,,,,,,,2.007318,0.213633,-1.986402,2.044791,0.214683,-1.959035,1.912167,0.223908,-1.852955,1.952697,0.224201,-1.828019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.009016,0.304934,-0.002596,-0.952327,1.979211,0.219114,-1.906536,0.001648,2.006568,0.213847,-1.984983,0.593017,2.044149,0.214680,-1.958355,0.772730,1.912823,0.223737,-1.854029,0.662990,1.953305,0.224192,-1.828777,0.763734,,,,,,,,,,,,,,,,,,,,,2.007329,0.213612,-1.986403,2.044774,0.214699,-1.959016,1.912117,0.223922,-1.852896,1.952715,0.224185,-1.828039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.008976,0.304919,-0.002524,-0.952333,1.979230,0.219100,-1.906561,0.001648,2.006584,0.213827,-1.985009,0.593017,2.044166,0.214655,-1.958383,0.772730,1.912844,0.223735,-1.854053,0.662990,1.953327,0.224185,-1.828802,0.763734,,,,,,,,,,,,,,,,,,,,,2.007317,0.213629,-1.986377,2.044811,0.214659,-1.959070,1.912155,0.223898,-1.852929,1.952707,0.224190,-1.828035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.008926,0.304922,-0.002637,-0.952332,1.979221,0.219112,-1.906541,0.001680,2.006576,0.213830,-1.984987,0.608876,2.044158,0.214669,-1.958360,0.764362,1.912834,0.223743,-1.854033,0.667840,1.953316,0.224204,-1.828782,0.753523,,,,,,,,,,,,,,,,,,,,,2.007360,0.213610,-1.986433,2.044800,0.214678,-1.959044,1.912156,0.223909,-1.852921,1.952679,0.224208,-1.828007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.008899,0.304923,-0.002735,-0.952331,1.979199,0.219119,-1.906519,0.001655,2.006556,0.213833,-1.984965,0.595924,2.044137,0.214682,-1.958338,0.767427,1.912811,0.223745,-1.854012,0.675820,1.953294,0.224216,-1.828761,0.752031,,,,,,,,,,,,,,,,,,,,,2.007308,0.213624,-1.986380,2.044779,0.214689,-1.959011,1.912135,0.223906,-1.852918,1.952671,0.224220,-1.827989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.009270,0.304982,-0.002061,-0.952311,1.979200,0.219140,-1.906539,0.001654,2.006560,0.213913,-1.984988,0.607295,2.044139,0.214692,-1.958356,0.762420,1.912811,0.223777,-1.854035,0.671339,1.953291,0.224177,-1.828779,0.751336,,,,,,,,,,,,,,,,,,,,,2.007287,0.213745,-1.986370,2.044795,0.214679,-1.959043,1.912116,0.223914,-1.852927,1.952674,0.224199,-1.827999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.009398,0.304962,-0.001997,-0.952316,1.979200,0.219155,-1.906542,0.001602,2.006556,0.213949,-1.984993,0.607295,2.044137,0.214719,-1.958363,0.762420,1.912813,0.223780,-1.854033,0.671339,1.953295,0.224171,-1.828779,0.751336,,,,,,,,,,,,,,,,,,,,,2.007247,0.213783,-1.986338,2.044770,0.214710,-1.959011,1.912134,0.223917,-1.852937,1.952709,0.224188,-1.828041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.008974,0.304922,-0.002539,-0.952332,1.979193,0.219130,-1.906526,0.001650,2.006547,0.213856,-1.984973,0.619805,2.044129,0.214685,-1.958347,0.773561,1.912807,0.223764,-1.854018,0.675654,1.953289,0.224215,-1.828767,0.764519,,,,,,,,,,,,,,,,,,,,,2.007286,0.213659,-1.986351,2.044773,0.214688,-1.959033,1.912117,0.223924,-1.852898,1.952669,0.224222,-1.827998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.009313,0.304924,-0.002066,-0.952329,1.979199,0.219139,-1.906544,0.001618,2.006549,0.213919,-1.984997,0.615747,2.044131,0.214698,-1.958370,0.770820,1.912816,0.223770,-1.854031,0.672306,1.953299,0.224169,-1.828780,0.760590,,,,,,,,,,,,,,,,,,,,,2.007259,0.213751,-1.986349,2.044765,0.214688,-1.959032,1.912133,0.223909,-1.852921,1.952700,0.224187,-1.828033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.009201,0.304917,-0.002079,-0.952332,1.979203,0.219139,-1.906543,0.001654,2.006551,0.213900,-1.984994,0.611430,2.044134,0.214683,-1.958368,0.759879,1.912821,0.223784,-1.854030,0.677222,1.953304,0.224187,-1.828779,0.744739,,,,,,,,,,,,,,,,,,,,,2.007275,0.213749,-1.986362,2.044796,0.214661,-1.959063,1.912146,0.223906,-1.852936,1.952664,0.224217,-1.827984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
