Format Version,1.23,Take Name,FW_100,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-05-03 04.25.05.055 PM,Total Frames in Take,787,Total Exported Frames,787,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.008548,0.369428,-0.000285,-0.929220,2.011553,0.219439,-1.937024,0.001354,2.049337,0.214082,-2.011009,0.692386,2.082934,0.214674,-1.979497,0.809881,1.938643,0.224401,-1.894068,0.669757,1.975299,0.224599,-1.863523,0.815943,,,,,,,,,,,,,,,,,,,,,2.050120,0.213927,-2.011945,2.083486,0.214679,-1.980019,1.937815,0.224566,-1.893052,1.974753,0.224594,-1.863029,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.008561,0.369512,-0.000142,-0.929187,2.011546,0.219456,-1.937012,0.001398,2.049342,0.214099,-2.010991,0.693457,2.082933,0.214678,-1.979473,0.803826,1.938629,0.224431,-1.894068,0.637465,1.975280,0.224616,-1.863517,0.817167,,,,,,,,,,,,,,,,,,,,,2.050117,0.213930,-2.011925,2.083502,0.214688,-1.980012,1.937712,0.224628,-1.892962,1.974745,0.224601,-1.863018,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.008566,0.369440,-0.000407,-0.929215,2.011543,0.219451,-1.937008,0.001355,2.049331,0.214099,-2.010991,0.693457,2.082926,0.214700,-1.979478,0.803826,1.938631,0.224397,-1.894054,0.637465,1.975285,0.224606,-1.863508,0.817167,,,,,,,,,,,,,,,,,,,,,2.050109,0.213932,-2.011923,2.083478,0.214712,-1.979999,1.937780,0.224578,-1.893022,1.974751,0.224592,-1.863019,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.008556,0.369458,-0.000325,-0.929208,2.011554,0.219441,-1.937015,0.001377,2.049344,0.214086,-2.010997,0.693657,2.082938,0.214681,-1.979483,0.810361,1.938641,0.224397,-1.894063,0.662528,1.975295,0.224599,-1.863516,0.818791,,,,,,,,,,,,,,,,,,,,,2.050120,0.213927,-2.011931,2.083508,0.214686,-1.980020,1.937785,0.224571,-1.893019,1.974743,0.224591,-1.863012,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.008509,0.369447,-0.000345,-0.929213,2.011550,0.219443,-1.937007,0.001369,2.049338,0.214081,-2.010989,0.698534,2.082932,0.214679,-1.979476,0.802358,1.938637,0.224404,-1.894055,0.659992,1.975292,0.224609,-1.863508,0.812972,,,,,,,,,,,,,,,,,,,,,2.050108,0.213935,-2.011905,2.083505,0.214676,-1.980021,1.937771,0.224565,-1.893018,1.974745,0.224609,-1.862997,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.008563,0.369471,-0.000445,-0.929203,2.011518,0.219460,-1.936983,0.001354,2.049312,0.214108,-2.010964,0.684207,2.082905,0.214713,-1.979449,0.817208,1.938603,0.224403,-1.894035,0.662326,1.975255,0.224615,-1.863487,0.822786,,,,,,,,,,,,,,,,,,,,,2.050115,0.213939,-2.011924,2.083437,0.214725,-1.979950,1.937752,0.224580,-1.893000,1.974732,0.224602,-1.863009,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.008465,0.369433,-0.000529,-0.929219,2.011513,0.219468,-1.936980,0.001361,2.049301,0.214101,-2.010962,0.684207,2.082896,0.214717,-1.979450,0.817208,1.938600,0.224416,-1.894027,0.662326,1.975256,0.224639,-1.863482,0.822786,,,,,,,,,,,,,,,,,,,,,2.050090,0.213953,-2.011932,2.083458,0.214715,-1.979962,1.937793,0.224564,-1.893045,1.974702,0.224642,-1.862971,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.008557,0.369419,-0.000356,-0.929223,2.011540,0.219441,-1.937001,0.001360,2.049324,0.214086,-2.010986,0.685166,2.082921,0.214684,-1.979475,0.810012,1.938630,0.224394,-1.894044,0.680137,1.975286,0.224598,-1.863500,0.811724,,,,,,,,,,,,,,,,,,,,,2.050122,0.213913,-2.011951,2.083455,0.214698,-1.979972,1.937761,0.224579,-1.892995,1.974770,0.224583,-1.863024,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.008561,0.369434,-0.000197,-0.929218,2.011529,0.219436,-1.937006,0.001397,2.049313,0.214080,-2.010991,0.701979,2.082909,0.214663,-1.979479,0.794750,1.938619,0.224405,-1.894051,0.648808,1.975274,0.224595,-1.863505,0.811199,,,,,,,,,,,,,,,,,,,,,2.050062,0.213935,-2.011907,2.083509,0.214659,-1.980039,1.937730,0.224572,-1.892976,1.974721,0.224595,-1.862992,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.008522,0.369469,-0.000305,-0.929204,2.011517,0.219441,-1.936990,0.001383,2.049308,0.214080,-2.010971,0.688534,2.082901,0.214674,-1.979457,0.804866,1.938603,0.224404,-1.894041,0.658352,1.975256,0.224605,-1.863493,0.812565,,,,,,,,,,,,,,,,,,,,,2.050102,0.213923,-2.011918,2.083467,0.214676,-1.979995,1.937738,0.224574,-1.892997,1.974706,0.224601,-1.862983,,,,,,,,,,,,,,,,,,,,,
16,0.133333,-0.008540,0.369439,-0.000207,-0.929216,2.011519,0.219438,-1.936996,0.001383,2.049305,0.214078,-2.010979,0.688534,2.082900,0.214664,-1.979467,0.804866,1.938609,0.224409,-1.894041,0.658352,1.975264,0.224600,-1.863495,0.812565,,,,,,,,,,,,,,,,,,,,,2.050052,0.213947,-2.011868,2.083506,0.214652,-1.980049,1.937749,0.224559,-1.892993,1.974697,0.224608,-1.862975,,,,,,,,,,,,,,,,,,,,,
